r_bin_km,phi_mean,r_center_km,abs_dev
0.0,0.0,5.0,1.0
10.0,0.9270181637383672,15.0,0.0729818362616328
20.0,1.0143827576391284,25.0,0.01438275763912844
30.0,1.016112079504894,35.0,0.016112079504893906
40.0,0.9100970636330092,45.0,0.08990293636699076
50.0,0.9304303717946336,55.0,0.06956962820536639
60.0,0.9213034133156102,65.0,0.07869658668438984
70.0,0.9085850392708625,75.0,0.09141496072913746
80.0,0.9261311253308815,85.0,0.07386887466911851
90.0,0.9766385547674976,95.0,0.023361445232502387
100.0,0.9323951472117451,105.0,0.0676048527882549
110.0,0.9308786508404228,115.0,0.06912134915957724
120.0,0.9297175898403054,125.0,0.07028241015969461
130.0,1.0022831653551358,135.0,0.002283165355135841
140.0,0.9509180401828686,145.0,0.04908195981713137
150.0,0.9377891815883138,155.0,0.062210818411686186
160.0,0.9530246842622265,165.0,0.04697531573777347
170.0,0.928383229332471,175.0,0.07161677066752903
180.0,0.9669524082781458,185.0,0.03304759172185423
190.0,0.9677895358987688,195.0,0.032210464101231184
200.0,0.9559809065092777,205.0,0.044019093490722305
210.0,0.9819465710631623,215.0,0.0180534289368377
220.0,0.9150847728447642,225.0,0.0849152271552358
230.0,0.8302839524325386,235.0,0.1697160475674614
240.0,0.9028597551777627,245.0,0.09714024482223726
250.0,0.8518410829023344,255.0,0.1481589170976656
260.0,0.8474833035360643,265.0,0.15251669646393573
270.0,0.9052588704212094,275.0,0.09474112957879055
280.0,0.9359764029896571,285.0,0.06402359701034288
290.0,1.0017693046182847,295.0,0.0017693046182847283
300.0,1.4277101501140002,305.0,0.42771015011400015
