r_bin_km,phi_mean,r_center_km,abs_dev
0.0,0.49626203136611646,5.0,0.5037379686338835
10.0,1.796668733380969,15.0,0.796668733380969
20.0,0.8252015467127529,25.0,0.17479845328724708
30.0,0.7763137176738529,35.0,0.22368628232614707
40.0,0.5014847472019264,45.0,0.4985152527980736
50.0,1.140901046956542,55.0,0.14090104695654193
60.0,1.136241645904947,65.0,0.13624164590494692
70.0,0.8914689389346939,75.0,0.10853106106530608
80.0,0.9690334306104488,85.0,0.030966569389551224
90.0,0.5573538373299161,95.0,0.44264616267008394
100.0,0.8474900340785432,105.0,0.15250996592145682
110.0,0.8058815228156363,115.0,0.1941184771843637
120.0,0.5320927649802099,125.0,0.46790723501979015
130.0,0.2388816383774786,135.0,0.7611183616225214
140.0,1.154068018800684,145.0,0.154068018800684
150.0,0.8976243996098031,155.0,0.10237560039019689
160.0,0.936298723706053,165.0,0.06370127629394695
170.0,0.8073529669271028,175.0,0.1926470330728972
180.0,1.7561081213806573,185.0,0.7561081213806573
190.0,1.2343689226706662,195.0,0.23436892267066622
200.0,1.4848821312396026,205.0,0.48488213123960255
210.0,1.0358786499451926,215.0,0.03587864994519263
220.0,1.0072352427438576,225.0,0.007235242743857562
230.0,1.237734428944163,235.0,0.23773442894416297
240.0,1.1884064763466222,245.0,0.18840647634662222
250.0,1.023398477172376,255.0,0.023398477172376086
260.0,1.1692076542661747,265.0,0.16920765426617468
270.0,1.3045316162454712,275.0,0.3045316162454712
280.0,1.0062771936702677,285.0,0.006277193670267689
290.0,1.0100431693793372,295.0,0.010043169379337247
300.0,1.2057760709318175,305.0,0.2057760709318175
310.0,1.0692410925086013,315.0,0.06924109250860133
320.0,1.053329176776911,325.0,0.05332917677691107
330.0,1.0866908167180533,335.0,0.08669081671805334
340.0,1.1124344514617164,345.0,0.11243445146171638
350.0,1.0638664168855945,355.0,0.06386641688559447
360.0,1.0880707860111216,365.0,0.08807078601112162
370.0,1.062387442859177,375.0,0.06238744285917708
380.0,1.1235702322485013,385.0,0.12357023224850128
390.0,1.1037561224832384,395.0,0.1037561224832384
400.0,1.0615020635963384,405.0,0.06150206359633836
410.0,1.0609464741850483,415.0,0.06094647418504828
420.0,1.074775663632317,425.0,0.07477566363231691
430.0,1.0639559074346823,435.0,0.06395590743468227
440.0,1.0529161229592152,445.0,0.05291612295921522
450.0,1.06302692982669,455.0,0.06302692982668989
460.0,1.0631687137450276,465.0,0.06316871374502764
470.0,1.048653653767611,475.0,0.048653653767610994
480.0,1.0593944036261265,485.0,0.05939440362612647
490.0,1.0651388178750856,495.0,0.06513881787508558
