window_start_pt,hours_since_quake,r_bin_km,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,phi_aggregate,phi_overlap,tile_overlap_ratio
2024-08-14 08:00:00,48.0,330.0,14,14,14,6753.889371298013,6695.603495465928,6753.889371298013,6695.603495465928,0.9913700280493515,0.9913700280493515,1.0
2024-08-14 08:00:00,48.0,340.0,86,86,86,37718.278090767155,37283.13435786236,37718.278090767155,37283.13435786236,0.9884633192465031,0.9884633192465031,1.0
2024-08-14 08:00:00,48.0,350.0,161,159,159,41367.90437132663,46407.54180484067,41304.26054053915,46407.54180484067,1.121824818300614,1.123553386442853,0.9875776397515528
2024-08-14 08:00:00,48.0,360.0,189,184,182,47723.41559735513,52808.07071504141,47306.58986857325,52773.01910004941,1.1065442415225635,1.1155532294055213,0.9629629629629629
2024-08-14 08:00:00,48.0,370.0,239,237,237,154119.03040781326,139502.83783325105,154088.20309630333,139502.83783325105,0.9051629604995152,0.9053440499014931,0.9916317991631799
2024-08-14 08:00:00,48.0,380.0,269,268,266,120760.2997839704,135283.2572436743,120695.8296818499,135247.01849086003,1.1202626814084116,1.1205608250704815,0.9888475836431226
2024-08-14 08:00:00,48.0,390.0,286,281,280,85361.88290856204,92617.88475140516,85054.18364223331,92605.52022352401,1.0850028325946794,1.0887826589818812,0.9790209790209791
2024-08-14 08:00:00,48.0,400.0,212,207,205,73403.24074106054,74562.14332836866,72980.3105134576,74512.58015250583,1.0157881665115618,1.0209956579831991,0.9669811320754716
2024-08-14 08:00:00,48.0,410.0,156,152,151,28139.008814358393,27801.71051046234,27938.366236337515,27774.175349337223,0.9880131419652586,0.994123103491043,0.967948717948718
2024-08-14 08:00:00,48.0,420.0,84,78,78,17431.661792162144,18134.156375410006,17309.117704689183,18134.156375410006,1.0402999204335026,1.0476649754653475,0.9285714285714286
2024-08-14 08:00:00,48.0,430.0,16,13,13,1392.0398956260165,1087.0595125891853,1277.085144901182,1087.0595125891853,0.7809111764719373,0.8512036311199122,0.8125
2024-08-14 08:00:00,48.0,440.0,2,0,0,37.161676421404266,,,,,,0.0
2024-08-15 08:00:00,72.0,330.0,14,14,14,6806.810547730562,6619.756958519764,6806.810547730562,6619.756958519764,0.9725196422172845,0.9725196422172845,1.0
2024-08-15 08:00:00,72.0,340.0,86,86,86,37747.465445820824,38500.310050367036,37747.465445820824,38500.310050367036,1.0199442424982619,1.0199442424982619,1.0
2024-08-15 08:00:00,72.0,350.0,161,160,160,41513.01056491479,41672.50150300092,41486.09186166877,41672.50150300092,1.0038419506539218,1.0044933044537845,0.9937888198757764
2024-08-15 08:00:00,72.0,360.0,191,185,184,47567.17197509804,48890.54120906083,47083.350121180396,48879.98735660395,1.0278210618587034,1.0381586533413505,0.9633507853403142
2024-08-15 08:00:00,72.0,370.0,238,237,237,151859.38922472476,156906.77075761664,151844.11767800283,156906.77075761664,1.033237204223327,1.0333411208615242,0.9957983193277311
2024-08-15 08:00:00,72.0,380.0,269,267,266,120651.02329763549,123448.51062769599,120577.08348726922,123430.25497083693,1.0231866025964764,1.0236626347316566,0.9888475836431226
2024-08-15 08:00:00,72.0,390.0,286,280,279,85796.74104282522,85753.97846074407,85392.29602342512,85743.67981722885,0.9995015826759689,1.0041149355406411,0.9755244755244755
2024-08-15 08:00:00,72.0,400.0,216,204,204,73463.85021032303,73066.68768273325,72966.87906654601,73066.68768273325,0.994593769228638,1.001367861932209,0.9444444444444444
2024-08-15 08:00:00,72.0,410.0,156,153,153,28175.784883343254,27839.895385282252,28116.141721223503,27839.895385282252,0.9880787882413323,0.9901748135046309,0.9807692307692307
2024-08-15 08:00:00,72.0,420.0,84,80,80,17494.491638220697,17128.372808037166,17410.45063649611,17128.372808037166,0.97907233672434,0.9837983614354217,0.9523809523809523
2024-08-15 08:00:00,72.0,430.0,17,16,15,1400.6252642700815,1120.7367189693332,1368.5924479584223,1109.8873513548285,0.8001688585514636,0.8109699516539688,0.8823529411764706
2024-08-15 08:00:00,72.0,440.0,2,0,0,44.862948979578505,,,,,,0.0
2024-08-16 08:00:00,96.0,330.0,14,14,14,6652.319694065603,6753.754899396886,6652.319694065603,6753.754899396886,1.0152480954007324,1.0152480954007324,1.0
2024-08-16 08:00:00,96.0,340.0,86,86,86,37993.65497907486,38677.63816222882,37993.65497907486,38677.63816222882,1.018002563415672,1.018002563415672,1.0
2024-08-16 08:00:00,96.0,350.0,161,159,159,41755.13955360114,41820.04937947175,41676.49380117508,41820.04937947175,1.0015545350001114,1.0034445214844974,0.9875776397515528
2024-08-16 08:00:00,96.0,360.0,189,185,185,47384.53358883251,48911.6301899032,47217.26904343353,48911.6301899032,1.0322277436414524,1.0358843529241617,0.9788359788359788
2024-08-16 08:00:00,96.0,370.0,238,237,236,151117.83985336285,160016.72411642468,151087.10821244074,160004.71001463436,1.0588870531215697,1.0590229166981922,0.9915966386554622
2024-08-16 08:00:00,96.0,380.0,269,266,266,120655.9531533376,122575.2467866798,120613.01092073158,122575.2467866798,1.0159071606761336,1.0162688573228458,0.9888475836431226
2024-08-16 08:00:00,96.0,390.0,287,283,282,86193.50843071721,85303.77981309994,85850.14315607585,85293.02337784073,0.9896775449356209,0.9935105550468066,0.9825783972125436
2024-08-16 08:00:00,96.0,400.0,215,207,207,73344.9358470448,73975.10254559811,73157.6008011552,73975.10254559811,1.0085918228883242,1.011174529173871,0.9627906976744186
2024-08-16 08:00:00,96.0,410.0,157,155,155,28122.857504203188,27943.861255457363,28081.054511307724,27943.861255457363,0.9936352040784237,0.9951143837637894,0.9872611464968153
2024-08-16 08:00:00,96.0,420.0,86,80,80,17698.31544862523,17373.131957304886,17312.402634724072,17373.131957304886,0.9816263026690709,1.0035078506353017,0.9302325581395349
2024-08-16 08:00:00,96.0,430.0,17,15,15,1454.6629302050917,1169.1440394975132,1419.9359717676784,1169.1440394975132,0.8037216149673083,0.8233779992502378,0.8823529411764706
2024-08-16 08:00:00,96.0,440.0,2,0,0,41.70066889577692,,,,,,0.0
2024-08-17 08:00:00,120.0,330.0,14,14,14,6683.902151811405,6568.864704828837,6683.902151811405,6568.864704828837,0.9827888792550035,0.9827888792550035,1.0
2024-08-17 08:00:00,120.0,340.0,86,86,86,37991.810145341326,38498.57976794789,37991.810145341326,38498.57976794789,1.0133389175369079,1.0133389175369079,1.0
2024-08-17 08:00:00,120.0,350.0,160,160,160,43458.14289175658,44682.55758200454,43458.14289175658,44682.55758200454,1.0281745746314488,1.0281745746314488,1.0
2024-08-17 08:00:00,120.0,360.0,188,182,181,47900.560678111346,50222.09777890939,47557.586296875044,49704.503558771736,1.0484657604824006,1.0451435287000208,0.9627659574468085
2024-08-17 08:00:00,120.0,370.0,238,239,238,136389.45681650058,143575.42886801757,136389.45681650058,143553.2553906704,1.0526871520661971,1.052524577349172,1.0
2024-08-17 08:00:00,120.0,380.0,272,269,269,121841.7984811851,128226.67158626369,121718.48059470943,128226.67158626369,1.0524029781624122,1.0534692099322602,0.9889705882352942
2024-08-17 08:00:00,120.0,390.0,289,286,284,90803.38671212875,92273.60674230508,90485.49963803483,92206.25282265,1.0161912466419047,1.019016894325595,0.9826989619377162
2024-08-17 08:00:00,120.0,400.0,217,211,210,73389.28441071374,77347.6988103547,73025.76099363054,77329.38870271572,1.0539372257329587,1.0589330073460042,0.967741935483871
2024-08-17 08:00:00,120.0,410.0,158,157,156,28348.76254096124,28941.78407193272,28291.73997545578,28925.167150069945,1.020918780144799,1.0223891204699211,0.9873417721518988
2024-08-17 08:00:00,120.0,420.0,88,84,83,18224.19221938432,18414.898253023995,18102.13377029168,18398.8281276123,1.010464443709984,1.0163900212585735,0.9431818181818182
2024-08-17 08:00:00,120.0,430.0,20,18,18,1523.4413174753,1341.451511483961,1464.342737087618,1341.451511483961,0.8805403241308049,0.9160775530952056,0.9
2024-08-17 08:00:00,120.0,440.0,2,1,1,56.76374278038792,32.55793007762016,38.59766405226584,32.55793007762016,0.5735691214651378,0.8435207382895722,0.5
2024-08-18 08:00:00,144.0,330.0,14,14,14,6954.148025300699,6706.399825607295,6954.148025300699,6706.399825607295,0.9643740399554276,0.9643740399554276,1.0
2024-08-18 08:00:00,144.0,340.0,86,86,86,37803.35371484659,38253.57632876597,37803.35371484659,38253.57632876597,1.01190959451152,1.01190959451152,1.0
2024-08-18 08:00:00,144.0,350.0,161,160,160,44537.34464357348,45229.46906262936,44512.63525168799,45229.46906262936,1.0155403162131658,1.016104052408674,0.9937888198757764
2024-08-18 08:00:00,144.0,360.0,190,185,185,48993.663472311615,50619.82001055123,48605.27650534327,50619.82001055123,1.0331911603050183,1.0414470125478352,0.9736842105263158
2024-08-18 08:00:00,144.0,370.0,238,235,235,134120.45745365613,139010.41429899802,134015.2444922066,139010.41429899802,1.0364594405520244,1.0372731462433133,0.9873949579831933
2024-08-18 08:00:00,144.0,380.0,272,269,269,123292.84743788396,127141.37557907801,123131.65912234399,127141.37557907801,1.0312145288325258,1.0325644638049583,0.9889705882352942
2024-08-18 08:00:00,144.0,390.0,289,287,286,92226.37968284494,93384.24061748394,92172.51930808759,93372.88367999558,1.0125545525978656,1.0130230179333144,0.9896193771626297
2024-08-18 08:00:00,144.0,400.0,218,211,211,74296.40952738066,77153.64113946221,73937.39793962226,77153.64113946221,1.0384571963875127,1.0434995454190363,0.9678899082568807
2024-08-18 08:00:00,144.0,410.0,158,154,154,29291.2605575431,29499.32941121852,29182.768196600344,29499.32941121852,1.0071034448403702,1.010847538947832,0.9746835443037974
2024-08-18 08:00:00,144.0,420.0,88,87,87,18810.202425512118,18662.263552693465,18625.718400393995,18662.263552693465,0.9921351791186466,1.0019620801471312,0.9886363636363636
2024-08-18 08:00:00,144.0,430.0,20,16,16,1520.3997304731222,1261.2564245296583,1470.9967915072418,1261.2564245296583,0.82955580644386,0.8574161628437849,0.8
2024-08-18 08:00:00,144.0,440.0,2,2,2,55.45704643780301,42.294685935078725,55.45704643780301,42.294685935078725,0.7626566622604699,0.7626566622604699,1.0
2024-08-19 08:00:00,168.0,330.0,14,14,14,6697.188874629628,6891.380470276863,6697.188874629628,6891.380470276863,1.0289959861193214,1.0289959861193214,1.0
2024-08-19 08:00:00,168.0,340.0,86,86,86,37929.24921800952,38612.52202292985,37929.24921800952,38612.52202292985,1.0180144036332757,1.0180144036332757,1.0
2024-08-19 08:00:00,168.0,350.0,161,160,160,41643.8456556841,41993.961766246575,41627.28294727208,41993.961766246575,1.0084073914176246,1.0088086176423996,0.9937888198757764
2024-08-19 08:00:00,168.0,360.0,188,187,186,48144.07640213585,50047.62674634869,47953.174904709245,49570.59435838794,1.039538620043574,1.0337291421661396,0.9893617021276596
2024-08-19 08:00:00,168.0,370.0,238,236,236,152695.4315770427,160492.94066834508,152645.0956427448,160492.94066834508,1.051065765431025,1.051412362726462,0.9915966386554622
2024-08-19 08:00:00,168.0,380.0,269,268,267,122180.37048906495,125570.49016205131,122135.43065025454,125550.49200234676,1.0277468439440505,1.0279612667176943,0.9925650557620818
2024-08-19 08:00:00,168.0,390.0,287,282,281,86231.9869731705,86885.3093420473,86065.95789128667,86875.06734062167,1.0075763343952642,1.009401039262899,0.9790940766550522
2024-08-19 08:00:00,168.0,400.0,213,210,207,74167.07660886542,76011.17422497916,73844.31817898694,75933.70920627439,1.024864100089032,1.0282945401733292,0.971830985915493
2024-08-19 08:00:00,168.0,410.0,156,151,151,28254.269707666394,28545.760547385442,28093.9553582073,28545.760547385442,1.0103167005459694,1.0160819358975082,0.967948717948718
2024-08-19 08:00:00,168.0,420.0,84,81,79,17605.695239688328,17683.991558686954,17486.026049279204,17616.14506905702,1.0044472154000554,1.0074413145337375,0.9404761904761905
2024-08-19 08:00:00,168.0,430.0,16,15,15,1381.4338422908654,1270.837865927329,1354.8854321831157,1270.837865927329,0.9199411705593281,0.9379670308209296,0.9375
2024-08-19 08:00:00,168.0,440.0,2,1,1,38.56615720152667,30.226113267466616,23.899161123374945,30.226113267466616,0.7837470845104083,1.2647353231952354,0.5
2024-08-20 08:00:00,192.0,330.0,14,14,14,6751.241196654629,7022.044275648502,6751.241196654629,7022.044275648502,1.0401115989054073,1.0401115989054073,1.0
2024-08-20 08:00:00,192.0,340.0,86,86,86,37787.70301689262,38428.02516831358,37787.70301689262,38428.02516831358,1.0169452520343645,1.0169452520343645,1.0
2024-08-20 08:00:00,192.0,350.0,160,160,160,41507.75308159982,41677.199536716165,41507.75308159982,41677.199536716165,1.0040822844537798,1.0040822844537798,1.0
2024-08-20 08:00:00,192.0,360.0,188,184,184,47908.4088616317,49130.22463489345,47443.25978085412,49130.22463489345,1.0255031590965706,1.0355575241210577,0.9787234042553191
2024-08-20 08:00:00,192.0,370.0,239,237,237,154511.78500100705,161916.39819700923,154463.25256399112,161916.39819700923,1.047922643544335,1.0482519014024414,0.9916317991631799
