slug,storm_name,time_min_hours,time_max_hours,min_tiles,r0_km,y_max_abs_phi_minus_1,n_bins_used,meta_year,meta_landfall_category,meta_landfall_vmax_kt
hurricane_john_southern_mexico_25_september_2024,John,0.0,72.0,50,19.090883365638316,0.5637534035315275,46,,,
typhoon_yagi_across_northeastern_vietnam,Yagi,0.0,72.0,50,24.538422469432177,0.48628396623280423,16,,,
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,Trami,0.0,72.0,50,383.4814579437601,0.3204226412912802,40,,,
hurricane_john_across_southeastern_guerrero_mexico,John,0.0,72.0,50,10.23289769911984,0.2736134164372078,41,,,
hurricane_milton_across_florida_us,Milton,0.0,72.0,50,174.0873153239998,0.20001299966724329,30,2024.0,Cat3,125.0
hurricane_beryl_across_southeastern_texas_us,Beryl,0.0,72.0,50,60.207468024928296,0.1955532730610361,34,2024.0,Cat1,80.0
typhoon_krathon_across_taiwan,Krathon,0.0,72.0,50,,0.13784604369697084,24,,,
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,0.0,72.0,50,368.4293086789583,0.13686294263637677,50,2024.0,Cat4,140.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,0.0,72.0,50,175.675566963868,0.1306015170967939,25,2024.0,Cat1,80.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Debby,0.0,72.0,50,306.73769282967856,0.09024595012835657,45,,,
hurricane_ernesto_puerto_rico_14_august_2024,Ernesto,0.0,72.0,50,111.6893276826361,0.0629916636006449,12,,,
tropical_storm_yagi_philippines_2_september_2024,Yagi,0.0,72.0,50,230.83293549306154,0.05598388109048469,29,,,
hurricane_beryl_pre_landfall_2024,Beryl,0.0,72.0,50,170.55610079087734,0.03520731607842187,8,2024.0,Cat1,80.0
