r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,r_center_km,abs_dev
0.0,0.9758483925599203,892.0,851.5,5.0,0.024151607440079714
10.0,0.840573915655685,743.0,702.25,15.0,0.15942608434431504
20.0,0.8044467269389639,784.75,739.75,25.0,0.1955532730610361
30.0,0.8191315640153319,824.0,784.75,35.0,0.18086843598466806
40.0,0.854298907123446,829.75,795.5,45.0,0.14570109287655397
50.0,0.8846567705259565,731.25,675.5,55.0,0.11534322947404352
60.0,0.9183902334285297,620.75,578.0,65.0,0.08160976657147034
70.0,0.9768931850706429,524.25,490.0,75.0,0.023106814929357067
80.0,0.9642705367029495,441.75,405.75,85.0,0.03572946329705051
90.0,0.9785145313907793,404.75,374.5,95.0,0.021485468609220737
100.0,0.8921895272366861,369.25,336.5,105.0,0.1078104727633139
110.0,0.938269973405014,390.25,362.0,115.0,0.061730026594986054
120.0,0.9663277552803783,410.25,380.75,125.0,0.03367224471962171
130.0,1.0004848087519975,422.25,394.5,135.0,0.00048480875199752305
140.0,0.974818059711203,421.0,390.75,145.0,0.025181940288796945
150.0,0.9642949021944842,440.0,411.25,155.0,0.035705097805515784
160.0,0.9716120990728438,408.0,380.5,165.0,0.02838790092715615
170.0,0.9728577590340948,524.5,490.5,175.0,0.02714224096590523
180.0,0.9529206350291741,585.5,551.25,185.0,0.04707936497082588
190.0,0.9734670106565115,727.5,701.75,195.0,0.026532989343488467
200.0,0.9757155956897778,711.25,681.0,205.0,0.024284404310222163
210.0,0.9675029689164382,803.5,773.5,215.0,0.032497031083561834
220.0,0.9649632348104333,772.0,738.25,225.0,0.035036765189566665
230.0,0.9779990620696654,717.5,693.25,235.0,0.02200093793033464
240.0,0.969934765784743,687.75,659.5,245.0,0.030065234215256975
250.0,0.9776720714182798,647.25,628.25,255.0,0.02232792858172017
260.0,0.9681028204158485,493.5,467.25,265.0,0.0318971795841515
270.0,0.9671606557986502,416.5,395.25,275.0,0.03283934420134982
280.0,0.9745355814406929,406.5,386.0,285.0,0.025464418559307145
290.0,0.9727394867691654,358.75,339.75,295.0,0.02726051323083456
300.0,0.9676956954101514,219.75,204.75,305.0,0.032304304589848565
310.0,0.9498019877332267,101.25,92.5,315.0,0.05019801226677334
320.0,0.9331467915562092,89.25,86.75,325.0,0.06685320844379083
330.0,0.9567788037084921,54.0,50.75,335.0,0.04322119629150789
