r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,r_center_km,abs_dev
0.0,1.000227007151567,517.3333333333334,487.6666666666667,5.0,0.0002270071515670935
10.0,1.0236884660135146,464.0,440.3333333333333,15.0,0.023688466013514597
20.0,1.045779347293341,334.0,318.6666666666667,25.0,0.04577934729334099
30.0,0.9660190809867402,318.3333333333333,290.6666666666667,35.0,0.033980919013259836
40.0,0.9994509646492032,346.3333333333333,332.0,45.0,0.000549035350796756
50.0,1.0190152632801361,398.6666666666667,380.0,55.0,0.01901526328013614
60.0,0.9875234849142734,342.3333333333333,329.3333333333333,65.0,0.012476515085726558
70.0,0.9993630477197284,299.3333333333333,277.3333333333333,75.0,0.0006369522802716077
80.0,0.9785156144207864,306.6666666666667,281.3333333333333,85.0,0.021484385579213616
90.0,1.0024755639012168,353.0,343.6666666666667,95.0,0.0024755639012168373
100.0,1.0287222686904665,367.0,346.3333333333333,105.0,0.028722268690466457
110.0,1.0177274499968896,340.6666666666667,319.6666666666667,115.0,0.017727449996889577
120.0,0.9626118446629258,315.0,284.3333333333333,125.0,0.03738815533707418
130.0,0.9701316245098254,250.33333333333334,226.66666666666666,135.0,0.029868375490174626
140.0,1.019692076709197,282.3333333333333,261.6666666666667,145.0,0.019692076709197037
150.0,1.0355463032467924,332.0,318.0,155.0,0.03554630324679242
160.0,1.013015082704559,373.0,354.3333333333333,165.0,0.013015082704558978
170.0,1.0160744551870184,476.6666666666667,458.3333333333333,175.0,0.016074455187018444
180.0,0.997831541233869,525.0,504.3333333333333,185.0,0.0021684587661310317
190.0,1.015146954076836,503.6666666666667,484.6666666666667,195.0,0.015146954076836083
200.0,1.0517580730077054,504.6666666666667,480.6666666666667,205.0,0.05175807300770541
210.0,1.0559838810904847,583.0,551.0,215.0,0.05598388109048469
220.0,1.031939782277811,504.6666666666667,488.6666666666667,225.0,0.03193978227781091
230.0,1.02517159199478,356.0,344.0,235.0,0.02517159199477992
240.0,1.0174801232452617,286.6666666666667,271.0,245.0,0.017480123245261714
250.0,1.0170048817426538,289.3333333333333,282.0,255.0,0.0170048817426538
260.0,1.0205014933329368,265.0,239.66666666666666,265.0,0.020501493332936827
270.0,0.995225295557883,274.0,255.0,275.0,0.004774704442117028
280.0,0.967921735927476,109.0,104.0,285.0,0.03207826407252401
