r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,path_coverage_frac_mean,r_center_km,abs_dev
100.0,1.0234691346985267,161.0,153.33333333333334,0.25,105.0,0.02346913469852674
110.0,0.9971483768228057,205.0,191.0,0.25,115.0,0.00285162317719434
120.0,0.9217436360060951,152.66666666666666,137.66666666666666,0.25,125.0,0.0782563639939049
130.0,0.9681005602494098,146.66666666666666,124.0,0.25,135.0,0.031899439750590175
140.0,1.0185626911027441,188.66666666666666,172.0,0.25,145.0,0.01856269110274411
150.0,1.0377253833578184,180.0,175.66666666666666,0.1666666666666666,155.0,0.03772538335781839
160.0,1.0444382554689615,216.66666666666666,213.0,0.25,165.0,0.04443825546896152
170.0,1.0506252775434441,218.66666666666666,209.0,0.25,175.0,0.05062527754344415
180.0,1.0400507445568201,207.33333333333334,200.33333333333334,0.25,185.0,0.04005074455682012
190.0,1.0452188985870234,232.0,226.33333333333334,0.25,195.0,0.04521889858702344
200.0,1.0585380245258942,296.0,281.3333333333333,0.25,205.0,0.05853802452589418
210.0,1.0577547242892587,341.3333333333333,314.6666666666667,0.25,215.0,0.05775472428925865
220.0,1.0312010489129426,262.0,236.0,0.25,225.0,0.03120104891294262
230.0,1.0276450280248612,283.6666666666667,255.33333333333334,0.25,235.0,0.02764502802486124
240.0,1.0456433739243247,407.6666666666667,368.6666666666667,0.25,245.0,0.045643373924324715
250.0,0.9890018733671392,399.6666666666667,371.3333333333333,0.25,255.0,0.010998126632860816
260.0,1.0164669324605642,474.3333333333333,424.0,0.25,265.0,0.016466932460564188
270.0,1.015564069882432,500.0,456.6666666666667,0.25,275.0,0.015564069882431975
280.0,1.0386636269960547,562.6666666666666,491.6666666666667,0.25,285.0,0.038663626996054745
290.0,1.052766342835395,443.0,386.3333333333333,0.25,295.0,0.05276634283539505
300.0,1.0433430758968412,298.6666666666667,245.0,0.25,305.0,0.043343075896841166
310.0,1.0264878254490852,365.6666666666667,311.3333333333333,0.25,315.0,0.026487825449085234
320.0,1.0348850001352619,371.6666666666667,339.3333333333333,0.25,325.0,0.03488500013526186
330.0,1.016579931176721,315.0,302.0,0.25,335.0,0.016579931176720963
340.0,0.9599407382007473,260.6666666666667,239.0,0.25,345.0,0.04005926179925268
350.0,0.8876848518255688,218.66666666666666,203.0,0.25,355.0,0.11231514817443122
360.0,0.8225454069249111,176.33333333333334,165.66666666666666,0.25,365.0,0.17745459307508893
370.0,0.8200761959290434,160.33333333333334,140.0,0.25,375.0,0.17992380407095665
380.0,0.9262717302212219,261.0,246.33333333333334,0.25,385.0,0.07372826977877811
390.0,1.0185943835041096,319.3333333333333,292.6666666666667,0.25,395.0,0.01859438350410958
400.0,1.0353315744947704,204.33333333333334,187.33333333333334,0.25,405.0,0.035331574494770424
410.0,1.0023942381738127,162.33333333333334,142.0,0.25,415.0,0.0023942381738126794
420.0,0.9824720727828512,187.66666666666666,149.66666666666666,0.25,425.0,0.017527927217148798
430.0,1.0202418270629277,218.66666666666666,194.33333333333334,0.25,435.0,0.020241827062927653
440.0,0.9248688664423256,154.33333333333334,125.0,0.25,445.0,0.07513113355767442
450.0,0.98108241731913,141.66666666666666,120.33333333333333,0.25,455.0,0.01891758268086996
460.0,1.0233776807186643,131.0,118.0,0.25,465.0,0.023377680718664307
470.0,1.0292324565662894,168.66666666666666,160.33333333333334,0.25,475.0,0.029232456566289367
480.0,1.0761827730113223,250.66666666666666,237.33333333333334,0.25,485.0,0.07618277301132226
490.0,1.0677368051400882,312.0,299.6666666666667,0.25,495.0,0.06773680514008817
