window_start_pt,hours_since_quake,r_bin_km,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,phi_aggregate,phi_overlap,tile_overlap_ratio
2024-09-08 08:00:00,29.0,0.0,87,48,48,51139.10749394851,15611.081586530476,48557.416163305505,15611.081586530476,0.3052669933353412,0.32149736991828776,0.5517241379310345
2024-09-08 08:00:00,29.0,10.0,189,132,132,121062.39436746991,40488.76896646794,111814.28325504852,40488.76896646794,0.33444546655478574,0.36210730675716096,0.6984126984126984
2024-09-08 08:00:00,29.0,20.0,209,149,149,239442.46892940364,130970.97179044415,235326.02800213918,130970.97179044415,0.5469830493146943,0.556551151193754,0.7129186602870813
2024-09-08 08:00:00,29.0,30.0,222,130,130,112206.6180112633,25316.315543301444,108299.31854865744,25316.315543301444,0.2256223027839605,0.2337624639062448,0.5855855855855856
2024-09-08 08:00:00,29.0,40.0,263,162,162,84627.23238817375,20808.408351154347,80177.54814850101,20808.408351154347,0.24588312489895653,0.2595291179597312,0.6159695817490495
2024-09-08 08:00:00,29.0,50.0,349,265,265,136985.4302347948,46002.015278340805,132958.08238275468,46002.015278340805,0.33581684708726145,0.3459888594505443,0.7593123209169055
2024-09-08 08:00:00,29.0,60.0,406,311,311,178614.87157587765,77768.45856758137,175094.36566544458,77768.45856758137,0.43539744412908216,0.4441516908440945,0.7660098522167488
2024-09-08 08:00:00,29.0,70.0,412,339,339,214817.31999949948,130641.30411607026,211447.37700120982,130641.30411607026,0.608150702729066,0.6178431057828765,0.8228155339805825
2024-09-08 08:00:00,29.0,80.0,346,338,338,354520.8257153864,289892.0840009453,354176.9625241773,289892.0840009453,0.8177011418609134,0.8184950312265337,0.976878612716763
2024-09-08 08:00:00,29.0,90.0,330,329,329,419466.4561084668,382877.7606235938,419389.9783605276,382877.7606235938,0.912773250513715,0.9129396990369996,0.996969696969697
2024-09-08 08:00:00,29.0,100.0,340,340,340,679505.1502232959,701676.5945067352,679505.1502232959,701676.5945067352,1.0326288097686285,1.0326288097686285,1.0
2024-09-08 08:00:00,29.0,110.0,358,356,356,1117072.6001986798,1234499.908456766,1116948.7349392285,1234499.908456766,1.1051205698154274,1.1052431233774873,0.994413407821229
2024-09-08 08:00:00,29.0,120.0,372,370,370,454995.2731588632,475252.26510387176,454949.80330770335,475252.26510387176,1.0445213239345803,1.0446257183727958,0.9946236559139785
2024-09-08 08:00:00,29.0,130.0,367,365,365,226527.88172642794,222152.5309422079,226425.4839892697,222152.5309422079,0.980685155615837,0.9811286566698283,0.9945504087193461
2024-09-08 08:00:00,29.0,140.0,201,195,195,95253.14459446043,89953.30553958764,95052.72854362513,89953.30553958764,0.9443604819826493,0.9463516399563736,0.9701492537313433
