window_start_pt,hours_since_quake,center_lat,center_lon,center_mode,center_used_for_distance,center_extrapolated,center_extrapolation_side,center_track_time_min_pt,center_track_time_max_pt,distance_mode,center_track_csv,center_track_to_tz,center_track_storm_name,path_track_points_used,path_track_length_km,path_distance_method,path_track_clip_ok,path_track_clip_kind,path_track_clip_start_pt,path_track_clip_end_pt,path_track_clip_pad_hours,path_track_clip_spatial_radius_km,path_track_points_total,path_track_length_total_km,path_track_keep_time_points,path_track_keep_spatial_points,path_track_keep_both_points,path_track_length_ratio_to_rmax,path_track_length_total_ratio_to_rmax,path_track_anchor_ok,path_track_anchor_pt,path_track_anchor_method,path_track_anchor_status
2024-10-23 08:00:00,0.0,17.081818181818182,122.41818181818182,track,1,0,within,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-24 08:00:00,24.0,17.225,118.625,track,1,0,within,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-25 08:00:00,48.0,17.3,117.2,track_extrapolated,1,1,after,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-26 08:00:00,72.0,17.3,117.2,track_extrapolated,1,1,after,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-27 08:00:00,96.0,17.3,117.2,track_extrapolated,1,1,after,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-28 08:00:00,120.0,17.3,117.2,track_extrapolated,1,1,after,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-29 08:00:00,144.0,17.3,117.2,track_extrapolated,1,1,after,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-30 08:00:00,168.0,17.3,117.2,track_extrapolated,1,1,after,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-31 08:00:00,192.0,17.3,117.2,track_extrapolated,1,1,after,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-11-01 08:00:00,216.0,17.3,117.2,track_extrapolated,1,1,after,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-11-02 08:00:00,240.0,17.3,117.2,track_extrapolated,1,1,after,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-11-03 08:00:00,264.0,17.3,117.2,track_extrapolated,1,1,after,2024-10-20 17:00:00,2024-10-24 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Trami,0,,,0,,,,,,0,,0,0,0,,,0,,,
