slug,name,event_type,data_root,t0_pt,t0_method,center_lat,center_lon,center_method,center_source_window_pt,center_source_file,n_phi_points,n_windows,t_min_hours,t_max_hours,frac_phi_aggregate_nan,frac_phi_aggregate_zero,frac_phi_aggregate_gt_2,min_phi_aggregate_nonzero,frac_phi_aggregate_nan_w_n_tiles,frac_phi_aggregate_zero_w_n_tiles,frac_phi_aggregate_gt_2_w_n_tiles,n_phi_aggregate_points,frac_phi_overlap_nan,frac_phi_overlap_zero,frac_phi_overlap_gt_2,min_phi_overlap_nonzero,frac_phi_overlap_nan_w_n_tiles_overlap,frac_phi_overlap_zero_w_n_tiles_overlap,frac_phi_overlap_gt_2_w_n_tiles_overlap,n_phi_overlap_points,n_phi_zero,n_phi_zero_due_crisis_sum_0,n_phi_zero_due_n_tiles_crisis_0,note,phase0_S,phase0_arg_key,phase0_t_at_S,phase0_phi_at_S,phase0_min_phi,phase0_max_phi,phase0_n_points
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,"/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",2024-07-05 16:00:00,auto_first_day_1600,20.434595694285033,-88.60613109144063,auto_centroid_abs_n_difference,2024-07-05 16:00:00,2897718945970473_2024-07-05_1600.csv,700,14,-8.0,304.0,0.0,0.0,0.0,0.1591421988469551,0.0,0.0,0.0,700,0.0,0.0,0.0,0.4004669982536903,0.0,0.0,0.0,700,0,0,0,,0.5095448465913361,400.0,208.0,0.4904551534086639,0.4904551534086639,1.299012032365069,650
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,"/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Beryl Across Southeastern Texas, US",2024-07-08 16:00:00,auto_first_day_1600,29.876886743027498,-95.70927163351541,auto_centroid_abs_n_difference,2024-07-08 16:00:00,3611011812282849_2024-07-08_1600.csv,630,15,-8.0,328.0,0.0,0.0,0.0031746031746031746,0.6455269268950459,0.0,0.0,1.4389679721703594e-05,630,0.0,0.0,0.0,0.6464051963837522,0.0,0.0,0.0,630,0,0,0,,2.228914800778223,390.0,88.0,3.228914800778223,0.7212583636683365,3.228914800778223,588
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,2024-06-30 16:00:00,auto_first_day_1600,11.315401214363776,-61.19693790738779,auto_centroid_abs_n_difference,2024-06-30 16:00:00,24468477373345527_2024-06-30_1600.csv,800,32,-8.0,736.0,0.0,0.0225,0.0,0.1068435908504766,0.0,0.0011289513296537882,0.0,800,0.0225,0.0,0.0,0.2199624740824189,0.0,0.0,0.0,800,18,18,18,,1.0,190.0,16.0,0.0,0.0,1.1887207692945558,775
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Ernesto Puerto Rico 14 August 2024,2024-08-14 16:00:00,auto_first_day_1600,18.28498875030832,-66.34530951205622,auto_centroid_abs_n_difference,2024-08-14 16:00:00,1208879047082673_2024-08-14_1600.csv,180,15,-8.0,328.0,0.0,0.0,0.0,0.5395250470348996,0.0,0.0,0.0,180,0.0,0.0,0.0,0.5577000858764983,0.0,0.0,0.0,180,0,0,0,,0.4604749529651004,110.0,16.0,0.5395250470348996,0.5395250470348996,1.197327543792274,168
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,2024-09-24 16:00:00,auto_first_day_1600,29.473283400499806,-83.14203518187148,auto_centroid_abs_n_difference,2024-09-24 16:00:00,3153189188863593_2024-09-24_1600.csv,735,15,-8.0,328.0,0.0,0.0,0.0,0.8562673736445513,0.0,0.0,0.0,735,0.0,0.0,0.0,0.835988719560544,0.0,0.0,0.0,735,0,0,0,,0.3963611383421397,40.0,40.0,1.3963611383421397,0.8562673736445513,1.3963611383421397,686
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,"/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane John Across Southeastern Guerrero, Mexico",2024-10-01 16:00:00,auto_first_day_1600,18.699666756815194,-98.91729567030939,auto_centroid_abs_n_difference,2024-10-01 16:00:00,1641405433122267_2024-10-01_1600.csv,350,7,-8.0,136.0,0.0,0.0,0.0,0.9116263518611676,0.0,0.0,0.0,350,0.0,0.0,0.0,0.910723977317767,0.0,0.0,0.0,350,0,0,0,,0.4708661918129695,490.0,112.0,1.4708661918129695,0.923074480908312,1.4708661918129695,300
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane John Southern Mexico 25 September 2024,2024-09-25 16:00:00,auto_first_day_1600,19.165715424786807,-99.26459955629062,auto_centroid_abs_n_difference,2024-09-25 16:00:00,4643497397444784_2024-09-25_1600.csv,750,15,-8.0,328.0,0.0,0.0,0.0,0.8272808216842107,0.0,0.0,0.0,750,0.0,0.0,0.0,0.8495350680371896,0.0,0.0,0.0,750,0,0,0,,0.3564757551479716,0.0,136.0,1.3564757551479716,0.8272808216842107,1.3564757551479716,700
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,"/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Milton Across Florida, US",2024-10-10 16:00:00,auto_first_day_1600,27.56090707996403,-81.51060342896372,auto_centroid_abs_n_difference,2024-10-10 16:00:00,5716507899797439_2024-10-10_1600.csv,373,10,-8.0,208.0,0.01876675603217158,0.0,0.0,0.4541425242908922,0.0,0.0,0.0,373,0.01876675603217158,0.0,0.0,0.7206698568925044,0.0,0.0,0.0,373,0,0,0,,0.7701989012569681,370.0,40.0,1.770198901256968,0.4541425242908922,1.770198901256968,330
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,/mnt/e/newdesktop/archive/facebook/disaster data/Line Fire Southern California 9 September 2024,2024-09-09 16:00:00,auto_first_day_1600,33.99962255853246,-117.90218040529497,auto_centroid_abs_n_difference,2024-09-09 16:00:00,3713634161750568_2024-09-09_1600.csv,360,15,-8.0,328.0,0.0,0.0,0.002777777777777778,0.7105127209858665,0.0,0.0,7.102861269281308e-05,360,0.0,0.0,0.0,0.8135169329503105,0.0,0.0,0.0,360,0,0,0,,2.208968585887644,200.0,328.0,3.208968585887644,0.7105127209858665,3.208968585887644,336
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,/mnt/e/newdesktop/archive/facebook/disaster data/Moldova Flooding Sept 16 2024,2024-09-16 16:00:00,auto_first_day_1600,47.182048824861475,28.551556929292932,auto_centroid_abs_n_difference,2024-09-16 16:00:00,3660584867350809_2024-09-16_1600.csv,560,28,-8.0,640.0,0.0,0.0,0.0,0.8473075412817307,0.0,0.0,0.0,560,0.0,0.0,0.0,0.8473075412817307,0.0,0.0,0.0,560,0,0,0,,0.1868706909307271,20.0,448.0,1.1868706909307272,0.8473075412817307,1.1868706909307272,540
