slug,event_type,r_bin_km,phi_aggregate_mean,phi_overlap_mean,n_rows,mean_n_tiles_overlap,frac_phi_overlap_zero,frac_phi_overlap_nan,time_min_hours,time_max_hours
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,0.0,0.6893669680780895,0.8108266113182917,2,2.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,10.0,0.9083600864204515,0.8641919619146099,2,14.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,20.0,0.91484677791695,0.928348167833257,2,27.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,30.0,0.9838696181779807,1.003357486774178,2,36.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,40.0,0.9707916777028269,0.9892213694336967,2,66.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,50.0,0.9859506523507828,0.9998828273932135,2,79.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,60.0,0.9475593920528647,0.9718014277929479,2,93.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,70.0,0.978412507100356,0.9951576337585251,2,130.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,80.0,0.9665756621208066,0.9859434380990391,2,153.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,90.0,0.9930031890857609,1.0178743697275277,2,152.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,100.0,0.9890930801314519,1.0217607499567825,2,174.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,110.0,0.9825676540782711,0.9873497566449256,2,189.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,120.0,0.9678028490996,0.9689182555456626,2,187.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,130.0,0.9603222571556611,0.9727392900295955,2,165.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,140.0,0.9599247829124706,0.971568669625468,2,137.0,0.0,0.0,24.0,72.0
