slug,name,event_type,t0_pt,t0_method,center_lat,center_lon,center_method,min_hours,max_hours,n_rows,r_min_km,r_max_km,n_phi_aggregate_zero,n_phi_aggregate_nan,n_phi_aggregate_gt_2,n_phi_aggregate_inf,frac_phi_aggregate_zero,frac_phi_aggregate_nan,frac_phi_aggregate_gt_2,min_phi_aggregate_nonzero,n_phi_overlap_zero,n_phi_overlap_nan,n_phi_overlap_gt_2,n_phi_overlap_inf,frac_phi_overlap_zero,frac_phi_overlap_nan,frac_phi_overlap_gt_2,min_phi_overlap_nonzero,sum_n_tiles,frac_tiles_weighted_phi_aggregate_zero,frac_tiles_weighted_phi_aggregate_nan,frac_tiles_weighted_phi_aggregate_gt_2,sum_n_tiles_overlap,frac_tiles_weighted_phi_overlap_zero,frac_tiles_weighted_phi_overlap_nan,frac_tiles_weighted_phi_overlap_gt_2,n_phi_aggregate_zero_due_crisis_sum_0,n_phi_overlap_zero_due_crisis_sum_0,baseline_total_overlap_cv,median_r_km_phi_overlap_zero,median_r_km_phi_overlap_nan,note
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,2024-07-05 16:00:00,auto_first_day_1600,20.434595694285033,-88.60613109144063,auto_centroid_abs_n_difference,0.0,,650,0.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4904551534086639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6179412086214308,54316.0,0.0,0.0,0.0,47864.0,0.0,0.0,0.0,0.0,0.0,0.0023132720122159708,,,
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,2024-07-08 16:00:00,auto_first_day_1600,29.876886743027498,-95.70927163351541,auto_centroid_abs_n_difference,0.0,,588,0.0,410.0,0.0,0.0,2.0,0.0,0.0,0.0,0.003401360544217687,0.7212583636683365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7650150724189606,259726.0,0.0,0.0,1.5400845506418302e-05,246534.0,0.0,0.0,0.0,0.0,0.0,0.005954693432218617,,,
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,2024-06-30 16:00:00,auto_first_day_1600,11.315401214363776,-61.19693790738779,auto_centroid_abs_n_difference,0.0,,775,40.0,310.0,18.0,0.0,0.0,0.0,0.023225806451612905,0.0,0.0,0.1068435908504766,0.0,18.0,0.0,0.0,0.0,0.023225806451612905,0.0,0.2199624740824189,30879.0,0.0011658408627222385,0.0,0.0,29373.0,0.0,0.0,0.0,18.0,0.0,0.011356743533016092,,190.0,
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,2024-08-14 16:00:00,auto_first_day_1600,18.28498875030832,-66.34530951205622,auto_centroid_abs_n_difference,0.0,,168,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5395250470348996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5577000858764983,24094.0,0.0,0.0,0.0,23662.0,0.0,0.0,0.0,0.0,0.0,0.005500560079688607,,,
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,2024-09-24 16:00:00,auto_first_day_1600,29.473283400499806,-83.14203518187148,auto_centroid_abs_n_difference,0.0,,686,10.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562673736445513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835988719560544,470722.0,0.0,0.0,0.0,451332.0,0.0,0.0,0.0,0.0,0.0,0.0062100204505924775,,,
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,2024-10-01 16:00:00,auto_first_day_1600,18.699666756815194,-98.91729567030939,auto_centroid_abs_n_difference,0.0,,300,0.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923074480908312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9362285813911392,81004.0,0.0,0.0,0.0,74857.0,0.0,0.0,0.0,0.0,0.0,0.0037772240459246834,,,
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,2024-09-25 16:00:00,auto_first_day_1600,19.165715424786807,-99.26459955629062,auto_centroid_abs_n_difference,0.0,,700,0.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8272808216842107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8495350680371896,361582.0,0.0,0.0,0.0,335751.0,0.0,0.0,0.0,0.0,0.0,0.004969229862994977,,,
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,2024-10-10 16:00:00,auto_first_day_1600,27.56090707996403,-81.51060342896372,auto_centroid_abs_n_difference,0.0,,336,0.0,390.0,0.0,6.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.4541425242908922,0.0,6.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.7206698568925044,99913.0,0.0,0.0,0.0,97493.0,0.0,0.0,0.0,0.0,0.0,0.005547773643089015,,325.0,
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,2024-09-09 16:00:00,auto_first_day_1600,33.99962255853246,-117.90218040529497,auto_centroid_abs_n_difference,0.0,,336,0.0,230.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002976190476190476,0.7105127209858665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8135169329503105,78828.0,0.0,0.0,7.611508601004719e-05,76079.0,0.0,0.0,0.0,0.0,0.0,0.007225854381048625,,,
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,2024-09-16 16:00:00,auto_first_day_1600,47.182048824861475,28.551556929292932,auto_centroid_abs_n_difference,0.0,,540,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8473075412817307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8473075412817307,111759.0,0.0,0.0,0.0,105277.0,0.0,0.0,0.0,0.0,0.0,0.013337638871473087,,,
park_fire_2024,"The Park Fire in Northern California, US",wildfire,2024-07-29 16:00:00,auto_first_day_1600,38.9076659746211,-121.4453147319471,auto_centroid_abs_n_difference,0.0,,743,0.0,480.0,0.0,7.0,0.0,0.0,0.0,0.009421265141318977,0.0,0.6463561538063544,0.0,7.0,0.0,0.0,0.0,0.009421265141318977,0.0,0.6638810466864019,130704.0,0.0,0.0,0.0,125368.0,0.0,0.0,0.0,0.0,0.0,0.009466190744998612,,480.0,
