group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,11,0.7379977224456631,0.10171333147192971,0.1378233677129249,good
all,0.5,1.0,18,0.7329926961254811,0.13313656605377305,0.1816342328614164,good
all,1.0,1.5,23,0.6139312599303561,0.22082318041341803,0.3596871422355461,medium
all,1.5,2.0,6,0.4294539060954184,0.18887895806803717,0.4398119457925504,medium
all,2.0,2.5,10,0.32712637418897844,0.1098334063339059,0.3357522199370448,medium
all,2.5,3.0,5,0.27065874176313026,0.1589681351475581,0.5873378931417654,bad
EVAC,0.0,0.5,2,0.7772858172638754,0.08785847112353737,,insufficient
EVAC,0.5,1.0,6,0.6925559464954306,0.0854868867603972,0.1234367955296464,good
EVAC,1.0,1.5,8,0.5230148082927093,0.2076779048135327,0.3970784412232247,medium
EVAC,1.5,2.0,3,0.3018173474024573,0.06411260040165245,0.21242185365893407,good
EVAC,2.0,2.5,4,0.2357019247492819,0.08088485013276142,0.3431658448220112,medium
EVAC,2.5,3.0,3,0.170281101987138,0.07860840034001391,0.4616390158548041,medium
INFL,0.0,0.5,8,0.7133859254177131,0.1026816721393242,0.1439356573781581,good
INFL,0.5,1.0,10,0.7481849924389687,0.15147026495549695,0.2024502850046845,good
INFL,1.0,1.5,13,0.6576713805473402,0.2175995835383487,0.3308636957217961,medium
INFL,1.5,2.0,2,0.5964248178520927,0.25124839953376316,,insufficient
INFL,2.0,2.5,5,0.3986123230400266,0.08644367014617778,0.216861509666618,good
INFL,2.5,3.0,1,0.3401160727527026,,,insufficient
