slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,n_mono,alpha,logA,r2,r_max_km
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.1406197466282775,-8.0,5,0.7991541526975396,1.7890567925512948,0.8659722861869076,100.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.18604033563075106,-8.0,10,0.7728839188584483,1.998136759457262,0.9782879025324209,100.0
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,INFL,0.09377218421841287,16.0,2,,,,100.0
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,0.08998731788251359,-8.0,2,,,,100.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,0.2180557057539388,328.0,0,,,,100.0
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.10597803273815912,-8.0,3,0.02414237432351084,-0.2775390422736085,0.5139586334186157,100.0
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.13475803697772992,136.0,2,,,,100.0
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.15053603583519143,64.0,3,0.1978332789298143,0.5995006516046526,0.6451094231317179,100.0
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,0.10959464183592206,328.0,0,,,,100.0
moldova_flooding_2024,moldova,flood,INFL,0.07562146755583748,448.0,3,0.26823934221048307,0.4966176240489856,0.9986702486355047,100.0
park_fire_2024,park_fire1,wildfire,INFL,0.05902290976620741,376.0,0,,,,100.0
park_fire_california_29_july_2024,park_fire2,wildfire,LOW_SIGNAL,0.026745570275091814,328.0,0,,,,100.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.18689759586656413,-8.0,5,1.3346264281473221,3.913978002890486,0.946743069036407,100.0
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.0984085352634288,16.0,2,,,,100.0
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.11000776881197298,16.0,2,,,,100.0
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,0.2016825948523002,136.0,0,,,,100.0
the_flooding_in_conakry_city_conakry_guinea,the_flooding_in_conakr,flood,INFL,0.10668272769427972,64.0,2,,,,100.0
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,EVAC,0.10676661442354965,16.0,1,,,,100.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,INFL,0.12592629697514612,40.0,2,,,,100.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,0.07528544514073326,232.0,1,,,,100.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,INFL,0.1378499433587149,16.0,2,,,,100.0
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,NEUTRAL,0.07144864038169277,280.0,1,,,,100.0
turkiye_earthquake_2023,turkiye,earthquake,NEUTRAL,0.44013490372719016,16.0,4,0.24264208926397757,0.3894084099559461,0.9499871909376588,100.0
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,0.1264927328048625,-8.0,2,,,,100.0
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.25606141478421734,-8.0,5,0.8352895176909958,2.274887138917272,0.9819213100043818,100.0
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,0.12541598977107277,136.0,2,,,,100.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.13353186714344675,-8.0,5,0.5987910384842978,0.9292026425295752,0.8766110711392455,150.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.1477793079793463,-8.0,10,0.6669067060290015,1.7352872181186934,0.9844867338352096,150.0
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,0.08443616329054777,352.0,3,0.30982468874123,0.8308630448425419,0.921746265220666,150.0
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,0.11221423538369692,-8.0,2,,,,150.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,0.21187368757679226,328.0,0,,,,150.0
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.10954285387594193,-8.0,3,0.022442008397876446,-0.2555963937701238,0.6009030945016326,150.0
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.12311067434711791,136.0,2,,,,150.0
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.1443924128649175,64.0,3,0.19315808935987527,0.6001674229674958,0.6155338150422258,150.0
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,0.11260267026094341,280.0,2,,,,150.0
moldova_flooding_2024,moldova,flood,INFL,0.06757498910659214,448.0,4,0.23417659067813673,0.3443676900097235,0.8960342947372177,150.0
park_fire_2024,park_fire1,wildfire,INFL,0.05887796196374044,376.0,0,,,,150.0
park_fire_california_29_july_2024,park_fire2,wildfire,LOW_SIGNAL,0.02953701954575967,280.0,2,,,,150.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.19075935161092714,-8.0,5,1.1612140626578538,3.244941860787956,0.9643706311222932,150.0
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.08361494601156025,16.0,3,0.14912644724226573,-0.33413993732312647,0.47598821695028926,150.0
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.11605915570748448,16.0,6,0.15498024471192492,0.41802524560220466,0.6825419065571231,150.0
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,0.18773292470430766,136.0,0,,,,150.0
the_flooding_in_conakry_city_conakry_guinea,the_flooding_in_conakr,flood,INFL,0.09437448063105641,160.0,2,,,,150.0
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,EVAC,0.09908176072434083,16.0,1,,,,150.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,INFL,0.09340427430473053,40.0,2,,,,150.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,0.0792931028402412,232.0,1,,,,150.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,INFL,0.09773775282641117,16.0,2,,,,150.0
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,NEUTRAL,0.08066181599328422,280.0,1,,,,150.0
turkiye_earthquake_2023,turkiye,earthquake,NEUTRAL,0.44716643561220276,16.0,4,0.31378062451893957,0.7080301202483529,0.9898760533994029,150.0
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,0.13100288050393488,-8.0,2,,,,150.0
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.25648113051572646,-8.0,5,0.8332010653890054,2.395042213079635,0.9967433972852874,150.0
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,0.13454777494425912,136.0,2,,,,150.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.12183737847793855,-8.0,5,0.593924263029768,0.90039281186333,0.8967379651088067,200.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.11823524674694585,-8.0,6,0.6471140254387306,1.710530535105369,0.9822863437981075,200.0
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,0.1714251397966239,16.0,6,0.4253901178736078,1.3450522415828914,0.9127457036357022,200.0
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,0.11221423538369692,-8.0,2,,,,200.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,0.17415395812046633,328.0,0,,,,200.0
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.10131234143207328,-8.0,3,-0.018788522877199818,-0.36418648091484296,0.950505478152221,200.0
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.11693105353575652,136.0,3,0.08226672574180169,-0.05538809143626206,0.6243409755523252,200.0
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.14026091970829224,64.0,3,0.2091651414158485,0.6416062706101079,0.629826070078598,200.0
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,0.11380356812147989,280.0,2,,,,200.0
