slug,short_name,disaster_type,event_type,n_pts,best_model,BIC_power,BIC_exp,BIC_strexp,dBIC_power,dBIC_exp,dBIC_strexp,alpha_power,tau_exp,tau_strexp,beta_strexp
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,4,stretched_exp,-28.779903373201712,-31.4405759877167,-31.440815753351263,2.6609123801495507,0.0002397656345642929,0.0,0.10318609933771668,471.5451098708314,231.8991259322147,2.0505390152938388
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,5,exponential,-29.159910732686306,-36.075821433849164,-34.581907734184725,6.915910701162858,0.0,1.4939136996644393,0.6294772742523949,70.979304938345,74.84312032353525,1.0922404006707058
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,5,stretched_exp,-35.35737272958925,-36.5051842073644,-44.01342352478633,8.656050795197082,7.508239317421932,0.0,0.7022087587897968,64.05741788256539,11.859034731271587,0.4315265994861457
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,5,stretched_exp,-32.93555942082942,-33.47430704191992,-40.75023341663004,7.814673995800618,7.275926374710117,0.0,0.5773301817014141,82.07098425035463,23.643192522376975,0.4546602210916303
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,1,,,,,,,,,,,
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,3,exponential,-27.47666084663695,-30.859561396942784,-26.591582398170083,3.382900550305834,0.0,4.267978998772701,0.06144715018141958,651.4006551212083,1999.9998224816015,0.08732460216403819
hurricane_milton_across_florida_us,milton_fl,hurricane,EVAC,2,,,,,,,,,,,
moldova_flooding_2024,moldova,flood,INFL,0,,,,,,,,,,,
spain_flood,spain_flood,flood,INFL,4,power_law,-44.085484432327306,-29.427373758579385,-41.88422966940901,0.0,14.65811067374792,2.201254762918296,0.22640333095301368,223.2478243128671,1.0000000000000067,0.13498969790621196
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,4,power_law,-25.274726348331313,-25.009060199240384,-23.98599493653201,0.0,0.26566614909092934,1.2887314117993043,0.33875475758574514,148.8229809011632,40.70391779419932,0.3228994687230404
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0,,,,,,,,,,,
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,5,exponential,-35.07076692341856,-37.94695272912468,-36.40554913803435,2.876185805706122,0.0,1.5414035910903294,0.2578069299662622,212.61396452240848,205.0755187866189,1.1537165749133453
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,2,,,,,,,,,,,
turkiye_earthquake_2023,turkiye,earthquake,INFL,4,power_law,-30.717588504414927,-27.316595684161754,-29.408287103941237,0.0,3.4009928202531725,1.3093014004736894,0.2459237361100619,204.29634614118487,1.0001594993146132,0.1425826848164106
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,6,stretched_exp,-38.17284772991833,-37.601835048480375,-46.224215621086,8.051367891167672,8.622380572605628,0.0,0.46467735350993006,101.57517274679769,47.31690666442101,0.49029433572289527
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,6,exponential,-38.22912305318011,-38.97873378004281,-36.468483636812365,0.7496107268626986,0.0,2.5102501432304436,0.04168809059339506,1327.925687300705,1999.9999988343304,0.05108793023699169
