removed_slug,n_after_remove,spearman_rho,spearman_p
flooding_in_central_and_eastern_europe_sept_16_2024,11,-0.5090909090909091,0.10973723224165634
hurricane_john_across_southeastern_guerrero_mexico,11,-0.5181818181818182,0.1024915397909638
hurricane_john_southern_mexico_25_september_2024,11,-0.5545454545454546,0.07665233333978243
park_fire_california_29_july_2024,11,-0.5818181818181819,0.06041989621564838
spain_flood,11,-0.6000000000000001,0.05100326070695074
the_flooding_across_bagmati_and_koshi_provinces_nepal,11,-0.46363636363636374,0.15090149929248592
the_flooding_across_rio_grande_do_sul_state_brazil,11,-0.46363636363636374,0.15090149929248592
the_wildfires_in_quito_pichincha_province_ecuador,11,-0.46363636363636374,0.15090149929248592
tropical_storm_debby_united_states_pre_landfall_4_august_2024,11,-0.6000000000000001,0.05100326070695074
turkiye_earthquake_2023,11,-0.5181818181818182,0.1024915397909638
typhoon_krathon_across_taiwan,11,-0.5090909090909091,0.10973723224165634
typhoon_yagi_across_northeastern_vietnam,11,-0.3727272727272728,0.2589258736842221
