group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,12,0.7674449321438641,0.09174407081237776,0.11954482591485736,good
all,0.5,1.0,16,0.6876035586291886,0.1378552763977146,0.2004865662309018,good
all,1.0,1.5,21,0.5619360760104471,0.2307398714765704,0.4106158713189303,medium
all,1.5,2.0,9,0.40477164057630943,0.15047071532512282,0.371742237452417,medium
all,2.0,2.5,13,0.35971155173741187,0.14835030254909687,0.4124146189705691,medium
all,2.5,3.0,9,0.36046204010878724,0.17919022038826415,0.49711259564026394,medium
EVAC,0.0,0.5,4,0.7537702044824306,0.048074599478057055,0.06377885354471796,good
EVAC,0.5,1.0,6,0.568902983348064,0.027805324931407874,0.04887533682416309,good
EVAC,1.0,1.5,10,0.44450080428647765,0.18127365408163068,0.4078140069343971,medium
EVAC,1.5,2.0,5,0.3054549220922295,0.07049719293204555,0.23079409704440618,good
EVAC,2.0,2.5,8,0.3143320261010941,0.1300478977782396,0.4137278004768568,medium
EVAC,2.5,3.0,5,0.30791946286356703,0.1812480736988576,0.5886216870258864,bad
INFL,0.0,0.5,5,0.763531886607401,0.08396942572980333,0.1099750085132717,good
INFL,0.5,1.0,7,0.7883701483845548,0.1268110489186959,0.16085216973086028,good
INFL,1.0,1.5,8,0.7194552524222003,0.2459169568153609,0.34180994021160976,medium
INFL,1.5,2.0,1,0.5352899280498978,,,insufficient
INFL,2.0,2.5,2,0.44076257459481116,0.19187148532521894,,insufficient
INFL,2.5,3.0,1,0.6311650644326411,,,insufficient
