slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,fit_method,fit_min_tprime_hours,n_mono,n_post_fit,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs,near_delta_peak_windows_mean,D_inf_summary,n_time_windows,D_peak_summary,D_peak_snr,catalog_exclude_reason,route_b_exclude_via_catalog,route_b_exclude_via_cli,quality_short_windows,quality_short_post_peak,quality_low_signal,quality_low_snr,quality_missing_near_delta,analysis_n_mono_lt_threshold,analysis_alpha_nan,data_quality_ok,analysis_applicability_ok,route_b_base_ok,route_b_excluded_slug,route_b_low_r2,route_b_selected,route_b_selected_plot,drop_reason_primary,drop_reason_class
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.1414345392322095,519.0,monotone_truncated,0.0,6,7,7,-0.019932846958125125,-0.26850320986213405,0.2518761682104621,24.0,144.0,0.882869213732102,0.12486820044650294,0.10130224222134002,0.882869213732102,27,0.1414345392322095,,,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,selected,selected
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.22379660732310716,4.0,monotone_truncated,0.0,6,13,13,0.666665607942735,0.9499052867206169,0.9876794986482511,24.0,144.0,0.0940187970949963,0.021041087814459777,-0.441916794587687,0.0940187970949963,14,0.22379660732310716,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.19812891251580783,0.0,monotone_truncated,0.0,6,14,14,0.7346577063541232,1.732618647427304,0.9957435887979487,24.0,144.0,0.14213114857980488,0.028160289902739447,-0.279299263948949,0.14213114857980488,15,0.19812891251580783,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,0.5637501440286489,63.0,monotone_truncated,0.0,9,13,13,0.3873447555457084,1.011315748021957,0.8943490655993533,24.0,216.0,0.29023022652565456,0.16361733200530515,-0.4043102839178534,0.29023022652565456,14,0.5637501440286489,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,0.0406906391109932,220.0,monotone_truncated,0.0,0,0,0,,,,,,,,-0.010765880977208594,,8,0.0406906391109932,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,0.08680429113640102,48.0,monotone_truncated,0.0,2,14,14,,,,24.0,48.0,0.331393410798426,0.028766370111631513,0.0692051876134339,0.331393410798426,15,0.08680429113640102,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,0.19974310723703567,264.0,monotone_truncated,0.0,0,0,0,,,,,,,,0.1743755540274281,,12,0.19974310723703567,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,EVAC,0.1680446683826242,179.75,monotone_truncated,0.0,1,6,6,,,,24.0,24.0,0.46795746636427354,0.07863775725235736,-0.2564191584045255,0.46795746636427354,7,0.1680446683826242,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.10882862270919931,-1.0,monotone_truncated,0.0,2,12,12,,,,24.0,48.0,0.8202635946349615,0.08926815726261983,0.04964026664173063,0.8202635946349615,13,0.10882862270919931,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
hurricane_melissa_10_27_2025,melissa,hurricane,NEUTRAL,0.5165318431971555,48.0,monotone_truncated,0.0,3,3,3,0.2994973856766805,0.8831809982782388,0.9699239460462138,24.0,288.0,0.4123533978838072,0.21299366065753297,,0.4123533978838072,5,0.5165318431971555,,,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,data_quality_short_post_peak,data_quality
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.19718479339177836,0.0,monotone_truncated,0.0,2,9,9,,,,24.0,48.0,0.5777382964968559,0.11392120662925052,0.03710834271388047,0.5777382964968559,10,0.19718479339177836,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,0.11963874711872545,280.0,monotone_truncated,0.0,2,2,2,,,,24.0,48.0,0.9522420911727965,0.1139250507416285,0.10727361797996018,0.9522420911727965,15,0.11963874711872545,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
park_fire_2024,park_fire1,wildfire,INFL,0.0656834433453838,497.1333333333333,monotone_truncated,0.0,0,0,0,,,,,,,,0.05772761821359156,,17,0.0656834433453838,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,0.036348986424570254,449.1333333333333,monotone_truncated,0.0,0,0,0,,,,,,,,0.04602092377705498,,15,0.036348986424570254,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
spain_flood,spain_flood,flood,INFL,0.11509789286445085,120.5,monotone_truncated,0.0,4,5,5,0.04750568729282016,0.047377973996053084,0.7074536253797205,24.0,96.0,0.8784073594076454,0.10110283614444635,0.20263897177644288,0.8784073594076454,10,0.11509789286445085,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
