slug,short_name,disaster_type,event_type,fit_method,n_pts,best_model,BIC_power,BIC_exp,BIC_strexp,dBIC_power,dBIC_exp,dBIC_strexp,alpha_power,tau_exp,tau_strexp,beta_strexp
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,monotone_truncated,4,power_law,-28.930531428272463,-26.87288980569553,-27.398317835203898,0.0,2.0576416225769343,1.5322135930685654,0.07474055000344927,790.3217770849183,1.0000000000052012,0.05885158667372452
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,monotone_truncated,5,stretched_exp,-41.24805173440997,-48.22745591097704,-53.0254688399688,11.777417105558833,4.79801292899176,0.0,0.7641428291906583,65.10358936929367,42.99278961161732,0.7042190885097376
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,monotone_truncated,6,power_law,-43.55113251671207,-40.014323929033985,-41.837431293730155,0.0,3.536808587678088,1.7137012229819177,0.5875592087091123,100.58574156296052,1.000000000000058,0.2331715608317961
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,monotone_truncated,8,exponential,-43.57819318300719,-53.30297993396213,-51.285326734536085,9.72478675095494,0.0,2.017653199426043,0.336155183941416,208.69643652981696,209.92862704702,1.0634532430791632
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,monotone_truncated,3,stretched_exp,-24.311078775817734,-31.145053863998026,-82.89306334778564,58.58198457196791,51.74800948378761,0.0,0.34401331684269043,121.16388588731239,116.77123049519783,0.7671993010421658
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,monotone_truncated,1,,,,,,,,,,,
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,monotone_truncated,0,,,,,,,,,,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,EVAC,monotone_truncated,1,,,,,,,,,,,
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,monotone_truncated,2,,,,,,,,,,,
hurricane_milton_across_florida_us,milton_fl,hurricane,EVAC,monotone_truncated,2,,,,,,,,,,,
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,monotone_truncated,2,,,,,,,,,,,
park_fire_2024,park_fire1,wildfire,INFL,monotone_truncated,0,,,,,,,,,,,
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,monotone_truncated,0,,,,,,,,,,,
spain_flood,spain_flood,flood,INFL,monotone_truncated,5,exponential,-36.69955539259102,-39.08850401006963,-37.50006488974422,2.3889486174786043,0.0,1.588439120325404,0.1208151317451274,473.65301190547996,513.8191452416286,0.9208099303969479
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,monotone_truncated,3,exponential,-8.402915614647425,-15.466306628380801,-15.226682199384939,7.063391013733376,0.0,0.239624428995862,0.6707636914965611,21.065543510376763,9.957515048347746,0.6940066499161172
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,EVAC,monotone_truncated,7,stretched_exp,-28.520596565063403,-29.332326917587626,-33.36800933325557,4.847412768192168,4.035682415667946,0.0,0.609207197973569,59.74176558074544,5.766578214363889,0.3899737018162924
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,monotone_truncated,3,power_law,-19.723409185732315,-16.30963838235176,-17.66919781888132,0.0,3.4137708033805545,2.0542113668509963,0.4774924059737074,89.50125002772712,2.1252903483528063,0.23622510011595027
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,monotone_truncated,1,,,,,,,,,,,
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,EVAC,monotone_truncated,3,power_law,-17.95456314824813,-15.830185349700118,-16.30335546577539,0.0,2.1243777985480126,1.6512076824727409,0.7161445616631454,54.339018008114714,1.4168597545645087,0.2890579846399588
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,EVAC,monotone_truncated,7,stretched_exp,-36.89227266834104,-46.95104447481037,-53.23624246435455,16.343969796013504,6.28519798954418,0.0,0.3743337167956515,165.56780894759493,169.58230425148352,1.8076838727906117
turkiye_earthquake_2023,turkiye,earthquake,INFL,monotone_truncated,1,,,,,,,,,,,
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,monotone_truncated,1,,,,,,,,,,,
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,monotone_truncated,9,stretched_exp,-51.2759851375638,-54.75619761137392,-56.735739828606505,5.459754691042704,1.9795422172325843,0.0,0.5379116509293806,134.19722162433467,78.12529496942041,0.5939325763247069
