group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,13,0.7744249893427511,0.11665963435402517,0.15064032793290072,good
all,0.5,1.0,16,0.6768340993671974,0.11908426557133435,0.1759430644565213,good
all,1.0,1.5,22,0.5616372513534809,0.23729313245425376,0.42250248159716036,medium
all,1.5,2.0,8,0.3657706670623297,0.1625428109812159,0.4443844890205959,medium
all,2.0,2.5,11,0.3775340041024466,0.19914263523219297,0.5274826454523927,bad
all,2.5,3.0,8,0.3546349106240928,0.2102512194239926,0.5928666725280621,bad
EVAC,0.0,0.5,4,0.7710258252210954,0.05903452471275946,0.07656620930411899,good
EVAC,0.5,1.0,6,0.5749517407286601,0.04222804445298216,0.07344624159145047,good
EVAC,1.0,1.5,8,0.3893405307041009,0.06837270327917946,0.17561157364102625,good
EVAC,1.5,2.0,5,0.3006270311216385,0.0866008531538817,0.2880674197219531,good
EVAC,2.0,2.5,7,0.3211866673216007,0.16848319622509336,0.5245647262698889,bad
EVAC,2.5,3.0,5,0.31800446870948473,0.25213495693644433,0.7928660812838578,bad
INFL,0.0,0.5,8,0.753137563244874,0.1283795722288589,0.17045965902396207,good
INFL,0.5,1.0,8,0.7545897030686348,0.11479040569309112,0.15212294207869703,good
INFL,1.0,1.5,10,0.7268934741622622,0.20833785600696098,0.2866140134867332,good
INFL,1.5,2.0,1,0.703321768415777,,,insufficient
INFL,2.0,2.5,2,0.4582845692868789,0.21665132785857052,,insufficient
INFL,2.5,3.0,1,0.41379458638095523,,,insufficient
