group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,15,0.8040730425939377,0.12743525909454878,0.15848716763770979,good
all,0.5,1.0,17,0.7229532151617534,0.14295450399508147,0.1977368673339351,good
all,1.0,1.5,31,0.6312579016236783,0.2280360694892354,0.3612407367934669,medium
all,1.5,2.0,3,0.4575050950196314,0.1192470809553833,0.26064645454990276,good
all,2.0,2.5,6,0.35312146350161644,0.08545881919401896,0.2420096992875874,good
all,2.5,3.0,3,0.34560519648261095,0.11820741892723698,0.34203021288536833,medium
EVAC,0.0,0.5,3,0.838837989270622,0.10187140655133174,0.12144348235814874,good
EVAC,0.5,1.0,4,0.6491959166205654,0.12554628542087906,0.19338736151394637,good
EVAC,1.0,1.5,11,0.6336252496964246,0.2244341016069268,0.3542063731116384,medium
EVAC,1.5,2.0,1,0.35030445988435166,,,insufficient
EVAC,2.0,2.5,2,0.29536282482339865,0.06810389327468426,,insufficient
EVAC,2.5,3.0,1,0.24309834779512723,,,insufficient
INFL,0.0,0.5,10,0.7766491653339773,0.13748351808560783,0.1770213942436759,good
INFL,0.5,1.0,12,0.728470676640628,0.1365836187305779,0.18749363990934922,good
INFL,1.0,1.5,17,0.6043297469108685,0.20689938464300767,0.34236174158331295,medium
INFL,1.5,2.0,2,0.5111054125872713,0.10583840688827675,,insufficient
INFL,2.0,2.5,4,0.3820007828407253,0.08538096506272692,0.22350992170172174,good
INFL,2.5,3.0,2,0.3968586208263528,0.110383453185342,,insufficient
