slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,fit_method,fit_min_tprime_hours,n_mono,n_post_fit,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs,near_delta_peak_windows_mean,D_inf_summary,n_time_windows,D_peak_summary,D_peak_snr,catalog_exclude_reason,route_b_exclude_via_catalog,route_b_exclude_via_cli,quality_short_windows,quality_short_post_peak,quality_low_signal,quality_low_snr,quality_missing_near_delta,analysis_n_mono_lt_threshold,analysis_alpha_nan,data_quality_ok,analysis_applicability_ok,route_b_base_ok,route_b_excluded_slug,route_b_low_r2,route_b_selected,route_b_selected_plot,drop_reason_primary,drop_reason_class
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.1426724059165762,519.0,monotone_truncated,0.0,6,7,7,-0.014878197323548087,-0.26017756501145484,0.14082254965527652,24.0,144.0,0.8717764245837184,0.12437843991670976,0.10130224222134002,0.8717764245837184,27,0.1426724059165762,,,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,selected,selected
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.2361301317007472,4.0,monotone_truncated,0.0,6,13,13,0.7412300746592427,1.2922176868041935,0.9787072412745618,24.0,144.0,0.08322137413214004,0.019651074034139383,-0.441916794587687,0.08322137413214004,14,0.2361301317007472,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.24076115611938526,0.0,monotone_truncated,0.0,6,14,14,0.8001103007909469,1.9061827506025346,0.99008402077699,24.0,144.0,0.11688674322546568,0.02814178743399284,-0.279299263948949,0.11688674322546568,15,0.24076115611938526,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,0.5637501440286489,63.0,monotone_truncated,0.0,9,13,13,0.3873447555457084,1.011315748021957,0.8943490655993533,24.0,216.0,0.29023022652565456,0.16361733200530515,-0.4043102839178534,0.29023022652565456,14,0.5637501440286489,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,0.04413284569152167,220.0,monotone_truncated,0.0,0,0,0,,,,,,,,-0.010765880977208594,,8,0.04413284569152167,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,0.08680429113640102,48.0,monotone_truncated,0.0,2,14,14,,,,24.0,48.0,0.331393410798426,0.028766370111631513,0.0692051876134339,0.331393410798426,15,0.08680429113640102,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,0.21994754521327317,264.0,monotone_truncated,0.0,0,0,0,,,,,,,,0.1743755540274281,,12,0.21994754521327317,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,EVAC,0.18616370552199735,179.75,monotone_truncated,0.0,1,6,6,,,,24.0,24.0,0.43967566493477794,0.08185165101210637,-0.2564191584045255,0.43967566493477794,7,0.18616370552199735,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.1131340460233175,-1.0,monotone_truncated,0.0,2,12,12,,,,24.0,48.0,0.7976843132890192,0.09024525381171832,0.04964026664173063,0.7976843132890192,13,0.1131340460233175,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
hurricane_melissa_10_27_2025,melissa,hurricane,NEUTRAL,0.4859721502432578,48.0,monotone_truncated,0.0,3,3,3,0.5177465020766816,1.6051300315098,0.9923994694503929,24.0,288.0,0.24918080348352806,0.1210949308682328,,0.24918080348352806,5,0.4859721502432578,,,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,data_quality_short_post_peak,data_quality
