slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,n_mono,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,0.2787893232210855,528.0,4,12,0.36249659665421535,0.13188398807539028,0.9718584680338195,24.0,96.0,0.38778381018857344,0.10810998599856628
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.10140977225297246,456.0,6,7,-0.017233894421875045,-0.2143193309065961,0.11043804738395357,24.0,144.0,0.9382873307233776,0.09515150451650717
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,0.04988296177968236,168.0,0,0,,,,,,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.10301149441804595,72.0,2,6,,,,24.0,48.0,0.9080796353325424,0.0935426402861994
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.1205143778917579,48.0,4,13,0.18941931476834994,0.5831521484745004,0.7131887993281719,24.0,96.0,0.7382509389548852,0.08896985263615413
hurricane_melissa_10_27_2025,melissa,hurricane,NEUTRAL,0.4859721502432578,48.0,3,3,0.5177465020766816,1.6051300315098,0.9923994694503929,24.0,288.0,0.24918080348352806,0.1210949308682328
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,india_monsoon_season_s,monsoon,INFL,0.20452273782169444,168.0,2,27,,,,24.0,48.0,0.66254590705336,0.1355057028431111
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,0.11161292058009191,304.0,1,1,,,,24.0,24.0,0.9792946558972618,0.10930193665316952
moldova_flooding_2024,moldova,flood,INFL,0.058662951664797056,456.0,4,8,0.1815406261687583,0.22173889341547212,0.9222288255153467,24.0,96.0,0.6954259000503025,0.04079573596109888
pakistan_monsoon_season_study_sindh_2024_05_09,pakistan_monsoon_seaso,monsoon,INFL,0.09865752326252827,144.0,1,28,,,,24.0,24.0,0.43280521672996464,0.042699490737680076
park_fire_2024,park_fire1,wildfire,INFL,0.05979896843791539,384.0,0,0,,,,,,,
park_fire_california_29_july_2024,park_fire2,wildfire,NEUTRAL,0.03387571160755359,264.0,3,3,0.07602546255927656,0.18976441560140303,0.9412879146771224,24.0,72.0,0.8800534544141572,0.029812437020965296
spain_flood,spain_flood,flood,INFL,0.13305641705151502,96.0,4,5,0.1490679508606576,0.3168030919325868,0.9841019535765251,24.0,96.0,0.771509589947988,0.10265430175936284
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.18936627469120573,0.0,5,14,1.0507015902533716,2.7372125537046545,0.9377001679562408,24.0,120.0,0.5198433422657118,0.09844079714788327
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.07899557914859343,24.0,1,10,,,,24.0,24.0,0.5735912882241628,0.045311176007855516
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.12328359603960092,24.0,6,6,0.14297190551500524,0.3588912290518477,0.8582624070590992,24.0,144.0,0.6961618195470718,0.08582533253923474
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,INFL,0.10100130445168405,288.0,3,16,0.3626034033076599,0.714562081716301,0.8595245459799484,24.0,72.0,0.2586430455671484,0.026123284989638347
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,0.17875277639742135,144.0,0,0,,,,,,,
the_flooding_in_conakry_city_conakry_guinea,the_flooding_in_conakr,flood,INFL,0.08482401597164912,168.0,2,5,,,,24.0,48.0,0.9588605196874963,0.08133440003655597
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,0.08872607418470607,16.0,4,13,0.4242021835762336,1.3947344441016678,0.6809807649039861,24.0,96.0,0.4345220489379706,0.03855343554896086
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,0.07451807214629744,0.0,2,13,,,,24.0,48.0,0.781774876107808,0.05825635661996438
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,0.08546964172429679,240.0,1,1,,,,24.0,24.0,0.6431878830035859,0.05497303792172541
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.40114008822652447,16.0,4,34,0.2228386744457223,0.4673588092926708,0.9593725850264299,24.0,96.0,0.5693644673300816,0.22839491265783704
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,0.11423649525527046,144.0,4,4,0.22547884960157316,0.7286947605211352,0.7308660665207825,24.0,96.0,0.6765292663126556,0.07728433232117729
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.3173934156827427,29.0,5,10,0.5223034173699458,1.4220224411003037,0.9554191237720306,24.0,120.0,0.28279859189766005,0.08975841103266832
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,0.13702819190526905,144.0,3,8,0.16342708764258726,-0.3918108590907186,0.8566825063310943,24.0,72.0,0.36042467877560797,0.04938834205065896
