slug,n_rows,n_valid_xy,n_positive_abs_delta0_valid,sum_abs_delta0_valid,participated_exp2_event_level,exclude_reason
cambodia_monsoon_season_study_2024_05_09,16,16,16,4.484964972605722,1,
flooding_in_central_and_eastern_europe_sept_16_2024,21,21,21,2.112431976224489,1,
hurricane_debby_across_florida_and_georgia_us,20,20,20,0.9148761585709564,1,
hurricane_john_across_southeastern_guerrero_mexico,21,21,21,2.238280694834041,1,
hurricane_john_southern_mexico_25_september_2024,21,21,21,2.310014071538607,1,
hurricane_melissa_aftermath_2025_11_03,19,19,19,6.576709618278392,1,
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,21,21,21,1.631645777976554,1,
line_fire_southern_california_9_september_2024,21,21,21,2.327660768367046,1,
moldova_flooding_2024,20,20,20,1.202956021880936,1,
pakistan_monsoon_season_study_sindh_2024_05_09,18,18,18,1.0973306255940425,1,
park_fire_2024,21,21,21,0.5791518930349256,1,
park_fire_california_29_july_2024,21,21,21,0.6479463129279326,1,
spain_flood,21,21,21,2.6807604935482723,1,
the_earthquake_across_central_mexico,21,21,21,5.199501234365966,1,
the_earthquake_across_dhaka_division_bangladesh,21,21,21,0.6729768667233685,1,
the_flooding_across_bagmati_and_koshi_provinces_nepal,21,20,20,0.4381237122329281,1,
the_flooding_across_eastern_bangladesh,21,21,21,1.7353552583224072,1,
the_flooding_across_gujarat_india,21,21,21,2.1598595258272852,1,
the_flooding_across_rio_grande_do_sul_state_brazil,21,21,21,2.1798464084093,1,
the_flooding_in_benue_and_kogi_states_nigeria,19,0,0,0.0,0,no_valid_R24_72_pairs
the_flooding_in_conakry_city_conakry_guinea,17,17,17,1.2740693544890358,1,
the_wildfires_in_quito_pichincha_province_ecuador,21,21,21,2.1141495532065817,1,
tropical_storm_debby_united_states_pre_landfall_4_august_2024,20,20,20,1.2420007358563765,1,
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,21,21,21,0.7114555126743625,1,
turkiye_earthquake_2023,21,20,20,6.4384989583576555,1,
typhoon_krathon_across_taiwan,21,21,21,2.7020632594297815,1,
typhoon_yagi_across_northeastern_vietnam,18,18,18,5.2459701481653624,1,
wildfires_in_boise_county_idaho_27_august_2024,21,21,21,1.5667385582329731,1,
