slug,short_name,disaster_type,event_type,R24_72_median_evac,R24_72_median_infl,R24_72_ratio_infl_over_evac,t50_median_evac_h,t50_median_infl_h,n_evac_bins,n_infl_bins,near_delta,D_peak
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,,0.9845251664506237,,,72.0,0,21,0.0663782817545836,0.1005919988678328
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.5085065848485414,0.8008257112816283,1.574858094551822,24.0,24.0,12,8,-0.2182305293802359,0.1218373784779385
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.47504221509403255,0.7173614665802226,1.5101004579945048,48.0,144.0,18,3,-0.1686674012421007,0.1182352467469458
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,0.9052409175762093,11.666784111027631,12.888043265063128,48.0,24.0,14,1,0.0042813828084239,0.1714251397966239
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,,1.0195914982385434,,,24.0,0,21,0.0747654742133128,0.1013123414320732
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,,0.9121932393145068,,,24.0,0,21,0.0845285322756548,0.1169310535357565
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,,0.7541907364969985,,,,0,21,0.1179022527130344,0.1402609197082922
moldova_flooding_2024,moldova,flood,INFL,1.4033884984198726,0.7097148040758778,0.5057151350997762,24.0,48.0,6,11,0.0454533432570181,0.0629946988646874
spain_flood,spain_flood,flood,INFL,2.6287304762805617,0.4944818260264803,0.18810670416319422,36.0,60.0,2,19,0.1384680031755251,0.1291051378624129
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,,0.7524440968581261,,,72.0,0,21,0.2504894683816717,0.2475952968745697
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.5284670114318449,0.27071446893535495,0.5122637044115067,24.0,48.0,19,1,-0.1036825312156231,0.1846441741699349
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.16150911449248564,0.9786310599939632,6.0592930811932275,72.0,24.0,3,17,0.0617398520428817,0.084443726999841
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.9528967324509571,,,108.0,,21,0,-0.0781600835658264,0.1248691169593248
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.6716685168240857,0.9861582363998049,1.4682216178044953,84.0,48.0,6,13,0.0566336948172924,0.4011400882265244
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.44248096278476334,0.6937208944685789,1.5677982847050225,48.0,,14,2,-0.2739356164808162,0.2564811305157264
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,1.2079776084212588,0.8179986242467794,0.6771637309700183,,24.0,3,18,0.0403005631767364,0.1370914440779581
