root,key,category,n_runs,first_datetime,last_datetime,latest_path
outputs,Dt_decay,cross_disaster,1,2026-02-22 20:12:32,2026-02-22 20:12:32,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay
outputs,Dt_decay_42audit,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_42audit_20260223
outputs,Dt_decay_42audit_fullpost,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_42audit_fullpost_20260223
outputs,Dt_decay_AB_newHEAD_on_h0816,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_AB_newHEAD_on_h0816_20260223
outputs,Dt_decay_AB_old008a4f5_on_h0816,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_AB_old008a4f5_on_h0816_20260223
outputs,Dt_decay_config_main,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_config_main_20260223
outputs,Dt_decay_expanded_current_static_h0816,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_expanded_current_static_h0816_20260223
outputs,Dt_decay_main_current_h0816,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_main_current_h0816_20260223
outputs,Dt_decay_partial_gt_round2_included32,cross_disaster,1,2026-02-24 13:32:40,2026-02-24 13:32:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_partial_gt_round2_included32_20260224_133240
outputs,Dt_decay_partial_gt_round2_included32_fullpost,cross_disaster,1,2026-02-24 15:38:22,2026-02-24 15:38:22,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_partial_gt_round2_included32_fullpost_20260224_153822
outputs,Dt_decay_rmax100_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-27 09:41:45,2026-02-27 09:41:45,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_rmax100_unified_h8_mtw5_mpp4
outputs,Dt_decay_rmax150_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-27 09:42:03,2026-02-27 09:42:03,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_rmax150_unified_h8_mtw5_mpp4
outputs,Dt_decay_rmax200_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-27 09:42:18,2026-02-27 09:42:18,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_rmax200_unified_h8_mtw5_mpp4
outputs,Dt_decay_rmax250_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-27 09:42:36,2026-02-27 09:42:36,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_rmax250_unified_h8_mtw5_mpp4
outputs,Dt_decay_rmax50_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-27 09:41:29,2026-02-27 09:41:29,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_rmax50_unified_h8_mtw5_mpp4
outputs,Dt_decay_rnear100_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-27 09:47:27,2026-02-27 09:47:27,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_rnear100_unified_h8_mtw5_mpp4
outputs,Dt_decay_rnear30_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-27 09:46:16,2026-02-27 09:46:16,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_rnear30_unified_h8_mtw5_mpp4
outputs,Dt_decay_rnear50_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-27 09:46:50,2026-02-27 09:46:50,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_rnear50_unified_h8_mtw5_mpp4
outputs,Dt_decay_rnear75_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-27 09:47:08,2026-02-27 09:47:08,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_rnear75_unified_h8_mtw5_mpp4
outputs,Dt_decay_routeA_open,cross_disaster,1,2026-02-23 22:39:20,2026-02-23 22:39:20,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeA_open_20260223_223920
outputs,Dt_decay_routeB16_config_main,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_config_main_20260223
outputs,Dt_decay_routeB16_frozen,cross_disaster,1,2026-02-23 10:12:20,2026-02-23 10:12:20,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_frozen_20260223_101220
outputs,Dt_decay_routeB16_frozen_h0816,cross_disaster,1,2026-02-23 10:16:24,2026-02-23 10:16:24,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_frozen_h0816_20260223_101624
outputs,Dt_decay_routeB16_groundtruth,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_groundtruth_20260223
outputs,Dt_decay_routeB16_legacy_repro,cross_disaster,1,2026-02-23 11:55:29,2026-02-23 11:55:29,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_legacy_repro
outputs,Dt_decay_routeB16_legacy_repro_pinned,cross_disaster,1,2026-02-23 11:58:15,2026-02-23 11:58:15,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_legacy_repro_pinned
outputs,Dt_decay_routeB16_partner_opinion_main,cross_disaster,1,2026-02-23 17:25:00,2026-02-23 17:25:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_partner_opinion_main_20260223_1725
outputs,Dt_decay_static_center_mtw4,cross_disaster,1,2026-02-24 23:30:48,2026-02-24 23:30:48,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_static_center_mtw4
outputs,Dt_decay_static_center_mtw4_mpp3,cross_disaster,1,2026-02-24 23:31:16,2026-02-24 23:31:16,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_static_center_mtw4_mpp3
outputs,Dt_decay_static_center_mtw5,cross_disaster,1,2026-02-24 23:30:23,2026-02-24 23:30:23,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_static_center_mtw5
outputs,Dt_decay_truncation_compare,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_truncation_compare_20260223
outputs,Dt_decay_truncation_compare_partner,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_truncation_compare_partner_20260223
outputs,Dt_decay_unified_h8_mtw4_mpp3,cross_disaster,1,2026-02-24 23:57:31,2026-02-24 23:57:31,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_unified_h8_mtw4_mpp3
outputs,Dt_decay_unified_h8_mtw4_mpp4,cross_disaster,1,2026-02-24 23:57:15,2026-02-24 23:57:15,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_unified_h8_mtw4_mpp4
outputs,Dt_decay_unified_h8_mtw5_mpp3,cross_disaster,1,2026-02-24 23:57:47,2026-02-24 23:57:47,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_unified_h8_mtw5_mpp3
outputs,Dt_decay_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-24 23:56:56,2026-02-24 23:56:56,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_unified_h8_mtw5_mpp4
outputs,Dt_decay_unified_path_h8_mtw4_mpp3_$(date +%Y%m%d_%H%M%S),cross_disaster,1,2026-02-25 14:18:47,2026-02-25 14:18:47,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_unified_path_h8_mtw4_mpp3_$(date +%Y%m%d_%H%M%S)
outputs,Dt_decay_unified_radial8h,cross_disaster,1,2026-02-23 00:12:47,2026-02-23 00:12:47,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_unified_radial8h_20260223_001247
outputs,_tmp_h3a_mechanism,run_batch,1,2026-02-08 20:54:16,2026-02-08 20:54:16,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v1/_tmp_h3a_mechanism
outputs,_tmp_h3a_track_collapse,run_batch,1,2026-02-08 20:54:16,2026-02-08 20:54:16,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v1/_tmp_h3a_track_collapse
outputs,_tmp_h3a_track_collapse_min50,run_batch,1,2026-02-08 20:54:16,2026-02-08 20:54:16,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v1/_tmp_h3a_track_collapse_min50
outputs,_tmp_h3a_track_report,run_batch,2,2026-02-08 20:54:16,2026-02-08 20:54:17,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v2/_tmp_h3a_track_report
outputs,_tmp_phase2_minTiles0,run_batch,1,2026-02-08 20:54:17,2026-02-08 20:54:17,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v2/_tmp_phase2_minTiles0
outputs,_tmp_phase2_minTiles50,run_batch,1,2026-02-08 20:54:17,2026-02-08 20:54:17,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v2/_tmp_phase2_minTiles50
outputs,_tmp_universality_scaling_centerfix6,run_batch,1,2026-02-08 20:54:11,2026-02-08 20:54:11,/mnt/e/newdesktop/Disaster/outputs/_runs/centerfix/_tmp_universality_scaling_centerfix6
outputs,_tmp_universality_scaling_dfg_batch1,run_batch,1,2026-02-08 20:54:16,2026-02-08 20:54:16,/mnt/e/newdesktop/Disaster/outputs/_runs/dfg/batch1/_tmp_universality_scaling_dfg_batch1
outputs,_tmp_universality_scaling_dfg_batch1_anchor,run_batch,1,2026-02-08 20:54:16,2026-02-08 20:54:16,/mnt/e/newdesktop/Disaster/outputs/_runs/dfg/batch1_anchor/_tmp_universality_scaling_dfg_batch1_anchor
outputs,alpha_truncation_unified_h8_mtw4_mpp3,cross_disaster,1,2026-02-25 13:59:58,2026-02-25 13:59:58,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/alpha_truncation_unified_h8_mtw4_mpp3
outputs,batch1,run_batch,1,2026-02-08 20:54:16,2026-02-08 20:54:16,/mnt/e/newdesktop/Disaster/outputs/_runs/dfg/batch1
outputs,batch1_anchor,run_batch,1,2026-02-08 20:54:16,2026-02-08 20:54:16,/mnt/e/newdesktop/Disaster/outputs/_runs/dfg/batch1_anchor
outputs,beryl_independence_unified_h8_mtw5_mpp4,cross_disaster,1,2026-02-25 13:56:45,2026-02-25 13:56:45,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/beryl_independence_unified_h8_mtw5_mpp4
outputs,centerfix,run_batch,1,2026-02-08 20:54:11,2026-02-08 20:54:11,/mnt/e/newdesktop/Disaster/outputs/_runs/centerfix
outputs,dfg,run_batch,1,2026-02-08 20:54:16,2026-02-08 20:54:16,/mnt/e/newdesktop/Disaster/outputs/_runs/dfg
outputs,dfg_collection,run_batch,1,2026-02-22 20:04:34,2026-02-22 20:04:34,/mnt/e/newdesktop/Disaster/outputs/_runs/dfg_collection
outputs,dynamics_potential_all,cross_disaster,1,2026-02-22 20:13:10,2026-02-22 20:13:10,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_all
outputs,dynamics_potential_nonparam_exp3_smoke,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_nonparam_exp3_smoke
outputs,dynamics_potential_routeB,cross_disaster,1,2026-02-22 20:13:43,2026-02-22 20:13:43,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_routeB
outputs,dynamics_potential_routeB_exp12,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_routeB_exp12
outputs,dynamics_potential_routeB_exp12_nonparam_smoke,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_routeB_exp12_nonparam_smoke
outputs,dynamics_potential_routeB_nonparam_exp12_strict_smoke,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_routeB_nonparam_exp12_strict_smoke
outputs,dynamics_potential_routeB_nonparam_exp3,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_routeB_nonparam_exp3
outputs,dynamics_potential_smoke,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_smoke
outputs,dynamics_potential_smoke2,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_smoke2
outputs,expanded_current_h0816,run_batch,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/_runs/expanded_current_h0816_20260223
outputs,expanded_current_static_h0816,run_batch,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/_runs/expanded_current_static_h0816_20260223
outputs,external_covariates,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/external_covariates
outputs,fr_mode_time0_72,cross_disaster,1,2026-02-09 23:11:52,2026-02-09 23:11:52,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/fr_mode_time0_72
outputs,fr_mode_time0_72_nojohn,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/fr_mode_time0_72_nojohn
outputs,g1_model_comparison_all,cross_disaster,1,2026-02-09 23:06:50,2026-02-09 23:06:50,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/g1_model_comparison_all
outputs,g1_model_comparison_tier1,cross_disaster,1,2026-02-09 17:10:29,2026-02-09 17:10:29,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/g1_model_comparison_tier1
outputs,g1_timeseries_viz_helene_milton,cross_disaster,1,2026-02-09 23:02:49,2026-02-09 23:02:49,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/g1_timeseries_viz_helene_milton
outputs,g1_timeseries_viz_helene_milton_nojohn,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/g1_timeseries_viz_helene_milton_nojohn
outputs,geo_unit_scale_42_all,cross_disaster,1,2026-02-23 23:22:44,2026-02-23 23:22:44,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_42_all_20260223_232244
outputs,geo_unit_scale_expanded_current_static_h0816_20260223_L10,cross_disaster,1,2026-02-23 14:09:23,2026-02-23 14:09:23,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_expanded_current_static_h0816_20260223_L10
outputs,geo_unit_scale_main_current_h0816_20260223_L10_excl_mexico,cross_disaster,1,2026-02-23 14:08:02,2026-02-23 14:08:02,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_main_current_h0816_20260223_L10_excl_mexico
outputs,geo_unit_scale_partial_gt_round2_included32,cross_disaster,1,2026-02-24 13:28:36,2026-02-24 13:28:36,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_partial_gt_round2_included32_20260224_132836
outputs,geo_unit_scale_routeB16_config_main_L10,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_config_main_L10_20260223
outputs,geo_unit_scale_routeB16_groundtruth_L10,cross_disaster,1,2026-02-23 22:58:21,2026-02-23 22:58:21,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_groundtruth_L10_20260223_225821
outputs,geo_unit_scale_routeB16_groundtruth_L10_allfits,cross_disaster,1,2026-02-23 22:59:54,2026-02-23 22:59:54,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_groundtruth_L10_allfits_20260223_225954
outputs,geo_unit_scale_routeB16_groundtruth_L10_allfits_peak400,cross_disaster,1,2026-02-23 23:10:07,2026-02-23 23:10:07,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_groundtruth_L10_allfits_peak400_20260223_231007
outputs,geo_unit_scale_routeB16_groundtruth_L10_allfits_relaxed,cross_disaster,1,2026-02-23 23:01:21,2026-02-23 23:01:21,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_groundtruth_L10_allfits_relaxed_20260223_230121
outputs,geo_unit_scale_routeB16_groundtruth_all16_peak168,cross_disaster,1,2026-02-24 00:07:12,2026-02-24 00:07:12,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_groundtruth_all16_peak168_20260224_000712
outputs,geo_unit_scale_routeB16_groundtruth_all16_peak400,cross_disaster,1,2026-02-24 00:08:52,2026-02-24 00:08:52,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_groundtruth_all16_peak400_20260224_000852
outputs,geo_unit_scale_routeB16_legacy_repro_L10,cross_disaster,1,2026-02-23 12:00:11,2026-02-23 12:00:11,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_legacy_repro_L10
outputs,geo_unit_scale_routeB16_main_current_h0816_L10,cross_disaster,1,2026-02-23 12:03:57,2026-02-23 12:03:57,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_main_current_h0816_L10
outputs,geo_unit_scale_routeB16_partner_opinion_L10,cross_disaster,1,2026-02-23 17:25:00,2026-02-23 17:25:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_partner_opinion_L10_20260223_1725
outputs,geo_unit_scale_routeB16_partner_opinion_L8,cross_disaster,1,2026-02-23 17:25:00,2026-02-23 17:25:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_partner_opinion_L8_20260223_1725
outputs,geo_unit_scale_routeB_L10,cross_disaster,1,2026-02-22 23:18:28,2026-02-22 23:18:28,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB_L10
outputs,geo_unit_scale_unified_h8_mtw4_mpp3,cross_disaster,1,2026-02-25 14:15:04,2026-02-25 14:15:04,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_unified_h8_mtw4_mpp3_20260225_141504
