slug,n_units_fit,rho_alpha_vs_delta_peak_unit,p_alpha_vs_delta_peak_unit,n_alpha_vs_delta_peak_unit,rho_alpha_vs_D_peak_unit,p_alpha_vs_D_peak_unit,n_alpha_vs_D_peak_unit,rho_alpha_vs_distance_km,p_alpha_vs_distance_km,n_alpha_vs_distance_km
cambodia_monsoon_season_study_2024_05_09,4,-0.6000000000000001,0.4,4,-0.6000000000000001,0.4,4,0.6000000000000001,0.4,4
flooding_in_central_and_eastern_europe_sept_16_2024,412,-0.4271311015070241,1.0630127850777455e-19,412,-0.07123252977130647,0.14893498529899354,412,-0.0978142341857871,0.047240219472404775,412
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,98,0.06163252555005131,0.5465911183850679,98,-0.02554686354391803,0.8028217378144784,98,0.06126274314786832,0.549004764928004,98
hurricane_beryl_across_southeastern_texas_us,203,-0.08149022668131779,0.24775861426691537,203,0.39779401005878623,4.176758196737187e-09,203,0.2075607299936021,0.0029639498592976903,203
hurricane_john_southern_mexico_25_september_2024,267,-0.14659636681843802,0.01652404585790279,267,0.17213543669672252,0.004793336693667198,267,0.14712405699810485,0.01613471079649271,267
moldova_flooding_2024,18,-0.07739938080495357,0.7601672386317739,18,-0.4674922600619195,0.050437519451044396,18,-0.3519091847265222,0.15210693918997695,18
spain_flood,164,-0.10739869138791777,0.17105653061329817,164,-0.08140600982139212,0.30008429472593506,164,0.07307823106117284,0.3524001270202623,164
the_wildfires_in_quito_pichincha_province_ecuador,29,-0.15024630541871917,0.43660296162230755,29,-0.12807881773399013,0.5078931884210849,29,0.2551724137931034,0.18156839465631944,29
tropical_storm_debby_united_states_pre_landfall_4_august_2024,531,0.24320659339426276,1.3743084979224576e-08,531,0.19914568961578874,3.753443753661438e-06,531,0.15883889448597507,0.0002379197958002244,531
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,63,-0.30563556067588327,0.01485368027753698,63,0.24553571428571433,0.05242115446242732,63,-0.07838901689708143,0.5414147765693254,63
turkiye_earthquake_2023,257,-0.4810926330196361,2.7149436045365064e-16,257,-0.2266911648267125,0.00024807706243550417,257,0.2462736686725183,6.594690723200519e-05,257
typhoon_krathon_across_taiwan,20,-0.5984962406015037,0.005305836200418916,20,-0.5654135338345864,0.00937431775063153,20,0.42105263157894735,0.06448807512897045,20
typhoon_yagi_across_northeastern_vietnam,16,0.4147058823529412,0.11022940391770165,16,-0.4147058823529412,0.11022940391770165,16,0.3970588235294118,0.12780600908826178,16
wildfires_in_boise_county_idaho_27_august_2024,18,0.5170278637770898,0.02800614736378716,18,0.5170278637770898,0.02800614736378716,18,-0.08565531475748193,0.7354104124232368,18
