slug,preprocess_status,n_units_fit,selected
flooding_in_central_and_eastern_europe_sept_16_2024,ok,378,True
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,ok,97,True
hurricane_beryl_across_southeastern_texas_us,ok,183,True
hurricane_john_across_southeastern_guerrero_mexico,ok,0,True
hurricane_john_southern_mexico_25_september_2024,ok,267,True
hurricane_milton_across_florida_us,ok,148,True
moldova_flooding_2024,ok,20,True
spain_flood,ok,175,True
the_flooding_across_bagmati_and_koshi_provinces_nepal,ok,38,True
the_flooding_across_eastern_bangladesh,ok,27,True
the_flooding_across_gujarat_india,ok,0,True
turkiye_earthquake_2023,ok,256,True
typhoon_yagi_across_northeastern_vietnam,ok,16,True
wildfires_in_boise_county_idaho_27_august_2024,ok,19,True
