slug,n_units_fit,rho_alpha_vs_delta_peak_unit,p_alpha_vs_delta_peak_unit,n_alpha_vs_delta_peak_unit,rho_alpha_vs_D_peak_unit,p_alpha_vs_D_peak_unit,n_alpha_vs_D_peak_unit,rho_alpha_vs_distance_km,p_alpha_vs_distance_km,n_alpha_vs_distance_km
flooding_in_central_and_eastern_europe_sept_16_2024,519,-0.6039389449794075,6.685197164944695e-53,519,-0.17752454544362062,4.764605324222857e-05,519,0.3611573397700566,1.9566200066209863e-17,519
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,91,-0.046520146520146514,0.6614758578359267,91,-0.06317885013537188,0.5518761065741801,91,-0.002930402930402931,0.9780067997590385,91
hurricane_beryl_across_southeastern_texas_us,184,-0.13195854443181598,0.07416550296175832,184,0.42277166689141027,2.2536958281877325e-09,184,0.21723912080291263,0.0030549796743422793,184
hurricane_john_across_southeastern_guerrero_mexico,95,-0.021066629339305712,0.8394192849110018,95,0.11168812989921612,0.28122762458761963,95,0.08701007838745801,0.40178694741764787,95
hurricane_john_southern_mexico_25_september_2024,271,-0.1345217422762463,0.02680503045973998,271,0.20492246098931577,0.0006889366139861195,271,0.13115910570870415,0.030888674128981188,271
hurricane_milton_across_florida_us,139,-0.018910585817060635,0.8251243865180354,139,0.39934313418830153,1.1168771179772172e-06,139,-0.07076723714196344,0.4077623884385702,139
moldova_flooding_2024,23,-0.37055335968379455,0.08175569199067488,23,-0.5148221343873518,0.011947654542326498,23,-0.26877470355731226,0.2149422639122277,23
spain_flood,154,-0.13574673271067958,0.09322473893612644,154,-0.0708264537486549,0.3827344673450618,154,0.07111888743767303,0.3807679816684747,154
the_flooding_across_bagmati_and_koshi_provinces_nepal,30,-0.0011123470522803117,0.9953454226627734,30,-0.17196885428253617,0.36351678056146086,30,0.07764182424916574,0.6834144011145574,30
the_flooding_across_eastern_bangladesh,25,0.3223076923076923,0.1161127311277833,25,0.24461538461538462,0.23860976723289998,25,-0.026153846153846153,0.901239909014255,25
the_flooding_across_gujarat_india,216,-0.16084854546970073,0.017996571260699614,216,0.1738815656295026,0.010460252114301348,216,0.2362554924445397,0.0004621457463787902,216
turkiye_earthquake_2023,293,-0.45750151947262613,1.458460474435923e-16,293,-0.2413709698195048,2.9687484361888182e-05,293,0.3228123172219938,1.566406648728479e-08,293
typhoon_yagi_across_northeastern_vietnam,16,0.5411764705882353,0.030400218888170166,16,-0.5411764705882353,0.030400218888170166,16,0.06470588235294117,0.8118214513105935,16
wildfires_in_boise_county_idaho_27_august_2024,19,0.5368421052631579,0.01779045190317116,19,0.5368421052631579,0.01779045190317116,19,-0.11754385964912278,0.631764158507994,19
