slug,n_units_fit,rho_alpha_vs_delta_peak_unit,p_alpha_vs_delta_peak_unit,n_alpha_vs_delta_peak_unit,rho_alpha_vs_D_peak_unit,p_alpha_vs_D_peak_unit,n_alpha_vs_D_peak_unit,rho_alpha_vs_distance_km,p_alpha_vs_distance_km,n_alpha_vs_distance_km
flooding_in_central_and_eastern_europe_sept_16_2024,31,-0.6318548387096775,0.00013754381922932683,31,-0.33870967741935487,0.062338471291560345,31,-0.03346774193548387,0.8581475135178092,31
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,19,-0.2719298245614035,0.26006738252691075,19,0.20350877192982456,0.4033523173766831,19,0.21228070175438596,0.38293693332109247,19
hurricane_beryl_across_southeastern_texas_us,26,-0.42769230769230765,0.029294532513711315,26,0.42769230769230765,0.029294532513711315,26,0.2998290598290598,0.13671730418760358,26
hurricane_john_across_southeastern_guerrero_mexico,13,0.027472527472527472,0.9290117291603509,13,0.45604395604395603,0.11728306543614493,13,0.1758241758241758,0.5655798619595344,13
hurricane_john_southern_mexico_25_september_2024,40,-0.18067542213883678,0.2645637886736499,40,0.2724202626641651,0.08901138142706887,40,0.17073170731707318,0.2921944821594203,40
moldova_flooding_2024,1,,,1,,,1,,,1
spain_flood,43,0.06100875868317729,0.6975462303938091,43,0.06100875868317729,0.6975462303938091,43,-0.04077318030806403,0.7951746657550437,43
the_flooding_across_bagmati_and_koshi_provinces_nepal,5,-0.09999999999999999,0.8728885715695384,5,0.09999999999999999,0.8728885715695384,5,0.49999999999999994,0.3910022189557703,5
the_flooding_across_gujarat_india,33,-0.44050802139037437,0.010298078474591939,33,0.44050802139037437,0.010298078474591939,33,0.28375668449197866,0.10953280153340267,33
turkiye_earthquake_2023,47,-0.7459528214616096,1.775928626346063e-09,47,-0.3548797409805736,0.014378297835638666,47,0.3004162812210916,0.040193739292217895,47
typhoon_yagi_across_northeastern_vietnam,3,,,3,,,3,,,3
wildfires_in_boise_county_idaho_27_august_2024,14,0.3406593406593406,0.23331605103682382,14,0.3142857142857143,0.27380490296286775,14,-0.01098901098901099,0.970258390096969,14
