slug,status,n_rows,n_geo_units,n_windows,message
flooding_in_central_and_eastern_europe_sept_16_2024,ok,30041,1117,27,ok
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,ok,4324,340,14,ok
hurricane_beryl_across_southeastern_texas_us,ok,9455,690,15,ok
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,ok,51750,3945,14,ok
park_fire_california_29_july_2024,ok,5166,368,15,ok
spain_flood,ok,5754,628,10,ok
the_flooding_across_bagmati_and_koshi_provinces_nepal,ok,1171,79,15,ok
the_flooding_across_rio_grande_do_sul_state_brazil,ok,9715,334,30,ok
the_wildfires_in_quito_pichincha_province_ecuador,ok,2133,149,15,ok
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,ok,2868,245,12,ok
tropical_storm_yagi_philippines_2_september_2024,ok,1728,117,15,ok
turkiye_earthquake_2023,ok,25798,744,36,ok
typhoon_krathon_across_taiwan,ok,612,51,12,ok
typhoon_yagi_across_northeastern_vietnam,ok,315,29,11,ok
