slug,short_name,disaster_type,event_type,alpha,delta_near,D_peak,t_peak_hours,t_peak_pt,center_lat,center_lon,center_source,n_windows_total,n_windows_peak_pm,n_windows_struct,n_windows_post,has_peak_window,F_total,F_out_near,F_in_far,F_long,R_bar,theta_mean,cos_alignment,HHI_dest,d_median,d_p90,alpha_return,alpha_return_r2,alpha_return_n,stay_put_ratio_peak
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.0978433601132348,0.0663782817545836,0.1005919988678328,416.0,2024-10-21 16:00:00,48.028585741882566,19.424044730468356,static_or_auto,10,0,3,0,0,,,,,0.9351148246689786,0.0010683849294095926,-0.10933076542208825,0.242825997937985,17.744437721574762,19.90999529713828,,,0,1.0904531862841007
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.593924263029768,-0.2182305293802359,0.1218373784779385,-8.0,2024-07-05 00:00:00,20.2,-87.5,static_or_auto,28,2,2,28,1,989853.9077090165,-269.5,-6.333333333333332,-189.0,0.8251053407929636,0.02663725723616115,0.4116316674661023,1.0,69.74323141671915,69.74323141671915,-0.4154947419748756,0.09527320344580148,8,0.44318838997719023
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.6471140254387306,-0.1686674012421007,0.1182352467469458,-8.0,2024-07-08 00:00:00,28.6,-96.0,static_or_auto,30,2,2,30,1,649848.7380807841,0.0,0.0,5.5,0.940954041847378,-0.003245066123319469,-0.1691070180571264,,,,,,0,0.6206068769151651
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,0.4253901178736078,0.0042813828084239,0.1714251397966239,16.0,2024-07-02 00:00:00,12.2,-61.1,static_or_auto,64,4,3,60,1,94040.39688675557,0.0,0.0,0.0,,,,,,,,,0,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,-0.0187885228771998,0.0747654742133128,0.1013123414320732,-8.0,2024-09-28 00:00:00,18.6,-103.6,static_or_auto,14,0,3,14,0,,,,,0.7762847178466938,0.0004615288156135928,-0.3227945583524596,0.5327636560302867,2.3131563325232314,9.244601889557568,,,0,1.1323758209004111
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.2091651414158485,0.1179022527130344,0.1402609197082922,64.0,2024-10-13 00:00:00,27.3,-82.6,static_or_auto,20,4,3,14,1,1531775.6783150123,230.5,119.1830424356252,372.2608268888342,0.9587089609259112,0.0009512784694093775,0.44694516133608847,0.5556251905432543,4.83486108537509,6.83813640935783,-0.5118765911663214,0.12028492430330295,8,1.0570772207832835
moldova_flooding_2024,moldova,flood,INFL,0.1828320289226983,0.0454533432570181,0.0629946988646874,448.0,2024-10-05 00:00:00,47.173213269396584,28.546111231629364,static_or_auto,56,4,3,18,1,77255.66484642796,0.0,0.0,0.0,0.7094007886325278,0.00405330598768089,0.36126042824717314,,,,,,0,1.0782054593081487
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,0.3479752777497077,0.2504894683816717,0.2475952968745697,32.0,2026-01-03 08:00:00,16.875,-99.336,static_or_auto,20,0,3,20,0,,,,,0.7334952030062576,0.06002784132180864,-0.1405351114103204,0.06949775404594755,9.641459087143964,29.95771221035714,,,0,1.075858820160773
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,1.1346522923352398,-0.1036825312156231,0.1846441741699349,-8.0,2024-09-27 00:00:00,27.36716613261753,85.30334532923213,static_or_auto,30,2,2,30,1,188756.1164490921,-4.166666666666666,0.0,0.0,0.7933253948969704,-0.0043683473218647,0.04852869425393298,,,,,,0,0.977175544205058
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.1691876148186711,0.0617398520428817,0.084443726999841,16.0,2024-08-26 00:00:00,23.679304414125543,90.51247122376428,static_or_auto,24,4,3,22,1,3954190.9344272735,296.4951918620461,267.2791469021134,-16.571428571428573,0.8562411423230072,0.00036256152854784,-0.4785945394498953,0.19317640886820076,2.232259863562219,3.166186637841496,0.46078571450055367,0.17644626636028748,8,1.640338531068017
