slug,n_t_all_phi,n_t_r_le_200,n_t_overlap_ge3,n_t_ge5bins_after_filters,n_t_near_ge2
hurricane_ernesto_puerto_rico_14_august_2024,15,0,0,0,0
hurricane_beryl_pre_landfall_2024,0,0,0,0,0
hurricane_milton_across_florida_us,1,0,0,0,0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,2,1,1,1,1
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,12,1,1,1,0
tropical_storm_yagi_philippines_2_september_2024,2,1,1,1,1
mountain_fire_in_california,1,1,1,1,1
hurricane_beryl_across_southeastern_texas_us,2,1,1,1,1
typhoon_nika_across_northern_luzon_philippines,2,2,2,2,2
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,5,3,3,2,2
global_earthquake_model_research_2025_sep_18,2,2,2,2,2
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,12,2,2,2,0
hurricane_melissa_aftermath_2025_11_03,4,4,4,4,4
the_earthquake_across_central_mexico,4,4,4,4,4
the_earthquake_across_dhaka_division_bangladesh,4,4,4,4,4
