slug,status,old_rows_filtered,new_rows_filtered,old_hours,new_hours,old_hmin,new_hmin,old_hmax,new_hmax,hours_intersection,hours_old_only,hours_new_only,hours_constant_shift,hours_shift_all_match,old_near_hours,new_near_hours,old_near_rows,new_near_rows,max_abs_phi_diff_on_common_key,mean_abs_phi_diff_on_common_key,n_phi_diff_rows_on_common_key,n_overlap_count_diff_rows_on_common_key
flooding_in_central_and_eastern_europe_sept_16_2024,ok,1701,1701,81,81,-16.0,-16.0,624.0,624.0,81,0,0,0.0,True,81,81,486,486,0.0,0.0,0,0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,ok,882,882,42,42,-16.0,-16.0,312.0,312.0,42,0,0,0.0,True,42,42,252,252,0.0,0.0,0,0
hurricane_beryl_across_southeastern_texas_us,ok,932,932,45,45,-8.0,-8.0,344.0,344.0,45,0,0,0.0,True,45,45,257,257,0.0,0.0,0,0
hurricane_beryl_pre_landfall_2024,ok,1344,1344,96,96,-16.0,-16.0,744.0,744.0,96,0,0,0.0,True,96,96,96,96,0.0,0.0,0,0
hurricane_john_across_southeastern_guerrero_mexico,ok,441,441,21,21,64.0,64.0,224.0,224.0,21,0,0,0.0,True,21,21,126,126,0.0,0.0,0,0
hurricane_john_southern_mexico_25_september_2024,ok,945,945,45,45,16.0,16.0,368.0,368.0,45,0,0,0.0,True,45,45,270,270,0.0,0.0,0,0
hurricane_milton_across_florida_us,ok,630,630,30,30,-8.0,-8.0,224.0,224.0,30,0,0,0.0,True,30,30,180,180,0.0,0.0,0,0
moldova_flooding_2024,ok,1680,1680,84,84,-16.0,-16.0,648.0,648.0,84,0,0,0.0,True,84,84,504,504,0.0,0.0,0,0
spain_flood,ok,630,630,30,30,-16.0,-16.0,216.0,216.0,30,0,0,0.0,True,30,30,180,180,0.0,0.0,0,0
the_earthquake_across_central_mexico,ok,273,273,13,13,24.0,24.0,136.0,136.0,13,0,0,0.0,True,13,13,78,78,0.0,0.0,0,0
the_flooding_across_bagmati_and_koshi_provinces_nepal,ok,943,943,45,45,-16.0,-16.0,336.0,336.0,45,0,0,0.0,True,45,45,268,268,0.0,0.0,0,0
the_flooding_across_eastern_bangladesh,ok,756,756,36,36,-16.0,-16.0,264.0,264.0,36,0,0,0.0,True,36,36,216,216,0.0,0.0,0,0
the_flooding_across_gujarat_india,ok,504,504,24,24,-16.0,-16.0,168.0,168.0,24,0,0,0.0,True,24,24,144,144,0.0,0.0,0,0
turkiye_earthquake_2023,ok,2239,2239,107,107,-16.0,-16.0,832.0,832.0,107,0,0,0.0,True,107,107,634,634,0.0,0.0,0,0
typhoon_yagi_across_northeastern_vietnam,ok,594,594,33,33,21.0,21.0,277.0,277.0,33,0,0,0.0,True,33,33,198,198,0.0,0.0,0,0
wildfires_in_boise_county_idaho_27_august_2024,ok,945,945,45,45,-16.0,-16.0,336.0,336.0,45,0,0,0.0,True,45,45,270,270,0.0,0.0,0,0
