group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,8,0.766276351772812,0.08445072209817027,0.11020922399965762,good
all,0.5,1.0,10,0.6716652207219835,0.12535371179977683,0.18663123820082891,good
all,1.0,1.5,15,0.5340657769670665,0.199192769811874,0.37297422602713853,medium
all,1.5,2.0,5,0.4259914800915066,0.16204784333048539,0.3804016063787851,medium
all,2.0,2.5,9,0.36234075927648335,0.19562070977483267,0.5398804985821778,bad
all,2.5,3.0,5,0.3850025395273848,0.20588770733296408,0.5347697383651141,bad
EVAC,0.0,0.5,2,0.8176035386363734,0.1284296862215068,,insufficient
EVAC,0.5,1.0,3,0.6237815449661769,0.1486982695150037,0.23838196354954125,good
EVAC,1.0,1.5,5,0.42003214326965416,0.18319726293291996,0.4361505800647979,medium
EVAC,1.5,2.0,2,0.25431266577524025,0.07476881320807803,,insufficient
EVAC,2.0,2.5,4,0.2312787742163397,0.07869336150872606,0.34025327994481575,medium
EVAC,2.5,3.0,2,0.18895812102368068,0.1464540307960961,,insufficient
INFL,0.0,0.5,6,0.7491672894849583,0.07266912224664634,0.09699986006677537,good
INFL,0.5,1.0,7,0.6921867960459007,0.12067390097298873,0.174337189993128,good
INFL,1.0,1.5,8,0.633270433895776,0.18988744307452352,0.2998520583163295,good
INFL,1.5,2.0,3,0.5404440229690176,0.02451789550754839,0.0453662071658325,good
INFL,2.0,2.5,3,0.5940915903244716,0.13995801710750752,0.23558323226064765,good
INFL,2.5,3.0,3,0.5156988185298541,0.09999707220386087,0.1939059555903791,good
