slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,fit_method,fit_min_tprime_hours,n_mono,n_post_fit,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.10140977225297246,448.0,monotone_truncated,24.0,6,7,7,-0.017233894421875045,-0.2143193309065961,0.11043804738395357,24.0,144.0,0.9382873307233776,0.09515150451650717
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.17419228592402028,-8.0,monotone_truncated,24.0,5,13,13,0.7012341434092461,1.0527684043309424,0.8639387019952306,24.0,120.0,0.16203108558204476,0.02822456518828694
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.24076115611938526,0.0,monotone_truncated,24.0,6,14,14,0.8001103007909469,1.9061827506025346,0.99008402077699,24.0,144.0,0.11688674322546568,0.02814178743399284
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,0.2408522972731543,16.0,monotone_truncated,24.0,6,30,30,0.7236589522217052,2.0643316326433596,0.9711520529151552,24.0,144.0,0.17918869331169632,0.043158008429496755
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.10634443541887714,72.0,monotone_truncated,24.0,3,6,6,-0.014335832759059685,-0.3914781419542369,0.6151289285661469,24.0,72.0,0.7882899520311668,0.08383024989512818
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.1056329999735687,168.0,monotone_truncated,24.0,3,8,8,0.07878459145814454,0.008755312068110725,0.9656398875755511,24.0,72.0,0.7203077292941922,0.07608826634949474
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.19681374167841237,0.0,monotone_truncated,24.0,2,9,9,,,,24.0,48.0,0.5823460802730399,0.11461371101029406
moldova_flooding_2024,moldova,flood,INFL,0.058662951664797056,448.0,monotone_truncated,24.0,4,8,8,0.1815406261687583,0.22173889341547212,0.9222288255153467,24.0,96.0,0.6954259000503025,0.04079573596109888
spain_flood,spain_flood,flood,INFL,0.13305641705151502,88.0,monotone_truncated,24.0,4,5,5,0.1490679508606576,0.3168030919325868,0.9841019535765251,24.0,96.0,0.771509589947988,0.10265430175936284
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.18936627469120573,-8.0,monotone_truncated,24.0,5,14,14,1.0507015902533716,2.7372125537046545,0.9377001679562408,24.0,120.0,0.5198433422657118,0.09844079714788327
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.07899557914859343,16.0,monotone_truncated,24.0,1,10,10,,,,24.0,24.0,0.5735912882241628,0.045311176007855516
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.12328359603960092,16.0,monotone_truncated,24.0,6,6,6,0.14297190551500524,0.3588912290518477,0.8582624070590992,24.0,144.0,0.6961618195470718,0.08582533253923474
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.40114008822652447,16.0,monotone_truncated,24.0,4,34,34,0.2228386744457223,0.4673588092926708,0.9593725850264299,24.0,96.0,0.5693644673300816,0.22839491265783704
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.3173934156827427,29.0,monotone_truncated,24.0,5,10,10,0.5223034173699458,1.4220224411003037,0.9554191237720306,24.0,120.0,0.28279859189766005,0.08975841103266832
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,NEUTRAL,0.13702819190526905,136.0,monotone_truncated,24.0,3,8,8,0.16342708764258726,-0.3918108590907186,0.8566825063310943,24.0,72.0,0.36042467877560797,0.04938834205065896
