slug,short_name,name,disaster_type,output_root,n_time_windows,n_time_windows_raw,median_step_hours_raw,daily_avg_applied,t_peak_hours,D_peak,event_type,near_delta_peak_windows_mean,D_inf,D_baseline_std,D_peak_snr
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,Flooding In Central And Eastern Europe Sept 16 2024,flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,27,27,24.0,0,448.0,0.1092804966049428,INFL,0.05790324392491403,0.9205838854052218,,
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,14,14,24.0,0,-8.0,0.14035066046167913,EVAC,-0.30368984094632007,0.21341110281101916,,
hurricane_beryl_across_southeastern_texas_us,beryl_tx,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,15,15,24.0,0,0.0,0.1684519479113594,EVAC,-0.3126556160155096,0.16420305518344505,,
hurricane_beryl_pre_landfall_2024,beryl_pre,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,32,32,24.0,0,16.0,0.18457352182929107,NEUTRAL,,0.27639575032089425,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,7,7,24.0,0,72.0,0.09582937606936251,INFL,0.07137125254025463,0.825011620749588,,
hurricane_john_southern_mexico_25_september_2024,john_sm,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,15,15,24.0,0,168.0,0.09741617346883283,INFL,0.07568720668101737,0.7585818872215797,,
hurricane_milton_across_florida_us,milton_fl,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,10,10,24.0,0,0.0,0.19159976949890845,INFL,0.04601033226564577,0.5774799416009117,,
moldova_flooding_2024,moldova,Moldova Flooding Sept 16 2024,flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,28,28,24.0,0,448.0,0.058662951664797056,INFL,0.06396605245073138,0.6954259000503025,,
spain_flood,spain_flood,Spain Flood (Valencia and Castilla-La Mancha Regions),flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,10,10,24.0,0,88.0,0.11768160310287398,INFL,0.11885401304719626,0.8345818601260666,,
the_earthquake_across_central_mexico,the_earthquake_across_,The Earthquake Across Central Mexico,earthquake,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,4,4,24.0,0,32.0,0.21111047510576467,EXCLUDED_SHORT,,,,
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,15,15,24.0,0,-8.0,0.18108568405444647,EVAC,-0.06056375334103234,0.44441928502124506,,
the_flooding_across_eastern_bangladesh,bangladesh_fld,The Flooding Across Eastern Bangladesh,flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,12,12,24.0,0,232.0,0.08339854191358047,INFL,0.05002227444960764,0.37935278115233706,,
the_flooding_across_gujarat_india,gujarat_fld,"The Flooding Across Gujarat, India",flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,8,8,24.0,0,16.0,0.11750327669670758,EVAC,-0.05691784275916091,0.713166622750814,,
turkiye_earthquake_2023,turkiye,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,36,36,24.0,0,16.0,0.29842332938606897,INFL,0.09705453417337848,0.7421048846222384,,
typhoon_yagi_across_northeastern_vietnam,yagi_vn,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,11,11,24.0,0,29.0,0.3173934156827427,EVAC,-0.5630149187182746,0.28279859189766005,,
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,Wildfires In Boise County Idaho 27 August 2024,wildfire,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,15,15,24.0,0,136.0,0.1339102072855499,NEUTRAL,-0.0070547266075752235,0.3703871614504912,,
