slug,short_name,disaster_type,event_type,D_peak,alpha,r2_event,delta_near,D_inf,n_time_windows,n_mono,t_peak_hours,t_decay_start,t_decay_end,name,event_type_catalog,t0_pt,center_lat,center_lon,t0_source,center_source,exclude_reason
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.4011400882265244,0.2228386744457223,0.95937258502643,0.0566336948172924,0.5693644673300816,36,4,16.0,24.0,96.0,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,2023-02-05 16:00:00,37.174,37.032,USGS origin time us6000jllz | https://earthquake.usgs.gov/earthquakes/eventpage/us6000jllz/executive,USGS epicenter Mw7.8 Pazarcik | https://earthquake.usgs.gov/earthquakes/eventpage/us6000jllz/executive,
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.21193679634191,1.215462091736481,0.944199067047627,-0.1196054495060361,0.4338381608618579,15,5,36.0,24.0,120.0,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,2024-09-25 20:00:00,27.6044,85.0928,DHM Nepal report period start | https://www.dhm.gov.np/hydrology/hydrology-reports/,DHM Daman station coordinates | https://www.dhm.gov.np/meteorology/meteorological-stations/,
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.0968228366680995,0.4720635678723257,0.939629133280664,0.0282371516585952,0.454236594620202,12,5,206.0,24.0,120.0,The Flooding Across Eastern Bangladesh,flood,2024-08-17 18:00:00,22.680047,91.883994,GDACS (EC-JRC) EventData API (GloFAS) | https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventid=1102847&eventtype=FL,GDACS (EC-JRC) EventData API (Point_Centroid) | https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventid=1102847&eventtype=FL,
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,NEUTRAL,0.1087425794378308,0.3895761994806622,0.9316519498034505,0.0010061238318122,0.2093091153855328,30,3,255.0,24.0,72.0,"The Flooding Across Rio Grande do Sul State, Brazil",flood,2024-05-01 17:00:00,-28.982522,-51.972654,Copernicus EMSR720 eventTime | https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations-info/?limit=10&offset=140,Copernicus EMSR720 centroid | https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations-info/?limit=10&offset=140,
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.1394194439567995,0.1594546201967668,0.8317281312087302,-0.1330644640750969,0.6550991317050637,8,6,182.0,24.0,144.0,"The Flooding Across Gujarat, India",flood,2024-08-25 18:00:00,22.566676765509897,73.88398643453914,"GDACS (EC-JRC) EventData API (FromDate, FL eventid=1102678, Region=Gujarat, episodeid=28) | https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventid=1102678&eventtype=FL","GDACS (EC-JRC) EventData API (Point_Centroid, FL eventid=1102678, Region=Gujarat, episodeid=28) | https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventid=1102678&eventtype=FL",
moldova_flooding_2024,moldova,flood,EVAC,0.0536562673777671,0.0706355627672506,0.3934241878354658,-0.028757709768474,0.693186276469963,28,3,513.0,24.0,72.0,Moldova Flooding Sept 16 2024,flood,2024-09-13 23:00:00,46.483,28.25,IFRC GO Emergency 7156 (Ungheni District floods; event start date reference) | https://go.ifrc.org/emergencies/7156,Leova District proxy center (IGSU annual report context + geocode) | https://igsu.gov.md/sites/default/files/media/documents/2025-09/Raport%20privind%20activitatea%20IGSU%20pentru%20anul%202024_0.pdf ; https://www.geonames.org/617903/leova.html,
spain_flood,spain_flood,flood,INFL,0.1268297089427715,0.0575378664819348,0.8131357693611689,0.2026389717764428,0.8643318145942538,10,4,120.5,24.0,96.0,Spain Flood (Valencia and Castilla-La Mancha Regions),flood,2024-10-29 07:30:00,39.671638,-0.401332,Copernicus EMSR773 eventTime | https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations-info/?limit=10&offset=90,Copernicus EMSR773 centroid | https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations-info/?limit=10&offset=90,
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.1426724059165762,-0.014878197323548,0.1408225496552765,0.10130224222134,0.8717764245837184,27,6,519.0,24.0,144.0,Flooding In Central And Eastern Europe Sept 16 2024,flood,2024-09-13 17:00:00,50.603763,16.667259,Copernicus EMSR756 eventTime | https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations-info/?limit=10&offset=110,Copernicus EMSR756 centroid | https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations-info/?limit=10&offset=110,
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.2407611561193852,0.8001103007909469,0.99008402077699,-0.279299263948949,0.1168867432254656,15,6,0.0,24.0,144.0,"Hurricane Beryl Across Southeastern Texas, US",hurricane,2024-07-08 08:00:00,28.6,-96.0,NOAA/NHC TCR Beryl Table 1 landfall 08:40Z | https://www.nhc.noaa.gov/data/tcr/AL022024_Beryl.pdf,NOAA/NHC TCR Beryl Table 1 landfall position (Matagorda TX) | https://www.nhc.noaa.gov/data/tcr/AL022024_Beryl.pdf,
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.2361301317007472,0.7412300746592427,0.9787072412745618,-0.441916794587687,0.08322137413214,14,6,4.0,24.0,144.0,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,2024-07-05 04:00:00,20.3,-87.4,NHC TCR Beryl Table 1 landfall 11:00Z | https://www.nhc.noaa.gov/data/tcr/AL022024_Beryl.pdf,NHC TCR Beryl Table 1 landfall position | https://www.nhc.noaa.gov/data/tcr/AL022024_Beryl.pdf,
