sensitivity_block,run,n_selected,n_selected_plot,rho,p,min_n_mono,min_post_peak_steps,jk_rho_median,jk_rho_ci2p5,jk_rho_ci97p5,r_max_km,spearman_rho,spearman_p,r_near_km
window_threshold_sensitivity,round2_baseline,9,8.0,-0.9166666666666666,0.0005066190663052,3.0,4.0,-0.9047619047619048,-0.9476190476190476,-0.880952380952381,,,,
window_threshold_sensitivity,unified_mtw5_mpp4,14,13.0,-0.7758241758241758,0.0011084786677787,3.0,4.0,-0.7637362637362637,-0.8519230769230769,-0.7252747252747254,,,,
window_threshold_sensitivity,unified_mtw4_mpp4,14,13.0,-0.7758241758241758,0.0011084786677787,3.0,4.0,-0.7637362637362637,-0.8519230769230769,-0.7252747252747254,,,,
window_threshold_sensitivity,unified_mtw5_mpp3,14,13.0,-0.7758241758241758,0.0011084786677787,3.0,3.0,-0.7637362637362637,-0.8519230769230769,-0.7252747252747254,,,,
window_threshold_sensitivity,unified_mtw4_mpp3,15,14.0,-0.7642857142857141,0.0009073101116849,3.0,3.0,-0.7538461538461538,-0.8149450549450549,-0.7362637362637363,,,,
rmax_sensitivity,,12,,,,,,,,,50.0,-0.5104895104895105,0.0899137363026391,
rmax_sensitivity,,15,,,,,,,,,100.0,-0.6714285714285713,0.0061277667888201,
rmax_sensitivity,,14,,,,,,,,,150.0,-0.7846153846153847,0.0008900739749078,
rmax_sensitivity,,14,,,,,,,,,200.0,-0.7758241758241758,0.0011084786677787,
rmax_sensitivity,,13,,,,,,,,,250.0,-0.6923076923076923,0.0087303177967493,
rnear_sensitivity,,14,,,,,,,,,,-0.745054945054945,0.002230037316742,30.0
rnear_sensitivity,,14,,,,,,,,,,-0.7758241758241758,0.0011084786677787,50.0
rnear_sensitivity,,14,,,,,,,,,,-0.7846153846153847,0.0008900739749078,75.0
rnear_sensitivity,,14,,,,,,,,,,-0.7406593406593407,0.002445197640446,100.0
