k,Ds,spearman_rho_alpha_emp_D,spearman_p_alpha_emp_D,pearson_r_alpha_emp_D,pearson_p_alpha_emp_D,mae_alpha_D,n_events_D,spearman_rho_alpha_pred_vs_delta_near_D,spearman_p_alpha_pred_vs_delta_near_D,spearman_rho_alpha_pred_vs_D_peak_D,spearman_p_alpha_pred_vs_D_peak_D,spearman_rho_alpha_emp_E,spearman_p_alpha_emp_E,pearson_r_alpha_emp_E,pearson_p_alpha_emp_E,mae_alpha_E,n_events_E,spearman_rho_alpha_pred_vs_delta_near_E,spearman_p_alpha_pred_vs_delta_near_E,spearman_rho_alpha_pred_vs_D_peak_E,spearman_p_alpha_pred_vs_D_peak_E
0.0001,0.01,0.10294117647058824,0.7044103818167706,0.1873784675672021,0.48711232740133775,0.3459814719982167,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.45,0.08029573654339643,0.2504480050261961,0.3495001164391424,0.34337520182648645,16,-0.5823529411764706,0.01793273413103536,0.27941176470588236,0.29461765356841446
0.0001,0.014873521072935119,0.10294117647058824,0.7044103818167706,0.18738208079354607,0.4871037764647824,0.3459058040975482,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.45,0.08029573654339643,0.25048792838817396,0.34942074594262745,0.34312743988723216,16,-0.5823529411764706,0.01793273413103536,0.27941176470588236,0.29461765356841446
0.0001,0.022122162910704492,0.10294117647058824,0.7044103818167706,0.18739800600878279,0.4870660892589675,0.34579454237908724,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4764705882352941,0.062059174189226164,0.2505458584183161,0.34930559497343006,0.34276150130568894,16,-0.5941176470588235,0.015232400876327998,0.3147058823529411,0.23515831926634448
0.0001,0.03290344562312668,0.10294117647058824,0.7044103818167706,0.18768098139766903,0.4863966580509193,0.3456309866100677,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4764705882352941,0.062059174189226164,0.25062888350141893,0.3491405983825614,0.34222282698647294,16,-0.5941176470588235,0.015232400876327998,0.3147058823529411,0.23515831926634448
0.0001,0.04893900918477494,0.10294117647058824,0.7044103818167706,0.188351089928177,0.4848131546889449,0.3453912386414152,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4764705882352941,0.062059174189226164,0.2507456578488994,0.34890860592554374,0.3414337652900181,16,-0.5941176470588235,0.015232400876327998,0.3147058823529411,0.23515831926634448
0.0001,0.07278953843983153,0.10294117647058824,0.7044103818167706,0.18953524357539211,0.48202101250151985,0.3450426250915184,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.4735294117647058,0.06391907182682008,0.25090521402667093,0.3485917605552715,0.3402861615689635,16,-0.5970588235294118,0.014609731954981046,0.3411764705882353,0.1959326248678891
0.0001,0.10826367338740546,0.11470588235294117,0.672291046599723,0.19121770392741488,0.4780673049380664,0.3445454058025537,16,-0.30882352941176466,0.24449869579851793,0.3294117647058824,0.2128014262162131,0.5,0.04858028888702393,0.25111353513954054,0.3481783226077967,0.33863416613935643,16,-0.5882352941176471,0.016539722195378165,0.3558823529411765,0.1761037380915931
0.0001,0.16102620275609392,0.11470588235294117,0.672291046599723,0.19381317876059706,0.4719990937386395,0.34384538461526837,16,-0.30882352941176466,0.24449869579851793,0.3294117647058824,0.2128014262162131,0.4735294117647058,0.06391907182682008,0.2513661242923222,0.34767740091887994,0.33629038113708337,16,-0.5676470588235295,0.02181459214374292,0.34411764705882353,0.19185563142554296
0.0001,0.2395026619987486,0.09117647058823529,0.7370049501736589,0.1982251804664585,0.4617710776296758,0.3428702899701873,16,-0.26176470588235295,0.3274104118125859,0.34411764705882353,0.19185563142554296,0.4764705882352941,0.062059174189226164,0.25163530847210347,0.347144017081103,0.33303082486772917,16,-0.55,0.027293972709730593,0.3735294117647059,0.15412246989684822
0.0001,0.35622478902624444,0.08529411764705883,0.7534650694747833,0.20492110598769314,0.44646118173396,0.3415379797797415,16,-0.27941176470588236,0.29461765356841446,0.29411764705882354,0.268846554622893,0.45,0.08029573654339643,0.2518556353242269,0.34670778751434783,0.32861505114257106,16,-0.5117647058823529,0.04272344816333178,0.39999999999999997,0.12475042359840012
0.0001,0.529831690628371,0.08529411764705883,0.7534650694747833,0.21540558834991302,0.42301475807544514,0.33977770471949675,16,-0.27941176470588236,0.29461765356841446,0.29411764705882354,0.268846554622893,0.4382352941176471,0.08953003199187995,0.25192466986757694,0.34657116842071856,0.32282180741178523,16,-0.5088235294117647,0.04413521823498383,0.3588235294117647,0.17230386289263244
0.0001,0.7880462815669912,0.10294117647058824,0.7044103818167706,0.23240410397935088,0.38640381310164107,0.33756753014626434,16,-0.26176470588235295,0.3274104118125859,0.3294117647058824,0.2128014262162131,0.3735294117647059,0.15412246989684822,0.25175852024171197,0.34690002941341447,0.31548248606118,16,-0.5029411764705883,0.047063140467273064,0.30882352941176466,0.24449869579851793
0.0001,1.1721022975334805,0.12941176470588234,0.63288233246826,0.2574957095545808,0.3356466809217543,0.33499716757186615,16,-0.25588235294117645,0.33878990807124576,0.3235294117647059,0.22157412500124285,0.39999999999999997,0.12475042359840012,0.25143082822191754,0.3475491489609668,0.30647564799428106,16,-0.4794117647058824,0.06023930250431595,0.2764705882352941,0.2999421284923735
0.0001,1.743328822199989,0.22352941176470587,0.40529834728275893,0.2752457131337861,0.30217623233311397,0.3317782147479179,16,-0.2764705882352941,0.2999421284923735,0.31176470588235294,0.23980004767411284,0.4058823529411764,0.11879168453237476,0.25127898443052504,0.347850166162417,0.2956646772513206,16,-0.4705882352941176,0.06581947250108118,0.2676470588235294,0.3162544185483094
0.0001,2.592943797404667,0.27058823529411763,0.31076062710233504,0.28242632658823563,0.2892191165018703,0.3275243153748598,16,-0.35000000000000003,0.18386882202619317,0.21764705882352942,0.41808684161130294,0.3735294117647059,0.15412246989684822,0.25164821937576987,0.34711844597301744,0.28281406449435686,16,-0.38823529411764707,0.13728162367278124,0.2764705882352941,0.2999421284923735
0.0001,3.856620421163472,0.37058823529411766,0.15765046473782054,0.28180783921680663,0.2903218588010425,0.3218442335204707,16,-0.36470588235294116,0.16486839724475397,-0.03823529411764706,0.8881976539853073,0.28823529411764703,0.27898445973708325,0.25224667774701204,0.34593431826659615,0.26751682144405464,16,-0.36764705882352944,0.1612323576755899,0.2441176470588235,0.3622134961419501
0.0001,5.736152510448681,0.4264705882352941,0.09949911193753966,0.2755709487801394,0.3015820646517026,0.314287738787156,16,-0.37941176470588234,0.14722713386289268,-0.06764705882352941,0.8034203137966691,0.25,0.3503914791072017,0.25195418093729155,0.3465127754159105,0.25096352761847074,16,-0.3411764705882353,0.1959326248678891,0.23823529411764705,0.37425412972798844
0.0001,8.531678524172815,0.4323529411764706,0.09442103753478695,0.2661009068513985,0.31916499975028245,0.3045590790012904,16,-0.36764705882352944,0.1612323576755899,-0.08529411764705883,0.7534650694747833,0.2411764705882353,0.36820660804263405,0.24977318968404444,0.3508432345534347,0.25137578534012905,16,-0.34705882352941175,0.18783442010629967,0.22941176470588234,0.39272049088161975
0.0001,12.689610031679234,0.4705882352941176,0.06581947250108118,0.2557727645027663,0.3390040203956134,0.29275159556209196,16,-0.3529411764705882,0.17995865788498183,-0.06764705882352941,0.8034203137966691,0.21470588235294116,0.4245592336201027,0.2458742155523421,0.35866026424709185,0.2522668434960475,16,-0.3235294117647059,0.22157412500124285,0.29705882352941176,0.2638630146135225
0.0001,18.873918221350976,0.4647058823529412,0.06974367557375584,0.24523757013615985,0.3599458312217566,0.27855656664978434,16,-0.3058823529411765,0.2492542989289186,-0.1264705882352941,0.6406944408168836,0.16764705882352943,0.5348568245819433,0.24099063371670443,0.3685871102409972,0.2524014093041373,16,-0.3294117647058824,0.2128014262162131,0.2588235294117647,0.3330723066336081
0.0001,28.072162039411786,0.3205882352941176,0.22604542220798238,0.23490188872467246,0.38117358453310224,0.2759848535837114,16,-0.15882352941176472,0.5568612810855389,-0.3,0.25893645256249886,0.2911764705882353,0.2738870484191488,0.23532923766323557,0.380282623933946,0.25162284260113815,16,-0.411764705882353,0.11303386621436724,0.3323529411764706,0.2084998279822084
0.0001,41.753189365604044,0.3,0.25893645256249886,0.22511396131675643,0.40188937020132054,0.2698030142323139,16,-0.09999999999999999,0.7125163701282782,-0.31764705882352945,0.23057346362184541,0.3058823529411765,0.2492542989289186,0.2290512471005699,0.3934852552802987,0.24719643706395455,16,-0.4852941176470588,0.05671771428191195,0.2676470588235294,0.3162544185483094
0.0001,62.10169418915616,0.2676470588235294,0.3162544185483094,0.21607121883994365,0.4215482142703071,0.2584155341253699,16,0.02941176470588235,0.9138955872505001,-0.33529411764705885,0.20425458084551512,0.36470588235294116,0.16486839724475397,0.22225980228432082,0.4080407995189935,0.24621119120381604,16,-0.6205882352941177,0.010313515549677674,0.08529411764705883,0.7534650694747833
0.0001,92.36708571873865,0.12352941176470587,0.6485420669723405,0.20629351792561504,0.4433552901478475,0.24049188591323775,16,0.1647058823529412,0.5421481352010777,-0.36764705882352944,0.1612323576755899,0.22058823529411767,0.4116664304979635,0.2134084774997835,0.4274307496822807,0.25157085025176984,16,-0.3,0.25893645256249886,-0.1176470588235294,0.6643410791623536
0.0001,137.3823795883264,0.07058823529411765,0.795039302337628,0.19010030108491321,0.48069139425982105,0.21804498336299138,16,0.16764705882352943,0.5348568245819433,-0.34411764705882353,0.19185563142554296,0.06176470588235294,0.8202418775044894,0.1981848748334064,0.46186401447347425,0.253745840734928,16,0.014705882352941175,0.956891924031642,-0.2588235294117647,0.3330723066336081
0.0001,204.33597178569437,-0.008823529411764706,0.9741279946623942,0.15952422503054184,0.5550996564113044,0.19968555308059258,16,0.12352941176470587,0.6485420669723405,-0.39999999999999997,0.12475042359840012,0.03823529411764706,0.8881976539853073,0.16665938540372954,0.5373004041530596,0.24991616290712987,16,0.047058823529411764,0.8626036946668731,-0.2911764705882353,0.2738870484191488
0.0001,303.91953823132013,-0.0029411764705882353,0.9913748045563624,0.09771262645549322,0.7188405053598816,0.20865537127919978,16,0.12058823529411765,0.6564245147485952,-0.40294117647058825,0.121745762952543,0.047058823529411764,0.8626036946668731,0.09033763442850878,0.7393458358414554,0.23739983656234803,16,0.05294117647058824,0.8456104411493658,-0.2823529411764706,0.28934982906327383
0.0001,452.035365636025,0.014705882352941175,0.956891924031642,-0.03598657488746557,0.894737963981365,0.22006963702542398,16,0.10294117647058824,0.7044103818167706,-0.3911764705882353,0.1340712861972552,0.02058823529411765,0.9396737397890448,-0.07320450458314835,0.7876017158107389,0.24662985665560075,16,0.09705882352941177,0.7206513082372035,-0.3147058823529411,0.23515831926634448
0.0001,672.3357536499335,-0.1647058823529412,0.5421481352010777,-0.18287001013757676,0.4978376924445084,0.23338226206366186,16,0.3764705882352941,0.1506481152876309,-0.3,0.25893645256249886,-0.16176470588235295,0.5494831434036929,-0.1994833693879859,0.4588746110816745,0.2494876702139917,16,0.35000000000000003,0.18386882202619317,-0.2647058823529412,0.3218043958686153
0.0001,1000.0,-0.16764705882352943,0.5348568245819433,-0.2322664358183747,0.3866932085396243,0.2480634423574936,16,0.38823529411764707,0.13728162367278124,-0.28529411764705886,0.28413874015956303,-0.2058823529411765,0.4442846410521438,-0.235264754535446,0.3804169890585753,0.24363967770610867,16,0.38823529411764707,0.13728162367278124,-0.2735294117647059,0.3053231563074052
0.00013738237958832623,0.01,0.10294117647058824,0.7044103818167706,0.18737846756724902,0.4871123274012271,0.34514017747524695,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.45,0.08029573654339643,0.2504480050261741,0.3495001164391861,0.34169261278054686,16,-0.5823529411764706,0.01793273413103536,0.27941176470588236,0.29461765356841446
0.00013738237958832623,0.014873521072935119,0.10294117647058824,0.7044103818167706,0.18738208079350138,0.48710377646488834,0.34506450957457846,16,-0.3323529411764706,0.2084998279822084,0.3323529411764706,0.2084998279822084,0.45,0.08029573654339643,0.2504879283881905,0.34942074594259476,0.3414448508412927,16,-0.5823529411764706,0.01793273413103536,0.27941176470588236,0.29461765356841446
