iter,rho_alpha_pred_vs_delta_near,p_value,n_eff,mode
0,-0.488235294117647,0.05501502977813759,16,E
1,-0.6235294117647059,0.009855650390922007,16,E
2,-0.5882352941176471,0.016539722195378165,16,E
3,-0.6823529411764706,0.0035879704117567236,16,E
4,-0.4205882352941176,0.10476751392918707,16,E
5,-0.3529411764705882,0.17995865788498183,16,E
6,-0.6294117647058822,0.008988089264446917,16,E
7,-0.6205882352941177,0.010313515549677674,16,E
8,-0.7970588235294117,0.00021809806990574787,16,E
9,-0.6588235294117648,0.005511422336343686,16,E
10,-0.36470588235294116,0.16486839724475397,16,E
11,-0.40294117647058825,0.121745762952543,16,E
12,-0.08529411764705883,0.7534650694747833,16,E
13,-0.7441176470588236,0.0009482827857378677,16,E
14,-0.6911764705882353,0.0030247187950434044,16,E
15,-0.488235294117647,0.05501502977813759,16,E
16,0.1323529411764706,0.6251064291516133,16,E
17,-0.34411764705882353,0.19185563142554296,16,E
18,-0.4617647058823529,0.07176841584053797,16,E
19,-0.43529411764705883,0.09195235850572929,16,E
20,-0.7470588235294118,0.0008821069929846318,16,E
21,-0.7352941176470589,0.0011716155350991778,16,E
22,-0.7647058823529411,0.0005596762943567445,16,E
23,-0.4441176470588235,0.08482274417741588,16,E
24,-0.55,0.027293972709730593,16,E
25,-0.43529411764705883,0.09195235850572929,16,E
26,-0.4823529411764706,0.058458976774719576,16,E
27,-0.3558823529411765,0.1761037380915931,16,E
28,-0.7205882352941175,0.001638191163879613,16,E
29,-0.3852941176470588,0.1405441773736763,16,E
30,-0.6558823529411765,0.005800736962231502,16,E
31,-0.6,0.014007122329599993,16,E
32,-0.6352941176470589,0.00818206461633401,16,E
33,-0.5764705882352941,0.01941514038653157,16,E
34,-0.3588235294117647,0.17230386289263244,16,E
35,-0.2029411764705882,0.45096124172270946,16,E
36,-0.32647058823529407,0.2171594905792295,16,E
37,-0.9088235294117648,1.100585220018777e-06,16,E
38,-0.6205882352941177,0.010313515549677674,16,E
39,-0.5117647058823529,0.04272344816333178,16,E
40,-0.5470588235294118,0.028301087242108842,16,E
41,-0.4058823529411764,0.11879168453237476,16,E
42,-0.18529411764705883,0.4920570502059438,16,E
43,-0.38235294117647056,0.14385924954389048,16,E
44,-0.7147058823529412,0.0018627410999474353,16,E
45,-0.5441176470588236,0.029336337481376578,16,E
46,-0.2823529411764706,0.28934982906327383,16,E
47,-0.4911764705882353,0.053350435677943356,16,E
48,-0.6029411764705882,0.013424125397891343,16,E
49,-0.538235294117647,0.031493228205838324,16,E
50,-0.03823529411764706,0.8881976539853073,16,E
51,-0.3235294117647059,0.22157412500124285,16,E
52,-0.4176470588235294,0.1074740793993006,16,E
53,-0.488235294117647,0.05501502977813759,16,E
54,-0.6441176470588235,0.007081524086582877,16,E
55,-0.2529411764705882,0.34456303133749866,16,E
56,-0.44117647058823534,0.08715363626051087,16,E
57,-0.7058823529411764,0.002245900601051329,16,E
58,-0.33529411764705885,0.20425458084551512,16,E
59,-0.7088235294117646,0.0021116812392545335,16,E
60,-0.45,0.08029573654339643,16,E
61,-0.55,0.027293972709730593,16,E
62,-0.6823529411764706,0.0035879704117567236,16,E
63,-0.7147058823529412,0.0018627410999474353,16,E
64,-0.5441176470588236,0.029336337481376578,16,E
65,-0.2441176470588235,0.3622134961419501,16,E
66,-0.6794117647058824,0.0037934326691597448,16,E
67,-0.5852941176470587,0.01722528661609485,16,E
68,-0.3,0.25893645256249886,16,E
69,-0.6058823529411764,0.012860298533367195,16,E
70,-0.5029411764705883,0.047063140467273064,16,E
71,-0.27058823529411763,0.31076062710233504,16,E
72,-0.6264705882352941,0.009413977306783637,16,E
73,-0.6411764705882352,0.007434419082533941,16,E
74,-0.5205882352941177,0.03869090714064999,16,E
75,-0.5911764705882353,0.015875579555641478,16,E
76,-0.6764705882352942,0.00400825239020936,16,E
77,-0.6588235294117648,0.005511422336343686,16,E
78,-0.3411764705882353,0.1959326248678891,16,E
79,-0.5588235294117647,0.024436511424505727,16,E
80,-0.7558823529411764,0.0007058905869098935,16,E
81,-0.6705882352941177,0.004467208697738123,16,E
82,-0.6852941176470588,0.003391561745216595,16,E
83,-0.5941176470588235,0.015232400876327998,16,E
84,-0.19999999999999998,0.45768790507519985,16,E
85,-0.44705882352941173,0.0825369233953715,16,E
86,-0.7676470588235293,0.0005168835242959224,16,E
87,-0.5264705882352941,0.036166514972245475,16,E
88,-0.4970588235294117,0.05013355780377417,16,E
89,-0.4970588235294117,0.05013355780377417,16,E
90,-0.3382352941176471,0.2000655587786896,16,E
91,-0.4058823529411764,0.11879168453237476,16,E
92,-0.6735294117647058,0.004232739248460506,16,E
93,-0.3235294117647059,0.22157412500124285,16,E
94,-0.2029411764705882,0.45096124172270946,16,E
95,-0.5529411764705882,0.026314499870666502,16,E
96,-0.6264705882352941,0.009413977306783637,16,E
97,-0.2764705882352941,0.2999421284923735,16,E
98,-0.3411764705882353,0.1959326248678891,16,E
99,-0.24705882352941175,0.35627504151257705,16,E
100,-0.4735294117647058,0.06391907182682008,16,E
101,-0.4911764705882353,0.053350435677943356,16,E
102,-0.6352941176470589,0.00818206461633401,16,E
103,-0.6382352941176471,0.007801138631008009,16,E
104,-0.5176470588235293,0.04000179295956069,16,E
105,-0.7147058823529412,0.0018627410999474353,16,E
106,-0.4323529411764706,0.09442103753478695,16,E
107,-0.5911764705882353,0.015875579555641478,16,E
108,-0.21470588235294116,0.4245592336201027,16,E
109,-0.44705882352941173,0.0825369233953715,16,E
110,-0.24705882352941175,0.35627504151257705,16,E
111,-0.44705882352941173,0.0825369233953715,16,E
112,-0.0588235294117647,0.8286807500332258,16,E
113,-0.5852941176470587,0.01722528661609485,16,E
114,-0.38235294117647056,0.14385924954389048,16,E
115,-0.34411764705882353,0.19185563142554296,16,E
116,-0.5088235294117647,0.04413521823498383,16,E
117,-0.6382352941176471,0.007801138631008009,16,E
118,-0.5088235294117647,0.04413521823498383,16,E
119,-0.6529411764705881,0.006102046679077,16,E
120,-0.3558823529411765,0.1761037380915931,16,E
121,-0.3029411764705882,0.2540668806096115,16,E
122,-0.5441176470588236,0.029336337481376578,16,E
123,-0.36176470588235293,0.16855882250388438,16,E
124,-0.6058823529411764,0.012860298533367195,16,E
125,-0.4205882352941176,0.10476751392918707,16,E
126,-0.43529411764705883,0.09195235850572929,16,E
127,-0.7294117647058823,0.0013430786823836708,16,E
128,-0.39999999999999997,0.12475042359840012,16,E
129,-0.4794117647058824,0.06023930250431595,16,E
