slug,short_name,t_peak_hours,t_snap,t_snap_abs_diff_h,n_profile_bins,n_post_rows,median_step_hours_raw,daily_avg_applied
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,519.0,519.0,0.0,21,147,24.0,0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,4.0,4.0,0.0,21,273,24.0,0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,0.0,0.0,0.0,20,292,24.0,0
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,63.0,63.0,0.0,11,154,24.0,0
moldova_flooding_2024,moldova,513.0,513.0,0.0,21,168,24.0,0
park_fire_california_29_july_2024,park_fire2,161.13333333333333,161.13333333333333,0.0,21,252,24.0,0
spain_flood,spain_flood,120.5,120.5,0.0,21,105,24.0,0
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,36.0,36.0,0.0,21,294,24.0,0
the_flooding_across_eastern_bangladesh,bangladesh_fld,206.0,206.0,0.0,21,210,24.0,0
the_flooding_across_gujarat_india,gujarat_fld,182.0,182.0,0.0,20,120,24.0,0
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,255.0,255.0,0.0,21,378,24.0,0
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,16.0,16.0,0.0,21,273,24.0,0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,36.0,36.0,0.0,21,231,24.0,0
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,9.0,9.0,0.0,19,293,24.0,0
turkiye_earthquake_2023,turkiye,16.0,16.0,0.0,20,713,24.0,0
typhoon_krathon_across_taiwan,krathon_tw,-13.666666666666666,-13.666666666666666,0.0,21,231,24.0,0
typhoon_yagi_across_northeastern_vietnam,yagi_vn,29.0,29.0,0.0,18,180,24.0,0
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,680.75,680.75,0.0,19,115,24.0,0
