k,Ds,spearman_rho_alpha_emp_D,spearman_p_alpha_emp_D,pearson_r_alpha_emp_D,pearson_p_alpha_emp_D,mae_alpha_D,n_events_D,spearman_rho_alpha_pred_vs_delta_near_D,spearman_p_alpha_pred_vs_delta_near_D,spearman_rho_alpha_pred_vs_D_peak_D,spearman_p_alpha_pred_vs_D_peak_D,spearman_rho_alpha_emp_E,spearman_p_alpha_emp_E,pearson_r_alpha_emp_E,pearson_p_alpha_emp_E,mae_alpha_E,n_events_E,spearman_rho_alpha_pred_vs_delta_near_E,spearman_p_alpha_pred_vs_delta_near_E,spearman_rho_alpha_pred_vs_D_peak_E,spearman_p_alpha_pred_vs_D_peak_E
0.0001,0.01,-0.11042311661506708,0.6626984309773882,-0.25298575302309434,0.31112107398086636,0.39083621390642614,18,0.48194014447884415,0.042835831246999204,-0.11661506707946334,0.6449317151979074,-0.09597523219814243,0.7048123642968974,-0.031113219923351528,0.9024598992117973,0.3882111277408342,18,0.28586171310629516,0.2501695935454806,-0.2652218782249742,0.28748424291745134
0.0001,0.014873521072935119,-0.11042311661506708,0.6626984309773882,-0.2526280471601084,0.3118289603938995,0.3907715643607897,18,0.48194014447884415,0.042835831246999204,-0.11661506707946334,0.6449317151979074,-0.09597523219814243,0.7048123642968974,-0.0310103139360631,0.9027810615945824,0.387983805704754,18,0.28586171310629516,0.2501695935454806,-0.2652218782249742,0.28748424291745134
0.0001,0.022122162910704492,-0.11042311661506708,0.6626984309773882,-0.2522684734438716,0.312541507997072,0.3906763722891419,18,0.48194014447884415,0.042835831246999204,-0.11661506707946334,0.6449317151979074,-0.09597523219814243,0.7048123642968974,-0.030858025392812384,0.903256369818335,0.38764924332181405,18,0.28586171310629516,0.2501695935454806,-0.2652218782249742,0.28748424291745134
0.0001,0.03290344562312668,-0.13106295149638802,0.6041941281040611,-0.2529957748883893,0.3111012548754127,0.39053689782226253,18,0.5149638802889577,0.028748754882630345,-0.12693498452012383,0.6157269826949076,-0.08565531475748193,0.7354104124232368,-0.03063313125360411,0.903958344782753,0.38715933912855505,18,0.2693498452012384,0.27976422005657137,-0.2507739938080495,0.3155133959594858
0.0001,0.04893900918477494,-0.13106295149638802,0.6041941281040611,-0.2538332404798054,0.30944775036864175,0.39033278183077696,18,0.5149638802889577,0.028748754882630345,-0.12693498452012383,0.6157269826949076,-0.07946336429308565,0.7539561864360347,-0.0303019171878904,0.9049923054894569,0.3864472929220301,18,0.24871001031991744,0.31964521777772903,-0.3023735810113519,0.22262935502892156
0.0001,0.07278953843983153,-0.1413828689370485,0.5757540929543487,-0.25531224170440614,0.3065404168659727,0.39003688632706895,18,0.5314757481940144,0.02321633430784389,-0.1475748194014448,0.5589695952802587,-0.07327141382868937,0.7726309674360764,-0.029815643062141343,0.9065105847939747,0.385423584251259,18,0.24045407636738902,0.3364896473643954,-0.3312693498452013,0.179322144399268
0.0001,0.10826367338740546,-0.17234262125902994,0.49407642787678363,-0.2577635664319935,0.3017578596780329,0.3896130823625982,18,0.5583075335397317,0.01603820039772077,-0.15376676986584106,0.5424031647570589,-0.09803921568627451,0.6987424830235278,-0.029103636394163065,0.9087342172678218,0.38397477948508474,18,0.2425180598555212,0.3322310909053101,-0.3168214654282766,0.20020499436454783
0.0001,0.16102620275609392,-0.1929824561403509,0.44294415082481003,-0.2625206029582722,0.292605582297378,0.38902050410098066,18,0.5665634674922602,0.014226822697300032,-0.16202270381836945,0.5206651056985048,-0.09803921568627451,0.6987424830235278,-0.028061117493414875,0.9119912165542694,0.381969653288101,18,0.2425180598555212,0.3322310909053101,-0.3168214654282766,0.20020499436454783
0.0001,0.2395026619987486,-0.2693498452012384,0.27976422005657137,-0.2733835097855618,0.2723446771789437,0.3882342699563932,18,0.6119711042311662,0.006950274712161287,-0.17234262125902994,0.49407642787678363,-0.09803921568627451,0.6987424830235278,-0.026523466820408997,0.9167975112475729,0.37927856718044495,18,0.2239422084623323,0.3716861637562172,-0.30443756449948395,0.21933066080450497
0.0001,0.35622478902624444,-0.281733746130031,0.2573753757323143,-0.28209889086129564,0.25673279636982743,0.3872005328562168,18,0.6160990712074303,0.00647796835824065,-0.17647058823529413,0.4836281454935329,-0.08771929824561403,0.7292587507339037,-0.02420693490458123,0.9240435216329143,0.3758084252154499,18,0.2198142414860681,0.3807953913501374,-0.3312693498452013,0.179322144399268
0.0001,0.529831690628371,-0.32920536635706915,0.18221199775917413,-0.28334792988972113,0.25454235128959174,0.3858752666881226,18,0.6202270381836945,0.006032002847171182,-0.11867905056759545,0.6390493358496443,-0.09803921568627451,0.6987424830235278,-0.020584083649394156,0.9353868536368625,0.37153951753723985,18,0.20949432404540763,0.40410193596361965,-0.3622291021671827,0.13962500641700296
0.0001,0.7880462815669912,-0.281733746130031,0.2573753757323143,-0.27456336431022843,0.27019765152262853,0.3843236543142876,18,0.5789473684210527,0.011818464080461803,-0.05056759545923632,0.8420557303322882,-0.03611971104231166,0.8868532969155285,-0.014696095895756722,0.9538468075633421,0.3669880347204739,18,0.16408668730650156,0.5152947310342115,-0.3333333333333333,0.17646319681352746
0.0001,1.1721022975334805,-0.24045407636738902,0.3364896473643954,-0.2531279897142109,0.3108398589887313,0.3827888735333181,18,0.5252837977296182,0.02518359155961345,-0.013415892672858616,0.9578637574487228,-0.038183694530443756,0.8804304907652737,-0.005072877103369636,0.9840615214329825,0.36208387657587504,18,0.16202270381836945,0.5206651056985048,-0.3787409700722394,0.12116422586370856
0.0001,1.743328822199989,-0.12693498452012383,0.6157269826949076,-0.20430012365864375,0.4161171717892606,0.3810660141905358,18,0.4282765737874097,0.0762009593524021,0.07533539731682146,0.766392281347839,-0.03611971104231166,0.8868532969155285,0.009806582628600014,0.9691937494278625,0.35616663685001854,18,0.11661506707946334,0.6449317151979074,-0.3828689370485036,0.11683232301276776
