slug,r_bin_km,hours_since_peak,delta,n_tiles
flooding_in_central_and_eastern_europe_sept_16_2024,0.0,24.0,0.10639670657205991,90.0
flooding_in_central_and_eastern_europe_sept_16_2024,10.0,24.0,0.1150408970662189,280.0
flooding_in_central_and_eastern_europe_sept_16_2024,20.0,24.0,0.07729697386328094,408.0
flooding_in_central_and_eastern_europe_sept_16_2024,30.0,24.0,0.10801547856426508,546.0
flooding_in_central_and_eastern_europe_sept_16_2024,40.0,24.0,0.10744843948022087,706.0
flooding_in_central_and_eastern_europe_sept_16_2024,50.0,24.0,0.13518668462311423,920.0
flooding_in_central_and_eastern_europe_sept_16_2024,60.0,24.0,0.13874136764131584,1087.0
flooding_in_central_and_eastern_europe_sept_16_2024,70.0,24.0,0.12138255296518596,1190.0
flooding_in_central_and_eastern_europe_sept_16_2024,80.0,24.0,0.10865202415387776,1315.0
flooding_in_central_and_eastern_europe_sept_16_2024,90.0,24.0,0.12040357786722367,1457.0
flooding_in_central_and_eastern_europe_sept_16_2024,100.0,24.0,0.08871581971817233,1529.0
flooding_in_central_and_eastern_europe_sept_16_2024,110.0,24.0,0.11748009939748849,1673.0
flooding_in_central_and_eastern_europe_sept_16_2024,120.0,24.0,0.1267984956402144,1583.0
flooding_in_central_and_eastern_europe_sept_16_2024,130.0,24.0,0.11740738934413542,1736.0
flooding_in_central_and_eastern_europe_sept_16_2024,140.0,24.0,0.1347223597782501,1906.0
flooding_in_central_and_eastern_europe_sept_16_2024,150.0,24.0,0.1453877096134959,2040.0
flooding_in_central_and_eastern_europe_sept_16_2024,160.0,24.0,0.16609339360283792,2080.0
flooding_in_central_and_eastern_europe_sept_16_2024,170.0,24.0,0.14380064206680832,2042.0
flooding_in_central_and_eastern_europe_sept_16_2024,180.0,24.0,0.11734787476932662,2028.0
flooding_in_central_and_eastern_europe_sept_16_2024,190.0,24.0,0.10185742272607001,2089.0
flooding_in_central_and_eastern_europe_sept_16_2024,200.0,24.0,0.08644161489121105,2008.0
flooding_in_central_and_eastern_europe_sept_16_2024,0.0,48.0,0.10596209994207517,87.0
flooding_in_central_and_eastern_europe_sept_16_2024,10.0,48.0,0.10512977764684406,273.0
flooding_in_central_and_eastern_europe_sept_16_2024,20.0,48.0,0.061839783589488606,409.0
flooding_in_central_and_eastern_europe_sept_16_2024,30.0,48.0,0.08789193590142164,540.0
flooding_in_central_and_eastern_europe_sept_16_2024,40.0,48.0,0.08637160255356591,696.0
flooding_in_central_and_eastern_europe_sept_16_2024,50.0,48.0,0.1357674960714479,904.0
flooding_in_central_and_eastern_europe_sept_16_2024,60.0,48.0,0.1374315400029833,1078.0
flooding_in_central_and_eastern_europe_sept_16_2024,70.0,48.0,0.12377338591035048,1177.0
flooding_in_central_and_eastern_europe_sept_16_2024,80.0,48.0,0.09570418679747217,1304.0
flooding_in_central_and_eastern_europe_sept_16_2024,90.0,48.0,0.10956090946654462,1416.0
flooding_in_central_and_eastern_europe_sept_16_2024,100.0,48.0,0.0864062468920479,1487.0
flooding_in_central_and_eastern_europe_sept_16_2024,110.0,48.0,0.1229934818470062,1644.0
flooding_in_central_and_eastern_europe_sept_16_2024,120.0,48.0,0.129895899382255,1569.0
flooding_in_central_and_eastern_europe_sept_16_2024,130.0,48.0,0.11878408502507032,1714.0
flooding_in_central_and_eastern_europe_sept_16_2024,140.0,48.0,0.1316471541521662,1864.0
flooding_in_central_and_eastern_europe_sept_16_2024,150.0,48.0,0.14972605232369007,2013.0
flooding_in_central_and_eastern_europe_sept_16_2024,160.0,48.0,0.15725196158955113,2057.0
flooding_in_central_and_eastern_europe_sept_16_2024,170.0,48.0,0.14548952276202942,2009.0
flooding_in_central_and_eastern_europe_sept_16_2024,180.0,48.0,0.11577235310829481,1989.0
flooding_in_central_and_eastern_europe_sept_16_2024,190.0,48.0,0.09462307513970036,2037.0
flooding_in_central_and_eastern_europe_sept_16_2024,200.0,48.0,0.08131826159911237,1962.0
flooding_in_central_and_eastern_europe_sept_16_2024,0.0,72.0,0.07122298487758894,87.0
flooding_in_central_and_eastern_europe_sept_16_2024,10.0,72.0,0.10367199208172195,271.0
flooding_in_central_and_eastern_europe_sept_16_2024,20.0,72.0,0.07195557424937049,405.0
flooding_in_central_and_eastern_europe_sept_16_2024,30.0,72.0,0.10514344896345884,541.0
flooding_in_central_and_eastern_europe_sept_16_2024,40.0,72.0,0.10169561774240377,690.0
flooding_in_central_and_eastern_europe_sept_16_2024,50.0,72.0,0.1325344555013741,905.0
flooding_in_central_and_eastern_europe_sept_16_2024,60.0,72.0,0.13786626211071096,1077.0
flooding_in_central_and_eastern_europe_sept_16_2024,70.0,72.0,0.1250048867057345,1170.0
flooding_in_central_and_eastern_europe_sept_16_2024,80.0,72.0,0.10202305878109041,1286.0
flooding_in_central_and_eastern_europe_sept_16_2024,90.0,72.0,0.11360391013278925,1414.0
flooding_in_central_and_eastern_europe_sept_16_2024,100.0,72.0,0.0860023153013707,1483.0
flooding_in_central_and_eastern_europe_sept_16_2024,110.0,72.0,0.1219664043278037,1639.0
flooding_in_central_and_eastern_europe_sept_16_2024,120.0,72.0,0.13096622000387503,1565.0
flooding_in_central_and_eastern_europe_sept_16_2024,130.0,72.0,0.11729401682136475,1713.0
flooding_in_central_and_eastern_europe_sept_16_2024,140.0,72.0,0.13155524743517488,1860.0
flooding_in_central_and_eastern_europe_sept_16_2024,150.0,72.0,0.15655731911932458,2015.0
flooding_in_central_and_eastern_europe_sept_16_2024,160.0,72.0,0.1560095793103271,2055.0
flooding_in_central_and_eastern_europe_sept_16_2024,170.0,72.0,0.14334026931494526,2010.0
flooding_in_central_and_eastern_europe_sept_16_2024,180.0,72.0,0.11607603272269795,1982.0
flooding_in_central_and_eastern_europe_sept_16_2024,190.0,72.0,0.097208131941388,2049.0
flooding_in_central_and_eastern_europe_sept_16_2024,200.0,72.0,0.08357945922875176,1972.0
flooding_in_central_and_eastern_europe_sept_16_2024,0.0,96.0,0.08822924347500849,88.0
flooding_in_central_and_eastern_europe_sept_16_2024,10.0,96.0,0.10374571134142929,273.0
flooding_in_central_and_eastern_europe_sept_16_2024,20.0,96.0,0.06325574964798175,404.0
flooding_in_central_and_eastern_europe_sept_16_2024,30.0,96.0,0.09774199520574256,535.0
flooding_in_central_and_eastern_europe_sept_16_2024,40.0,96.0,0.09707983233779838,692.0
flooding_in_central_and_eastern_europe_sept_16_2024,50.0,96.0,0.13872200580826877,896.0
flooding_in_central_and_eastern_europe_sept_16_2024,60.0,96.0,0.1452164727093399,1078.0
flooding_in_central_and_eastern_europe_sept_16_2024,70.0,96.0,0.12635192246793192,1156.0
flooding_in_central_and_eastern_europe_sept_16_2024,80.0,96.0,0.10434966871367513,1283.0
flooding_in_central_and_eastern_europe_sept_16_2024,90.0,96.0,0.11137048450724074,1420.0
flooding_in_central_and_eastern_europe_sept_16_2024,100.0,96.0,0.0827166890741926,1471.0
flooding_in_central_and_eastern_europe_sept_16_2024,110.0,96.0,0.12481093753448236,1634.0
flooding_in_central_and_eastern_europe_sept_16_2024,120.0,96.0,0.13291891447195248,1561.0
flooding_in_central_and_eastern_europe_sept_16_2024,130.0,96.0,0.11653876626860793,1715.0
flooding_in_central_and_eastern_europe_sept_16_2024,140.0,96.0,0.13129428191435233,1863.0
flooding_in_central_and_eastern_europe_sept_16_2024,150.0,96.0,0.1584845891660438,2013.0
flooding_in_central_and_eastern_europe_sept_16_2024,160.0,96.0,0.16271548302600758,2051.0
flooding_in_central_and_eastern_europe_sept_16_2024,170.0,96.0,0.14615309893872142,2006.0
flooding_in_central_and_eastern_europe_sept_16_2024,180.0,96.0,0.11953127495574578,1996.0
flooding_in_central_and_eastern_europe_sept_16_2024,190.0,96.0,0.09792785633291823,2067.0
flooding_in_central_and_eastern_europe_sept_16_2024,200.0,96.0,0.086088969863797,1959.0
flooding_in_central_and_eastern_europe_sept_16_2024,0.0,120.0,0.0873272920206698,88.0
flooding_in_central_and_eastern_europe_sept_16_2024,10.0,120.0,0.10378190965063383,273.0
flooding_in_central_and_eastern_europe_sept_16_2024,20.0,120.0,0.08269525971616432,404.0
flooding_in_central_and_eastern_europe_sept_16_2024,30.0,120.0,0.09797395490782179,547.0
flooding_in_central_and_eastern_europe_sept_16_2024,40.0,120.0,0.104765473904048,695.0
