excluded,n_excluded,n_remaining,beta,p,delta_beta
flooding_in_central_and_eastern_europe_sept_16_2024,483,2088,0.2226482320744653,0.010036899454771098,0.01494239895331781
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,97,2474,0.22378627959131306,0.007045948165706993,0.01608044647016557
hurricane_beryl_across_southeastern_texas_us,203,2368,0.1785428089274398,0.029118999906596558,-0.0291630241937077
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,1000,1571,-0.16393889650461776,0.2344420273983262,-0.3716447296257652
park_fire_california_29_july_2024,53,2518,0.2011691050013524,0.014018307360825325,-0.006536728119795082
spain_flood,175,2396,0.21972464801684974,0.00888538569335485,0.012018814895702251
the_flooding_across_bagmati_and_koshi_provinces_nepal,38,2533,0.21093248976195875,0.01107270124072199,0.0032266566408112596
the_flooding_across_rio_grande_do_sul_state_brazil,114,2457,0.21376472567487378,0.010116040228360513,0.006058892553726297
the_wildfires_in_quito_pichincha_province_ecuador,29,2542,0.20902935860239757,0.011104224637438357,0.0013235254812500874
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,55,2516,0.20670142131102665,0.01352971781515182,-0.0010044118101208421
tropical_storm_yagi_philippines_2_september_2024,29,2542,0.20760423635522096,0.012279050465102434,-0.000101596765926526
turkiye_earthquake_2023,257,2314,0.31260808651483124,0.0006844176526577238,0.10490225339368375
typhoon_krathon_across_taiwan,22,2549,0.20806515568057599,0.011958271545960743,0.0003593225594284988
typhoon_yagi_across_northeastern_vietnam,16,2555,0.21657050373453476,0.008981107527042901,0.008864670613387277
ALL_BERYL,1300,1271,-0.2848047059615696,0.0398505035619094,
