r_max_km,x,n,spearman_rho,spearman_p,pearson_r,pearson_p
100.0,n_r_bins_used,14,-0.17670426396912522,0.5456371880859106,-0.23442041334022876,0.4198515691029131
100.0,n_time_used,14,-0.6482010403990836,0.012170921833344622,-0.2584933120276345,0.37222002794582393
100.0,matrix_size,14,-0.5840836616288682,0.02829060947752093,-0.2716171457962755,0.3475390886159569
200.0,n_r_bins_used,14,-0.3331046329247581,0.2445137993907145,-0.32677025348403055,0.2541505357201271
200.0,n_time_used,14,-0.5816050430978077,0.029132760345694748,-0.14260822068485263,0.6267254172063923
200.0,matrix_size,14,-0.5480746631489511,0.042447929103770626,-0.17178323763083614,0.5570553501982285
300.0,n_r_bins_used,14,-0.4226256408972078,0.13220003727271415,-0.44119012714179684,0.11429771447272527
300.0,n_time_used,14,-0.6149030417484457,0.019270485444843416,-0.12899369959281928,0.6603027858273067
300.0,matrix_size,14,-0.5502846416293905,0.04145387301734757,-0.20339551149613802,0.48553563651305176
500.0,n_r_bins_used,14,-0.41453944828189315,0.14055531275459593,-0.4449525860744466,0.11088260299690256
500.0,n_time_used,14,-0.5571865107540068,0.038459275795339094,-0.06260331669543445,0.8316326392339517
500.0,matrix_size,14,-0.5903098020302112,0.026255367825796908,-0.18426276760837498,0.5282987731837187
