r_left_km,r_right_km,r_center_km,mean_delta_r_w,sum_w,n_od,window_start_pt,hours_since_quake
0.0,20.0,10.0,,0.0,0,2024-06-30 08:00:00,-8.0
10.0,30.0,20.0,,0.0,0,2024-06-30 08:00:00,-8.0
20.0,40.0,30.0,,0.0,0,2024-06-30 08:00:00,-8.0
30.0,50.0,40.0,0.3056583597595014,2458.0,32,2024-06-30 08:00:00,-8.0
40.0,60.0,50.0,0.15690365060074254,4152.0,55,2024-06-30 08:00:00,-8.0
50.0,70.0,60.0,-0.04320393379254493,2311.0,41,2024-06-30 08:00:00,-8.0
60.0,80.0,70.0,0.020831511541458618,26252.0,147,2024-06-30 08:00:00,-8.0
70.0,90.0,80.0,0.011455729807902486,40856.0,223,2024-06-30 08:00:00,-8.0
80.0,100.0,90.0,-0.005280476681396342,26677.0,171,2024-06-30 08:00:00,-8.0
90.0,110.0,100.0,-0.013704242901400744,20391.0,164,2024-06-30 08:00:00,-8.0
100.0,120.0,110.0,0.009061868091712394,20427.0,180,2024-06-30 08:00:00,-8.0
110.0,130.0,120.0,0.010522634135856575,21318.0,156,2024-06-30 08:00:00,-8.0
120.0,140.0,130.0,-0.01232613006172208,15623.0,125,2024-06-30 08:00:00,-8.0
130.0,150.0,140.0,-0.006872448578745682,6685.0,84,2024-06-30 08:00:00,-8.0
140.0,160.0,150.0,-0.027860492783238707,1133.0,28,2024-06-30 08:00:00,-8.0
150.0,170.0,160.0,0.0,276.0,8,2024-06-30 08:00:00,-8.0
160.0,180.0,170.0,0.0,117.0,4,2024-06-30 08:00:00,-8.0
170.0,190.0,180.0,0.0,401.0,7,2024-06-30 08:00:00,-8.0
180.0,200.0,190.0,0.0,315.0,5,2024-06-30 08:00:00,-8.0
190.0,210.0,200.0,0.012197516257257627,4246.0,31,2024-06-30 08:00:00,-8.0
200.0,220.0,210.0,0.009168110112996262,5649.0,47,2024-06-30 08:00:00,-8.0
210.0,230.0,220.0,0.0,1945.0,24,2024-06-30 08:00:00,-8.0
220.0,240.0,230.0,0.0,542.0,8,2024-06-30 08:00:00,-8.0
230.0,250.0,240.0,,0.0,0,2024-06-30 08:00:00,-8.0
240.0,260.0,250.0,,0.0,0,2024-06-30 08:00:00,-8.0
250.0,270.0,260.0,0.15381570924140456,8450.0,48,2024-06-30 08:00:00,-8.0
260.0,280.0,270.0,0.09451686723774527,13193.0,124,2024-06-30 08:00:00,-8.0
270.0,290.0,280.0,-0.015080024857831541,5699.0,99,2024-06-30 08:00:00,-8.0
280.0,300.0,290.0,-0.10712602579169005,3301.0,51,2024-06-30 08:00:00,-8.0
290.0,310.0,300.0,-0.3782025200912978,5287.0,56,2024-06-30 08:00:00,-8.0
300.0,320.0,310.0,-0.6880237834483062,3257.0,30,2024-06-30 08:00:00,-8.0
310.0,330.0,320.0,-1.7834933398867432,315.0,2,2024-06-30 08:00:00,-8.0
320.0,340.0,330.0,,0.0,0,2024-06-30 08:00:00,-8.0
330.0,350.0,340.0,,0.0,0,2024-06-30 08:00:00,-8.0
340.0,360.0,350.0,,0.0,0,2024-06-30 08:00:00,-8.0
350.0,370.0,360.0,,0.0,0,2024-06-30 08:00:00,-8.0
360.0,380.0,370.0,,0.0,0,2024-06-30 08:00:00,-8.0
