window_start_pt,hours_since_quake,n_od,total_flow_crisis,total_flow_baseline,f_long_crisis,f_long_baseline
2024-06-30 08:00:00,-8.0,975,120638.0,116033.48508543843,0.0,0.0
2024-07-01 08:00:00,16.0,956,131055.0,115003.44261229155,0.0,0.0
2024-07-02 08:00:00,40.0,1244,108192.0,114602.0171100051,0.00012015675835551613,0.0
2024-07-03 08:00:00,64.0,1241,110504.0,112479.16059520206,0.0,0.0
2024-07-04 08:00:00,88.0,1296,107071.0,113039.23973970776,0.0,0.0
2024-07-05 08:00:00,112.0,1323,105244.0,110690.34112035789,0.0,0.0
2024-07-06 08:00:00,136.0,1086,107225.0,112139.19009664468,0.00021450221496852414,0.0
2024-07-07 08:00:00,160.0,930,113378.0,116033.48508543844,0.0,0.0
2024-07-08 08:00:00,184.0,1278,112083.0,115003.44261229155,0.00010706351543052916,0.0
2024-07-09 08:00:00,208.0,1265,111176.0,114602.01711000508,0.0,0.0
2024-07-10 08:00:00,232.0,1309,110576.0,112479.16059520206,0.0,0.0
2024-07-11 08:00:00,256.0,1302,110219.0,113039.23973970776,9.980130467523749e-05,0.0
2024-07-12 08:00:00,280.0,1315,112498.0,110690.34112035787,9.777951608028587e-05,0.0
2024-07-13 08:00:00,304.0,1123,110282.0,112139.1900966447,0.0,0.0
2024-07-14 08:00:00,328.0,945,111425.0,116033.48508543844,0.0,0.0
2024-07-15 08:00:00,352.0,1256,111492.0,115003.44261229155,0.0,0.0
2024-07-16 08:00:00,376.0,1282,111694.0,114602.0171100051,0.0,0.0
2024-07-17 08:00:00,400.0,1272,112201.0,112479.16059520206,0.0,0.0
2024-07-18 08:00:00,424.0,1289,111873.0,113039.23973970776,0.0,0.0
2024-07-19 08:00:00,448.0,1306,109059.0,110690.34112035789,0.0,0.0
2024-07-20 08:00:00,472.0,1112,108268.0,112139.19009664468,0.0,0.0
2024-07-21 08:00:00,496.0,919,110367.0,116033.48508543844,0.0,0.0
2024-07-22 08:00:00,520.0,1259,111362.0,115003.44261229155,0.0,0.0
2024-07-23 08:00:00,544.0,1301,113379.0,114602.01711000511,0.0,0.0
2024-07-24 08:00:00,568.0,1315,111902.0,112479.16059520206,0.0,0.0
2024-07-25 08:00:00,592.0,1293,112845.0,113039.23973970776,0.0,0.0
2024-07-26 08:00:00,616.0,1313,107486.0,110690.34112035787,0.00020467781850659622,0.0
2024-07-27 08:00:00,640.0,1110,105916.0,112139.19009664468,0.0,0.0
2024-07-28 08:00:00,664.0,900,107806.0,116033.48508543841,0.0,0.0
2024-07-29 08:00:00,688.0,1263,111992.0,115003.44261229155,0.00010715051075076791,0.0
2024-07-30 08:00:00,712.0,1306,110367.0,114602.0171100051,0.0,0.0
2024-07-31 08:00:00,736.0,1292,107542.0,112479.16059520206,0.0,0.0
