window_start_pt,hours_since_quake,band,n_edges,baseline_sum,crisis_sum,phi_aggregate
2024-06-30 08:00:00,-8.0,100-200km,315,36521.47572372158,37310.0,1.0215907013791956
2024-06-30 08:00:00,-8.0,200km+,229,24191.651606232845,25570.0,1.0569762005588752
2024-06-30 08:00:00,-8.0,25-50km,19,2054.6666666666665,2278.0,1.108695652173913
2024-06-30 08:00:00,-8.0,50-100km,282,52697.52442215067,53924.0,1.0232738746515728
2024-07-01 08:00:00,16.0,100-200km,303,33902.88097076617,39144.0,1.1545921431796062
2024-07-01 08:00:00,16.0,200km+,188,21332.01141140157,24400.0,1.1438208769642157
2024-07-01 08:00:00,16.0,25-50km,15,1667.1666666666665,2910.0,1.7454763570928722
2024-07-01 08:00:00,16.0,50-100km,377,52377.88634306227,63715.0,1.2164484756540654
2024-07-02 08:00:00,40.0,100-200km,306,33104.72614869009,32350.0,0.9772018609880585
2024-07-02 08:00:00,40.0,200km+,243,21259.26845963819,18859.0,0.8870954349066514
2024-07-02 08:00:00,40.0,25-50km,21,1779.5,1716.0,0.9643158190502951
2024-07-02 08:00:00,40.0,50-100km,467,53385.49924383418,52855.0,0.9900628588034521
2024-07-03 08:00:00,64.0,100-200km,320,33261.53203726852,32336.0,0.972174100813171
2024-07-03 08:00:00,64.0,200km+,254,21406.14346334743,21844.0,1.0204547137321716
2024-07-03 08:00:00,64.0,25-50km,21,1766.1832044685234,1763.0,0.9981976929344194
2024-07-03 08:00:00,64.0,50-100km,456,52427.29345668876,52289.0,0.9973621858469003
2024-07-04 08:00:00,88.0,100-200km,315,33659.93045232627,31732.0,0.9427232787941477
2024-07-04 08:00:00,88.0,200km+,275,22391.296090622356,19870.0,0.8873983854968407
2024-07-04 08:00:00,88.0,25-50km,21,1775.1216036033172,1687.0,0.9503574271055913
2024-07-04 08:00:00,88.0,50-100km,474,52917.25582412264,51317.0,0.9697592817465572
2024-07-05 08:00:00,112.0,100-200km,327,33075.68461370926,31054.0,0.9388770138148159
2024-07-05 08:00:00,112.0,200km+,281,21742.151846085184,20097.0,0.9243335315781357
2024-07-05 08:00:00,112.0,25-50km,24,1816.7044376067745,1754.0,0.9654845134361109
2024-07-05 08:00:00,112.0,50-100km,469,51903.09660754921,49747.0,0.958459191291573
2024-07-06 08:00:00,136.0,100-200km,312,34358.3072548973,33274.0,0.9684411910385152
2024-07-06 08:00:00,136.0,200km+,250,22129.155034453157,20593.0,0.9305823004962684
2024-07-06 08:00:00,136.0,25-50km,17,2028.3823115589944,1935.0,0.9539621741784853
2024-07-06 08:00:00,136.0,50-100km,371,51579.98760938154,49874.0,0.9669253970687025
2024-07-07 08:00:00,160.0,100-200km,295,36032.3951218668,34943.0,0.9697662306881819
2024-07-07 08:00:00,160.0,200km+,219,23917.151606232845,23129.0,0.9670465940422667
2024-07-07 08:00:00,160.0,25-50km,18,2042.1666666666665,2115.0,1.035664735166898
2024-07-07 08:00:00,160.0,50-100km,286,52758.691088817344,51875.0,0.9832503219738776
