window_start_pt,hours_since_quake,distance_band,n_tiles,baseline_sum,crisis_sum,net_change,phi_aggregate
2024-06-30,0.0,100-200km,553,104058.477499751,102718.6233404887,-1339.8541592622933,0.9871240268793525
2024-06-30,0.0,200km+,208,31050.023339174782,30627.40913893133,-422.6142002434535,0.9863892469378516
2024-06-30,0.0,50-100km,228,37835.440740856866,37766.505983073694,-68.93475778317224,0.9981780374053174
2024-07-01,24.0,100-200km,548,109931.69889816322,118732.69928106568,8801.000382902464,1.080058804431426
2024-07-01,24.0,200km+,206,31774.548094561622,31797.630783966197,23.08268940457492,1.0007264521697015
2024-07-01,24.0,50-100km,225,37875.3750632875,42878.931981795475,5003.556918507973,1.1321058051609345
2024-07-02,48.0,100-200km,552,110869.96145602794,103030.05551826202,-7839.905937765929,0.9292873756353266
2024-07-02,48.0,200km+,206,31593.811867001805,30366.010271056173,-1227.8015959456316,0.9611379088691728
2024-07-02,48.0,50-100km,222,38051.10387294415,34596.49979491123,-3454.6040780329204,0.9092114623121543
2024-07-03,72.0,100-200km,554,110194.197978117,101597.02069884853,-8597.177279268464,0.9219815794568809
2024-07-03,72.0,200km+,207,31564.006626987913,31380.77480510641,-183.23182188150167,0.9941949124505368
2024-07-03,72.0,50-100km,222,37801.18344265518,35072.17427223628,-2729.0091704188962,0.9278062504429568
2024-07-04,96.0,100-200km,554,110280.10172619666,103096.37063697683,-7183.731089219829,0.9348592268525868
2024-07-04,96.0,200km+,207,31698.721806119574,29355.610733500227,-2343.1110726193474,0.9260818437112187
2024-07-04,96.0,50-100km,223,37832.28694951905,35624.246594428325,-2208.0403550907286,0.9416360856525275
2024-07-05,120.0,100-200km,554,109849.02933966607,103229.0134129649,-6620.015926701177,0.9397353261426524
2024-07-05,120.0,200km+,206,31537.331905133702,28831.319957919808,-2706.011947213894,0.9141965479085628
2024-07-05,120.0,50-100km,221,37622.81423162603,35856.64795219957,-1766.1662794264557,0.9530559763936585
2024-07-06,144.0,100-200km,553,106714.51382172664,101047.65459405718,-5666.859227669454,0.9468970149914537
2024-07-06,144.0,200km+,207,31041.95251661915,28557.91686315484,-2484.0356534643106,0.9199781118106403
2024-07-06,144.0,50-100km,225,38026.30869304621,36057.16637323401,-1969.1423198121993,0.9482163168739991
2024-07-07,168.0,100-200km,553,104058.477499751,99112.38425677006,-4946.093242980933,0.9524681375143821
2024-07-07,168.0,200km+,208,31050.023339174782,28353.075100392653,-2696.94823878213,0.9131418289344897
2024-07-07,168.0,50-100km,228,37835.440740856866,36288.787461642816,-1546.6532792140497,0.9591215736111702
2024-07-08,192.0,100-200km,548,109931.69889816322,104361.05214366954,-5570.646754493675,0.9493262925040927
2024-07-08,192.0,200km+,206,31774.548094561622,29464.382938544237,-2310.165156017385,0.9272951058456507
2024-07-08,192.0,50-100km,225,37875.3750632875,36820.556459607906,-1054.818603679596,0.9721502796495861
2024-07-09,216.0,100-200km,552,110869.96145602794,105528.44736155515,-5341.51409447279,0.9518218097641237
2024-07-09,216.0,200km+,206,31593.811867001805,29497.14305016159,-2096.6688168402143,0.9336367252654916
2024-07-09,216.0,50-100km,222,38051.10387294415,36694.340748946655,-1356.7631239974944,0.9643436592923075
2024-07-10,240.0,100-200km,554,110194.197978117,105232.8252164782,-4961.372761638791,0.9549760980825501
2024-07-10,240.0,200km+,207,31564.006626987913,29468.919737715856,-2095.0868892720573,0.9336241778798541
2024-07-10,240.0,50-100km,222,37801.18344265518,36338.86312886852,-1462.3203137866585,0.9613154885479971
2024-07-11,264.0,100-200km,554,110280.10172619666,104475.65759476557,-5804.444131431097,0.9473663513129289
2024-07-11,264.0,200km+,207,31698.721806119574,29326.96758801645,-2371.754218103124,0.9251782380182519
2024-07-11,264.0,50-100km,223,37832.28694951905,36297.76784552826,-1534.519103990795,0.9594389018554876
2024-07-12,288.0,100-200km,554,109849.02933966607,106202.71693872788,-3646.3124009381863,0.9668061481939603
2024-07-12,288.0,200km+,206,31537.331905133702,29555.288487697442,-1982.04341743626,0.937152469860216
2024-07-12,288.0,50-100km,221,37622.81423162603,37193.35235832102,-429.46187330500834,0.9885850678085639
2024-07-13,312.0,100-200km,553,106714.51382172664,102128.05237414342,-4586.46144758322,0.9570212028024118
2024-07-13,312.0,200km+,207,31041.95251661915,28968.471054468693,-2073.4814621504556,0.9332038968540926
2024-07-13,312.0,50-100km,225,38026.30869304621,37227.949572650556,-798.359120395653,0.9790050849573615
2024-07-14,336.0,100-200km,553,104058.477499751,99463.26698764604,-4595.2105121049535,0.9558401139194455
2024-07-14,336.0,200km+,208,31050.023339174782,29297.49049767216,-1752.5328415026233,0.9435577608957378
2024-07-14,336.0,50-100km,228,37835.440740856866,36772.24324194291,-1063.1974989139562,0.9718994287341325
2024-07-15,360.0,100-200km,548,109931.69889816322,103958.79402311098,-5972.904875052234,0.9456671284541385
2024-07-15,360.0,200km+,206,31774.548094561622,29701.650391796666,-2072.897702764956,0.9347623230833693
2024-07-15,360.0,50-100km,225,37875.375063287494,36275.833433878644,-1599.54162940885,0.9577682959776342
2024-07-16,384.0,100-200km,552,110869.96145602794,104196.07708100202,-6673.884375025926,0.939804395280927
2024-07-16,384.0,200km+,206,31593.811867001805,30108.60674292348,-1485.2051240783258,0.9529906321424434
2024-07-16,384.0,50-100km,222,38051.10387294415,36828.44068265041,-1222.663190293737,0.9678678654270764
2024-07-17,408.0,100-200km,554,110194.197978117,105568.86620401594,-4625.331774101054,0.958025632392918
2024-07-17,408.0,200km+,207,31564.006626987913,29836.085280543102,-1727.9213464448112,0.945256590303482
2024-07-17,408.0,50-100km,222,37801.18344265518,36340.546705681205,-1460.6367369739746,0.9613600262227299
2024-07-18,432.0,100-200km,554,110280.10172619666,104887.66624006981,-5392.435486126851,0.9511023711284273
2024-07-18,432.0,200km+,207,31698.721806119574,29824.287562363734,-1874.4342437558407,0.9408671978882766
2024-07-18,432.0,50-100km,223,37832.28694951905,36552.20316082947,-1280.0837886895824,0.9661642503822822
2024-07-19,456.0,100-200km,554,109849.02933966607,104322.56183926715,-5526.467500398925,0.9496903383341655
2024-07-19,456.0,200km+,206,31537.331905133702,29536.69986766623,-2000.6320374674724,0.9365630534794287
2024-07-19,456.0,50-100km,221,37622.81423162603,36387.198816225435,-1235.6154154005926,0.9671578152608816
2024-07-20,480.0,100-200km,553,106714.51382172664,101251.83129630436,-5462.682525422279,0.9488103133323735
2024-07-20,480.0,200km+,207,31041.95251661915,28568.014894459622,-2473.9376221595267,0.9203034145215242
2024-07-20,480.0,50-100km,225,38026.30869304621,36555.280739279486,-1471.027953766723,0.9613155206401686
2024-07-21,504.0,100-200km,553,104058.477499751,97723.45657697949,-6335.0209227715095,0.9391205687899223
2024-07-21,504.0,200km+,208,31050.023339174782,28438.869241144108,-2611.1540980306745,0.9159049231780684
2024-07-21,504.0,50-100km,228,37835.440740856866,35974.43247107609,-1861.0082697807738,0.9508130939315014
2024-07-22,528.0,100-200km,548,109931.69889816322,103808.78146826585,-6122.917429897367,0.9443025306506959
2024-07-22,528.0,200km+,206,31774.548094561622,28813.982170617808,-2960.5659239438137,0.9068258684550566
2024-07-22,528.0,50-100km,225,37875.3750632875,36246.0584548534,-1629.3166084340992,0.9569821657023433
2024-07-23,552.0,100-200km,552,110869.96145602794,105863.0400871283,-5006.921368899639,0.9548396941502912
2024-07-23,552.0,200km+,206,31593.811867001805,29753.264999136423,-1840.5468678653815,0.9417434377461827
2024-07-23,552.0,50-100km,222,38051.10387294415,36951.97161314771,-1099.132259796439,0.9711143134384081
2024-07-24,576.0,100-200km,554,110194.197978117,105983.39789770711,-4210.800080409885,0.961787461067178
2024-07-24,576.0,200km+,207,31564.006626987913,29681.43767793333,-1882.5689490545847,0.9403570981560704
2024-07-24,576.0,50-100km,222,37801.18344265518,37080.82117202056,-720.3622706346214,0.9809433936975169
2024-07-25,600.0,100-200km,554,110280.10172619666,105424.21273683726,-4855.888989359402,0.9559676776376612
2024-07-25,600.0,200km+,207,31698.721806119574,29640.98006440423,-2057.7417417153447,0.9350843938029675
2024-07-25,600.0,50-100km,223,37832.28694951905,36562.23440040244,-1270.0525491166118,0.9664294006119353
2024-07-26,624.0,100-200km,554,109849.02933966607,103485.34069235486,-6363.68864731121,0.9420687767059467
2024-07-26,624.0,200km+,206,31537.331905133702,29171.963785445263,-2365.368119688439,0.9249978366336247
2024-07-26,624.0,50-100km,221,37622.81423162603,36528.9641710122,-1093.850060613826,0.9709258841223438
