window_start_pt,hours_since_quake,center_lat,center_lon,center_mode,center_used_for_distance,center_extrapolated,center_extrapolation_side,center_track_time_min_pt,center_track_time_max_pt,distance_mode,center_track_csv,center_track_to_tz,center_track_storm_name,path_track_points_used,path_track_length_km,path_distance_method,path_track_clip_ok,path_track_clip_kind,path_track_clip_start_pt,path_track_clip_end_pt,path_track_clip_pad_hours,path_track_clip_spatial_radius_km,path_track_points_total,path_track_length_total_km,path_track_keep_time_points,path_track_keep_spatial_points,path_track_keep_both_points,path_track_length_ratio_to_rmax,path_track_length_total_ratio_to_rmax,path_track_anchor_ok,path_track_anchor_pt,path_track_anchor_method,path_track_anchor_status
2024-08-07 00:00:00,44.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-07 08:00:00,52.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-07 16:00:00,60.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-08 00:00:00,68.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-08 08:00:00,76.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-08 16:00:00,84.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-09 00:00:00,92.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-09 08:00:00,100.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-09 16:00:00,108.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-10 00:00:00,116.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-10 08:00:00,124.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-10 16:00:00,132.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-11 00:00:00,140.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-11 08:00:00,148.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-11 16:00:00,156.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-12 00:00:00,164.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-12 08:00:00,172.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-12 16:00:00,180.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-13 00:00:00,188.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-13 08:00:00,196.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-13 16:00:00,204.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-14 00:00:00,212.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-14 08:00:00,220.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-08-14 16:00:00,228.0,29.7,-83.5,static,1,0,,,,radial,,America/Los_Angeles,Debby,0,,,0,,,,,,0,,0,0,0,,,0,,,
