r_left_km,r_right_km,r_center_km,mean_delta_r_w,sum_w,n_od,window_start_pt,hours_since_quake
0.0,20.0,10.0,0.01889720367415357,7758.0,149,2024-09-16 08:00:00,-8.0
10.0,30.0,20.0,0.14705979312906678,66565.0,867,2024-09-16 08:00:00,-8.0
20.0,40.0,30.0,-0.015560787343343969,95782.0,1262,2024-09-16 08:00:00,-8.0
30.0,50.0,40.0,-0.2526857666042076,45458.0,754,2024-09-16 08:00:00,-8.0
40.0,60.0,50.0,0.007146136564774934,20333.0,479,2024-09-16 08:00:00,-8.0
50.0,70.0,60.0,0.028531180697066137,14466.0,379,2024-09-16 08:00:00,-8.0
60.0,80.0,70.0,0.06946670124064935,15113.0,386,2024-09-16 08:00:00,-8.0
70.0,90.0,80.0,0.03721670523711484,23057.0,476,2024-09-16 08:00:00,-8.0
80.0,100.0,90.0,-0.017451023593578786,17945.0,403,2024-09-16 08:00:00,-8.0
90.0,110.0,100.0,-0.0031638028334203495,10347.0,296,2024-09-16 08:00:00,-8.0
100.0,120.0,110.0,0.011794044398828857,11911.0,284,2024-09-16 08:00:00,-8.0
110.0,130.0,120.0,-5.7662194077481426e-05,9142.0,244,2024-09-16 08:00:00,-8.0
120.0,140.0,130.0,-0.006065696100659489,5123.0,186,2024-09-16 08:00:00,-8.0
130.0,150.0,140.0,-0.07340505277503175,7762.0,209,2024-09-16 08:00:00,-8.0
140.0,160.0,150.0,-0.07418938334842912,8202.0,201,2024-09-16 08:00:00,-8.0
150.0,170.0,160.0,-0.003061445482373684,4542.0,127,2024-09-16 08:00:00,-8.0
160.0,180.0,170.0,-0.004788992704981186,3097.0,89,2024-09-16 08:00:00,-8.0
170.0,190.0,180.0,-0.00747645490622918,2255.0,66,2024-09-16 08:00:00,-8.0
180.0,200.0,190.0,-0.030614286934391326,892.0,29,2024-09-16 08:00:00,-8.0
190.0,210.0,200.0,-0.11818986621133987,201.0,4,2024-09-16 08:00:00,-8.0
200.0,220.0,210.0,,0.0,0,2024-09-16 08:00:00,-8.0
210.0,230.0,220.0,,0.0,0,2024-09-16 08:00:00,-8.0
220.0,240.0,230.0,,0.0,0,2024-09-16 08:00:00,-8.0
230.0,250.0,240.0,,0.0,0,2024-09-16 08:00:00,-8.0
240.0,260.0,250.0,,0.0,0,2024-09-16 08:00:00,-8.0
250.0,270.0,260.0,,0.0,0,2024-09-16 08:00:00,-8.0
260.0,280.0,270.0,,0.0,0,2024-09-16 08:00:00,-8.0
