window_start_pt,hours_since_quake,flow_type,tile_count
2024-09-16 08:00:00,-8.0,inflow,412
2024-09-16 08:00:00,-8.0,outflow,1121
2024-09-16 08:00:00,-8.0,stable,2312
2024-09-16 08:00:00,-8.0,unknown,438
2024-09-17 08:00:00,16.0,inflow,306
2024-09-17 08:00:00,16.0,outflow,1218
2024-09-17 08:00:00,16.0,stable,2290
2024-09-17 08:00:00,16.0,unknown,423
2024-09-18 08:00:00,40.0,inflow,305
2024-09-18 08:00:00,40.0,outflow,1146
2024-09-18 08:00:00,40.0,stable,2365
2024-09-18 08:00:00,40.0,unknown,446
2024-09-19 08:00:00,64.0,inflow,356
2024-09-19 08:00:00,64.0,outflow,1281
2024-09-19 08:00:00,64.0,stable,2178
2024-09-19 08:00:00,64.0,unknown,456
2024-09-20 08:00:00,88.0,inflow,765
2024-09-20 08:00:00,88.0,outflow,680
2024-09-20 08:00:00,88.0,stable,2497
2024-09-20 08:00:00,88.0,unknown,483
2024-09-21 08:00:00,112.0,inflow,967
2024-09-21 08:00:00,112.0,outflow,731
2024-09-21 08:00:00,112.0,stable,2319
2024-09-21 08:00:00,112.0,unknown,490
2024-09-22 08:00:00,136.0,inflow,531
2024-09-22 08:00:00,136.0,outflow,1079
2024-09-22 08:00:00,136.0,stable,2286
2024-09-22 08:00:00,136.0,unknown,495
2024-09-23 08:00:00,160.0,inflow,496
2024-09-23 08:00:00,160.0,outflow,1053
2024-09-23 08:00:00,160.0,stable,2325
2024-09-23 08:00:00,160.0,unknown,478
2024-09-24 08:00:00,184.0,inflow,522
2024-09-24 08:00:00,184.0,outflow,950
2024-09-24 08:00:00,184.0,stable,2387
2024-09-24 08:00:00,184.0,unknown,463
2024-09-25 08:00:00,208.0,inflow,606
2024-09-25 08:00:00,208.0,outflow,851
2024-09-25 08:00:00,208.0,stable,2400
2024-09-25 08:00:00,208.0,unknown,482
2024-09-26 08:00:00,232.0,inflow,670
2024-09-26 08:00:00,232.0,outflow,797
2024-09-26 08:00:00,232.0,stable,2392
2024-09-26 08:00:00,232.0,unknown,485
2024-09-27 08:00:00,256.0,inflow,972
2024-09-27 08:00:00,256.0,outflow,540
2024-09-27 08:00:00,256.0,stable,2432
2024-09-27 08:00:00,256.0,unknown,515
2024-09-28 08:00:00,280.0,inflow,1029
2024-09-28 08:00:00,280.0,outflow,560
2024-09-28 08:00:00,280.0,stable,2473
2024-09-28 08:00:00,280.0,unknown,492
2024-09-29 08:00:00,304.0,inflow,829
2024-09-29 08:00:00,304.0,outflow,721
2024-09-29 08:00:00,304.0,stable,2366
2024-09-29 08:00:00,304.0,unknown,475
2024-09-30 08:00:00,328.0,inflow,800
2024-09-30 08:00:00,328.0,outflow,734
2024-09-30 08:00:00,328.0,stable,2346
2024-09-30 08:00:00,328.0,unknown,440
2024-10-01 08:00:00,352.0,inflow,783
2024-10-01 08:00:00,352.0,outflow,740
2024-10-01 08:00:00,352.0,stable,2321
2024-10-01 08:00:00,352.0,unknown,449
2024-10-02 08:00:00,376.0,inflow,722
2024-10-02 08:00:00,376.0,outflow,867
2024-10-02 08:00:00,376.0,stable,2256
2024-10-02 08:00:00,376.0,unknown,463
2024-10-03 08:00:00,400.0,inflow,779
2024-10-03 08:00:00,400.0,outflow,812
2024-10-03 08:00:00,400.0,stable,2267
2024-10-03 08:00:00,400.0,unknown,480
2024-10-04 08:00:00,424.0,inflow,1167
2024-10-04 08:00:00,424.0,outflow,557
2024-10-04 08:00:00,424.0,stable,2248
2024-10-04 08:00:00,424.0,unknown,465
2024-10-05 08:00:00,448.0,inflow,1276
2024-10-05 08:00:00,448.0,outflow,524
2024-10-05 08:00:00,448.0,stable,2224
2024-10-05 08:00:00,448.0,unknown,517
2024-10-06 08:00:00,472.0,inflow,804
2024-10-06 08:00:00,472.0,outflow,796
2024-10-06 08:00:00,472.0,stable,2294
2024-10-06 08:00:00,472.0,unknown,494
2024-10-07 08:00:00,496.0,inflow,759
2024-10-07 08:00:00,496.0,outflow,872
2024-10-07 08:00:00,496.0,stable,2221
2024-10-07 08:00:00,496.0,unknown,470
2024-10-08 08:00:00,520.0,inflow,718
2024-10-08 08:00:00,520.0,outflow,841
2024-10-08 08:00:00,520.0,stable,2295
2024-10-08 08:00:00,520.0,unknown,450
2024-10-09 08:00:00,544.0,inflow,741
2024-10-09 08:00:00,544.0,outflow,840
2024-10-09 08:00:00,544.0,stable,2270
2024-10-09 08:00:00,544.0,unknown,471
2024-10-10 08:00:00,568.0,inflow,768
2024-10-10 08:00:00,568.0,outflow,780
2024-10-10 08:00:00,568.0,stable,2303
2024-10-10 08:00:00,568.0,unknown,484
2024-10-11 08:00:00,592.0,inflow,1062
2024-10-11 08:00:00,592.0,outflow,551
2024-10-11 08:00:00,592.0,stable,2327
2024-10-11 08:00:00,592.0,unknown,488
2024-10-12 08:00:00,616.0,inflow,1130
2024-10-12 08:00:00,616.0,outflow,632
2024-10-12 08:00:00,616.0,stable,2261
2024-10-12 08:00:00,616.0,unknown,473
2024-10-13 08:00:00,640.0,inflow,786
2024-10-13 08:00:00,640.0,outflow,868
2024-10-13 08:00:00,640.0,stable,2264
2024-10-13 08:00:00,640.0,unknown,474
