window_start_pt,hours_since_quake,only_hour_pt,outflow_phi_threshold,inflow_phi_threshold,outflow_tile_count,inflow_tile_count,stable_tile_count,unknown_tile_count,net_population_change,outflow_centroid_lat,outflow_centroid_lon,inflow_centroid_lat,inflow_centroid_lon,outflow_avg_distance,inflow_avg_distance
2024-09-16,0.0,0,1.1,1.1,3312,529,0,538,8105.867585734895,47.19017190875902,28.52716731823636,47.11606389528355,28.649724421558954,78.58565623308643,80.03879846596989
2024-09-17,24.0,0,1.1,1.1,3436,267,0,589,-3743.65519028776,47.18663954094621,28.542631936809443,47.0330991613545,28.684951311407335,78.25097237559514,83.48656392587128
2024-09-18,48.0,0,1.1,1.1,3458,201,0,655,-9959.163574523798,47.1790902196921,28.549258341766844,47.096946171278454,28.666140959720043,78.33038365510566,81.92154057302926
2024-09-19,72.0,0,1.1,1.1,3405,325,0,576,-2813.3711036443615,47.17116538560675,28.553476492664537,47.199875038933264,28.592533595510776,78.36522395765475,78.69629828189962
2024-09-20,96.0,0,1.1,1.1,3406,328,0,667,749.7189952366147,47.19203578287454,28.515093969798723,47.102280724964565,28.7199784877535,78.78487901801698,75.33899338766138
2024-09-21,120.0,0,1.1,1.1,3155,913,0,684,10367.239966506162,47.16478918835635,28.55174818141368,47.29205669173119,28.474003008635357,77.34523706899806,80.53099526896355
2024-09-22,144.0,0,1.1,1.1,3517,675,0,605,3565.8718407162996,47.188952276144754,28.51402965457043,47.20717958618271,28.609986191422504,78.10571779887351,80.88837365899614
2024-09-23,168.0,0,1.1,1.1,3470,316,0,693,413.83781436001914,47.20028126802685,28.50276553700325,47.08790117761519,28.72539205477566,78.40298496633228,80.42286770037073
2024-09-24,192.0,0,1.1,1.1,3414,320,0,662,2348.3735256168848,47.19732607798207,28.50730717045303,47.093579835463736,28.722400280042198,78.357909880954,78.96408923872265
2024-09-25,216.0,0,1.1,1.1,3414,302,0,678,-212.24742021781515,47.19342276182642,28.51681015831804,47.085976663363766,28.729577662473016,77.72715705042746,84.1528819709419
2024-09-26,240.0,0,1.1,1.1,3330,385,0,692,2896.989516071599,47.21217764157632,28.492367706565787,47.06744055557271,28.735353550448462,78.14911942964764,82.02061706699776
2024-09-27,264.0,0,1.1,1.1,3051,816,0,626,18308.78811167852,47.19832414667034,28.477052648617875,47.15125392313612,28.6490420745304,78.29451494085686,80.45987267807027
2024-09-28,288.0,0,1.1,1.1,3562,450,0,711,-646.0539147932947,47.200520062755025,28.51486437211752,47.078049079205755,28.72273631316201,78.04060482396822,78.81763202665593
2024-09-29,312.0,0,1.1,1.1,3339,862,0,579,15345.872278946284,47.20458436032095,28.477680559726313,47.17235482585837,28.61329525669483,77.52719935232469,83.00680118112332
2024-09-30,336.0,0,1.1,1.1,3178,671,0,591,15366.56340892216,47.22725767341038,28.467921699762595,47.11471922476168,28.651541355990073,76.29065476334439,92.67902491132965
2024-10-01,360.0,0,1.1,1.1,2868,954,0,554,22937.10300545732,47.181600642459486,28.512831389761963,47.16589729134747,28.597669129339334,75.36672715567964,89.74092608773543
2024-10-02,384.0,0,1.1,1.1,3270,461,0,627,10003.610455479393,47.23380039383797,28.45047968302294,47.085832764453166,28.71562689031586,78.05635327681445,81.59659179868673
2024-10-03,408.0,0,1.1,1.1,3270,427,0,677,9198.096129471189,47.20543772026127,28.484416930295613,47.11011458318584,28.694366458813203,78.07211100841893,80.21322477939863
2024-10-04,432.0,0,1.1,1.1,3216,534,0,674,12588.521829998861,47.23246446778987,28.42917018156895,47.09853075323613,28.720199454169023,78.61379593132193,75.1120855874294
2024-10-05,456.0,0,1.1,1.1,3140,901,0,632,17909.94598301345,47.17260881823088,28.47148705674195,47.20124149639032,28.61828696349994,76.47339537884213,85.45375861407378
2024-10-06,480.0,0,1.1,1.1,3149,1038,0,535,26315.536741901335,47.27460570041909,28.371548546824773,47.10155506372094,28.69966509593671,80.12422442381963,74.9155368501409
2024-10-07,504.0,0,1.1,1.1,3155,685,0,585,18717.152808019673,47.26671372150855,28.384976086024352,47.07534891685983,28.732652022225107,78.62098014657417,78.37108693889279
2024-10-08,528.0,0,1.1,1.1,3267,413,0,656,9622.387972143413,47.22905093089416,28.455657295892742,47.07342934464463,28.7355328086127,78.36995101963572,77.28713134964667
2024-10-09,552.0,0,1.1,1.1,3277,463,0,671,10310.620648774056,47.24147634198911,28.43889435908882,47.067009962410836,28.743311790764956,78.69602081064119,74.46968859427174
2024-10-10,576.0,0,1.1,1.1,3260,423,0,689,9635.994013292027,47.20117349935961,28.460939892728614,47.12555335675095,28.709545387641786,78.45102583146829,77.06934639970987
2024-10-11,600.0,0,1.1,1.1,3361,390,0,653,7409.675580851057,47.23294361858692,28.4380779411701,47.08316644134361,28.741784881894617,78.56919449500394,74.9414321917749
2024-10-12,624.0,0,1.1,1.1,3211,810,0,577,14572.254904032465,47.25472087229957,28.408893689395825,47.09099912414113,28.714713654422525,78.61932886080203,76.39307512557272
2024-10-13,648.0,0,1.1,1.1,3591,539,0,615,4748.427186827468,47.20567686410779,28.482882062305833,47.14106450576466,28.70173355832695,78.54876025898551,77.18926714813905
