window_start_pt,hours_since_quake,target_band,F_start_total,F_end_total,Net_total,Net_internal,Net_external,F_within,F_in_from_internal,F_out_to_internal,F_in_from_external,F_out_to_external,distance_band,phi_aggregate,baseline_mean_overlap,crisis_mean_overlap,phi_mean_overlap_ratio,phi_mean_overlap_minus_1
2024-07-29 08:00:00,-8.0,50-100km,81643.0,81730.0,87.0,-171.0,258.0,80777.0,98.0,269.0,855.0,597.0,50-100km,1.0250614417944637,118.4875489471112,121.21109440639135,1.0229859211662473,0.022985921166247314
2024-07-30 08:00:00,16.0,50-100km,80583.0,80615.0,32.0,-194.0,226.0,79500.0,128.0,322.0,987.0,761.0,50-100km,1.0268224942238398,119.62756662870348,122.58281652903987,1.0247037533540142,0.024703753354014202
2024-07-31 08:00:00,40.0,50-100km,79978.0,79833.0,-145.0,-324.0,179.0,78770.0,101.0,425.0,962.0,783.0,50-100km,1.0336873814177063,118.2109077489722,121.99250959838666,1.0319902953240567,0.03199029532405673
2024-08-01 08:00:00,64.0,50-100km,80368.0,80538.0,170.0,-91.0,261.0,79377.0,133.0,224.0,1028.0,767.0,50-100km,1.0270030124932863,118.79759957518824,121.635001549449,1.0238843375994726,0.023884337599472616
2024-08-02 08:00:00,88.0,50-100km,82626.0,82692.0,66.0,-50.0,116.0,81654.0,125.0,175.0,913.0,797.0,50-100km,1.027899828282076,118.37643738779845,121.6564683449141,1.0277084783889074,0.027708478388907443
2024-08-03 08:00:00,112.0,50-100km,89774.0,89916.0,142.0,-45.0,187.0,89487.0,35.0,80.0,394.0,207.0,50-100km,1.0258971378985258,118.84685064184563,121.746702001331,1.0243999007447349,0.02439990074473486
2024-08-04 08:00:00,136.0,50-100km,91432.0,91575.0,143.0,1.0,142.0,91295.0,34.0,33.0,246.0,104.0,50-100km,1.019529908045296,121.62889889751548,124.21456767807165,1.0212586712861296,0.02125867128612957
2024-08-05 08:00:00,160.0,50-100km,81217.0,81336.0,119.0,-70.0,189.0,80346.0,132.0,202.0,858.0,669.0,50-100km,1.01392673398762,119.37294641818956,120.85435997130924,1.0124099605276555,0.012409960527655528
2024-08-06 08:00:00,184.0,50-100km,80080.0,79911.0,-169.0,-252.0,83.0,78852.0,135.0,387.0,924.0,841.0,50-100km,1.0274880928595762,118.6380643708586,121.52107233433745,1.024300868180609,0.024300868180608948
2024-08-07 08:00:00,208.0,50-100km,81402.0,81401.0,-1.0,-145.0,144.0,80219.0,166.0,311.0,1016.0,872.0,50-100km,1.0320829037143209,119.0315055552432,122.4676269158224,1.0288673267178365,0.02886732671783654
2024-08-08 08:00:00,232.0,50-100km,79628.0,79566.0,-62.0,-119.0,57.0,78509.0,152.0,271.0,905.0,848.0,50-100km,1.024001363673196,119.521274664864,122.19123810259048,1.0223388132800042,0.0223388132800042
2024-08-09 08:00:00,256.0,50-100km,82357.0,82461.0,104.0,-14.0,118.0,81524.0,131.0,145.0,806.0,688.0,50-100km,1.0301077147233897,119.23966139620488,122.65884512182932,1.0286748862382569,0.02867488623825687
2024-08-10 08:00:00,280.0,50-100km,88452.0,88571.0,119.0,-22.0,141.0,88180.0,37.0,59.0,354.0,213.0,50-100km,1.0252609848671368,118.72956152878992,121.63069914338102,1.024434838108011,0.02443483810801106
2024-08-11 08:00:00,304.0,50-100km,90716.0,90749.0,33.0,-28.0,61.0,90526.0,35.0,63.0,188.0,127.0,50-100km,1.0272534110844975,120.83239066222112,124.01426260764852,1.0263329387756808,0.02633293877568077
2024-08-12 08:00:00,328.0,50-100km,81017.0,81069.0,52.0,-126.0,178.0,80064.0,140.0,266.0,865.0,687.0,50-100km,1.0295156336837228,118.84521683977796,122.31145735383716,1.0291660077387232,0.029166007738723243
2024-08-13 08:00:00,352.0,50-100km,79615.0,79566.0,-49.0,-247.0,198.0,78446.0,129.0,376.0,991.0,793.0,50-100km,1.0333095999884228,119.2248653478035,122.93532950687914,1.0311215630082824,0.031121563008282394
2024-08-14 08:00:00,376.0,50-100km,82824.0,82844.0,20.0,-154.0,174.0,81644.0,145.0,299.0,1055.0,881.0,50-100km,1.0628610997387635,118.0814875182807,124.85320569661872,1.05734783936635,0.05734783936635002
