window_start_pt,hours_since_quake,only_hour_pt,outflow_phi_threshold,inflow_phi_threshold,outflow_tile_count,inflow_tile_count,stable_tile_count,unknown_tile_count,net_population_change,outflow_centroid_lat,outflow_centroid_lon,inflow_centroid_lat,inflow_centroid_lon,outflow_avg_distance,inflow_avg_distance
2024-07-29,0.0,0,1.1,1.1,5681,1118,0,707,7849.280402626406,38.66045463849938,-121.6507453680664,39.30367245997387,-121.18863727093573,139.83168733160673,139.09924240508005
2024-07-30,24.0,0,1.1,1.1,5775,1032,0,707,3196.491181961511,38.665599734682104,-121.64619670075591,39.27755655996172,-121.26707727744522,138.16159887488632,145.70872087499114
2024-07-31,48.0,0,1.1,1.1,5835,985,0,697,-2367.807679192837,38.670115067279355,-121.65000505231608,39.18615414083244,-121.16730755709327,138.03837127228502,148.6914867709086
2024-08-01,72.0,0,1.1,1.1,5750,1066,0,685,9742.242587627785,38.666912449714964,-121.65065131493388,39.22593956716981,-121.2068767396176,137.58237129371392,148.6787455550753
2024-08-02,96.0,0,1.1,1.1,5768,1062,0,708,8452.678889412537,38.669915320541676,-121.6543576553458,39.09213645789023,-121.09672388719522,138.8387870338259,143.91692059944478
2024-08-03,120.0,0,1.1,1.1,5521,1150,0,731,19119.30783123675,38.665172079201206,-121.65336236259084,39.06203964288995,-121.0642475381194,138.5982568170629,144.61544363392596
2024-08-04,144.0,0,1.1,1.1,5483,1101,0,686,3496.067239333556,38.663538696097845,-121.64755074820494,39.1055496710586,-121.10970097174149,138.5693472965264,143.68072984971653
2024-08-05,168.0,0,1.1,1.1,5632,1181,0,673,18435.791991804756,38.66806749828299,-121.65520030272097,39.07943361185198,-121.15954644682654,138.52245913694495,142.66069582800125
2024-08-06,192.0,0,1.1,1.1,5870,992,0,673,6889.20620563793,38.674085518881526,-121.65121175735639,39.06858793245441,-121.1261052454092,139.26241901702232,137.69847102773625
2024-08-07,216.0,0,1.1,1.1,5636,1184,0,723,18102.530708419254,38.67162248867885,-121.6594475567195,39.01909770323041,-121.08218274793943,140.09709250155106,133.46954741591247
2024-08-08,240.0,0,1.1,1.1,5669,1155,0,654,9860.334009393157,38.66817927503014,-121.66105935432442,39.100355947434366,-121.04604053074107,141.10435935092764,130.60054463584459
2024-08-09,264.0,0,1.1,1.1,5517,1286,0,736,15574.064347788193,38.6665301428307,-121.6683831448401,39.04281856555597,-120.98241484806968,139.96765148637766,137.95479589018808
2024-08-10,288.0,0,1.1,1.1,5536,1096,0,729,9168.211740347782,38.65858772951095,-121.66271714964427,39.20658108156146,-120.84637646643108,138.6061553466174,146.3549407178808
2024-08-11,312.0,0,1.1,1.1,5472,1059,0,720,5605.145008827519,38.66150160075311,-121.65180395080772,39.15963478893308,-121.00603324596423,138.8209658071986,140.3112602928622
2024-08-12,336.0,0,1.1,1.1,5628,1178,0,705,22575.90552997199,38.66709180327366,-121.66006466304032,39.13436649506325,-121.0386870751355,140.26810794692062,136.38305850106502
2024-08-13,360.0,0,1.1,1.1,5821,1021,0,691,17705.071854586586,38.674784093793576,-121.64697191257027,39.02442005380007,-121.252756555348,140.03854602032507,135.23679099121333
2024-08-14,384.0,0,1.1,1.1,5447,1402,0,701,43987.91074786518,38.66815890065648,-121.65712266037296,38.94697075764022,-121.33320194125109,140.041458872979,136.3252432818483
