r_km,tau_p50,tau_p025,tau_p975
15.144253736778873,456.54230433659905,403.08664916670716,523.304895284337
15.798994024293815,455.16775359521057,403.7410284218422,519.7341133064714
16.482041077632022,454.12629219073983,404.5017981385783,515.705985829163
17.1946186995847,453.0920963266782,405.36082402635054,511.4184301156592
17.93800360231748,452.17206150697746,406.2666393217372,507.2755001819249
18.713527694832024,451.003916756482,407.34343696100257,503.2656630331369
19.522580469322783,449.96429220672945,408.35068231077764,499.4039004325163
20.36661149070455,449.13526618970235,408.93298930509144,495.68728300214167
21.24713299377104,448.1776519611628,409.3598721594556,492.67875518420493
22.165722592638176,447.3283923701944,409.84860578315664,489.8014924701296
23.12402610732606,446.5938680454034,410.89415157759566,486.20267114911206
24.12376051254436,445.7931716223967,412.21165658667786,482.63479349181273
25.166717013964178,445.18781762556625,412.31783888038683,480.63882855699086
26.254764257488162,444.57654172556533,412.45678833959033,478.55110430261107
27.38985167726888,443.6928973491539,413.22837167498454,476.05018384848466
28.574012988473967,442.97707882184886,414.14378453193154,474.5194964430317
29.809369831056053,442.2088617403846,414.36611720350936,472.35937877807845
31.09813557105587,441.54271786760535,415.1106188303205,470.12205136653137
32.442619266249324,440.9383967605615,415.8093621403674,468.267175281615
33.84522980324364,440.538306754985,416.5994599832617,466.809722261101
35.308480213435104,440.1344662989893,417.01698631383397,465.3537396731972
36.83499217556081,439.9092193282627,417.38472858431925,463.9673715210384
38.42750071291228,439.40999828248914,417.9403541160596,462.4688040548246
40.088859093626006,439.12685697306705,418.219750863823,461.24349967718695
41.82204394283136,438.8720702453213,418.56856209801833,460.223615023249
43.63016057581483,438.8894056719827,418.8821262671544,459.0552285120518
45.516448561756086,438.67184271671226,419.5139236404516,457.94678724415337
47.48428752800427,438.60966187019903,420.0273479606048,457.0894909902906
49.537203215293886,438.4918956432281,420.6294292130593,456.62925048026665
51.678873794749336,438.3938911590051,420.94024991349994,456.28805221366684
53.91313645799622,438.40786747204936,421.19553634650373,455.68268500343294
56.243994292186805,438.42462022579406,421.49700044526975,455.5440996775745
58.67562345225708,438.428628566546,421.80539172633803,455.5449653591661
61.2123806432668,438.603149846168,422.07054322153493,455.80036626573377
63.85881092622708,438.75767712040886,422.45283843970645,456.1652465013497
66.61965586140272,438.91428429971717,422.81222356088267,456.73763006833013
69.49986200367766,439.17843479250644,423.2069409326024,457.10487576354933
72.50458976520648,439.54548665482105,423.8404567554954,457.02103432835213
75.63922266122937,439.96466260079285,424.1701171818399,457.55530924933555
78.90937695561682,440.2714398149223,424.9526765525347,457.8544733855459
82.32091172342597,440.7178247982258,425.4905849255675,458.6825835790982
85.87993934849742,441.2234136402907,425.96527596945845,459.3288685669884
89.59283647490024,441.76060258535256,426.5524158778085,459.927073577313
93.46625543184723,442.2809837216134,427.24927420976934,460.20168140886176
97.50713615255083,443.0249125965116,427.81224736507403,460.6254802216961
101.72271860837265,443.66561733097774,428.25336696393555,461.030748919413
106.1205557805471,444.44447538286835,428.99506992808375,461.5715813337295
110.70852719271775,445.2605530407923,429.816727733147,462.1396039604311
115.49485302853499,446.15677832853623,430.67612927339525,462.93630899297887
120.48810885960653,446.9434651983194,431.3236058206882,463.67824847244503
125.69724101019136,447.8712339370844,432.12499148148044,464.4497906772884
131.13158258616346,448.8134852741691,433.12144881837673,465.36779300100443
136.80087019696498,449.832449235098,434.1014554195551,466.2196583614529
142.7152614005097,450.9105261701788,434.7632042578659,467.30207210817827
148.88535290229228,452.0382556964638,435.84668751310977,468.30870363290995
155.32219954130963,453.2383651466737,437.4273775202224,469.34908087313386
162.03733409681146,454.3995768913944,438.5379924133866,470.5527769609728
169.04278795136798,455.7168892082874,439.623763284502,472.0643075862502
176.3511126472764,457.05239615344396,440.4889142063482,473.90972374466116
183.97540237492694,458.26962377576467,441.64247668975713,475.80149999412475
191.92931743342217,459.71833944311516,442.78295993175783,477.8455633292105
200.2271087054822,461.3076457242484,443.6375570421436,480.1718134379776
208.88364319048847,462.8544894122524,444.58826312692423,482.20982164894133
217.9144306414122,464.3642718328549,445.4696509416752,484.27023149185817
227.33565135335212,466.04767256801017,446.37721030963195,486.4959937496492
237.16418515346993,467.61102611092895,446.96735382020375,489.68860282466557
247.41764164426533,469.1781168223002,447.7059605628879,492.2148754100822
258.114391754376,471.1071708973862,448.46955355023465,494.9367756163027
269.2736006534307,473.05638500701036,449.18755195369494,496.96345082738407
280.9152620899296,475.235307337576,449.69819393293636,500.04557468422684
293.06023421367416,477.09051719427987,449.99491271413973,503.43846793416964
305.7302769469298,479.02972712190154,450.52527677593474,507.37438498613443
318.94809097127603,481.0958965443216,451.33016277889965,510.8092652731794
332.7373583999987,483.2902346355245,452.0265219278874,514.6657549827804
347.1227852088945,485.5045959524898,452.1197300135204,517.6386017952269
362.13014550151183,488.0583212318394,452.8888152598374,521.9013496489325
377.7863276881367,490.2845121411401,453.3082344119344,526.3855156119841
394.11938266126066,492.68233643230906,454.1147772393654,530.1292329506405
411.15857405384577,495.0060395042151,454.4952739257214,534.5698735943731
428.9344306704362,497.6700542857794,454.87840430344437,538.9015078049896
