distance_bin,base_best_model,n_bootstrap,n_success,success_rate,win_rate_exponential,win_rate_stretched_exp,win_rate_power_law,win_rate_log,km_bin,lo_km,hi_km
0-50km,stretched_exp,300,300,1.0,0.0,1.0,0.0,0.0,"KmBin(lo=0.0, hi=50.0)",0.0,50.0
50-100km,stretched_exp,300,300,1.0,0.0,1.0,0.0,0.0,"KmBin(lo=50.0, hi=100.0)",50.0,100.0
100-150km,stretched_exp,300,300,1.0,0.0,1.0,0.0,0.0,"KmBin(lo=100.0, hi=150.0)",100.0,150.0
150-200km,exponential,300,300,1.0,0.9266666666666666,0.07333333333333333,0.0,0.0,"KmBin(lo=150.0, hi=200.0)",150.0,200.0
200-250km,log,300,300,1.0,0.0,0.0,0.0,1.0,"KmBin(lo=200.0, hi=250.0)",200.0,250.0
250-300km,log,300,300,1.0,0.0,0.0,0.0,1.0,"KmBin(lo=250.0, hi=300.0)",250.0,300.0
300-350km,log,300,300,1.0,0.0,0.0,0.0,1.0,"KmBin(lo=300.0, hi=350.0)",300.0,350.0
350-400km,stretched_exp,300,300,1.0,0.0,1.0,0.0,0.0,"KmBin(lo=350.0, hi=400.0)",350.0,400.0
400-450km,stretched_exp,300,300,1.0,0.056666666666666664,0.9433333333333334,0.0,0.0,"KmBin(lo=400.0, hi=450.0)",400.0,450.0
450-500km,stretched_exp,300,300,1.0,0.006666666666666667,0.9933333333333333,0.0,0.0,"KmBin(lo=450.0, hi=500.0)",450.0,500.0
500-550km,stretched_exp,300,300,1.0,0.0,1.0,0.0,0.0,"KmBin(lo=500.0, hi=550.0)",500.0,550.0
550-600km,log,300,300,1.0,0.10666666666666667,0.03666666666666667,0.056666666666666664,0.8,"KmBin(lo=550.0, hi=600.0)",550.0,600.0
600-650km,stretched_exp,300,300,1.0,0.04,0.6366666666666667,0.0,0.3233333333333333,"KmBin(lo=600.0, hi=650.0)",600.0,650.0
650-700km,stretched_exp,300,300,1.0,0.0,0.9033333333333333,0.0,0.09666666666666666,"KmBin(lo=650.0, hi=700.0)",650.0,700.0
700-750km,stretched_exp,300,300,1.0,0.0,0.6633333333333333,0.0,0.33666666666666667,"KmBin(lo=700.0, hi=750.0)",700.0,750.0
750-800km,stretched_exp,300,300,1.0,0.0,1.0,0.0,0.0,"KmBin(lo=750.0, hi=800.0)",750.0,800.0
800-850km,stretched_exp,300,300,1.0,0.0,1.0,0.0,0.0,"KmBin(lo=800.0, hi=850.0)",800.0,850.0
850-900km,log,300,300,1.0,0.0,0.0,0.0,1.0,"KmBin(lo=850.0, hi=900.0)",850.0,900.0
900-950km,stretched_exp,300,300,1.0,0.0,1.0,0.0,0.0,"KmBin(lo=900.0, hi=950.0)",900.0,950.0
950-1000km,stretched_exp,300,300,1.0,0.0,1.0,0.0,0.0,"KmBin(lo=950.0, hi=1000.0)",950.0,1000.0
1000km+,log,300,300,1.0,0.0,0.016666666666666666,0.0,0.9833333333333333,"KmBin(lo=1000.0, hi=inf)",1000.0,inf
