window_start_pt,hours_since_quake,r_bin_km,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,phi_aggregate,phi_overlap,tile_overlap_ratio
2024-11-13 08:00:00,-8.0,0.0,45,46,41,2389.8432828377877,2661.2295828552196,2282.1562003379404,2601.5006914114097,1.1135581993875254,1.1399310402268612,0.9111111111111111
2024-11-13 08:00:00,-8.0,10.0,107,111,103,5662.104069414171,6399.68563435514,5563.149866091293,6294.296864744929,1.130266338431551,1.1314268024865102,0.9626168224299065
2024-11-13 08:00:00,-8.0,20.0,175,181,170,22594.92698804665,25960.56620666249,22279.73536004267,25796.82785661594,1.148955525299832,1.157860604703634,0.9714285714285714
2024-11-13 08:00:00,-8.0,30.0,292,296,281,183072.71613803357,207942.49263522387,182697.36843969452,207743.98299757356,1.1358464386273646,1.1370934610158139,0.9623287671232876
2024-11-13 08:00:00,-8.0,40.0,250,266,244,410114.4201574969,468171.2630016184,409982.8497241972,467866.23670112994,1.141562549353485,1.1411848983826323,0.976
2024-11-13 08:00:00,-8.0,50.0,276,286,271,199722.50502708415,232701.98656379472,199240.53706701795,232502.53585218813,1.165126516574776,1.1669439325692137,0.9818840579710145
2024-11-13 08:00:00,-8.0,60.0,260,276,256,31248.871476623746,35333.88969042653,31163.856791407525,35068.03105724931,1.1307253036916436,1.1252789182023915,0.9846153846153847
2024-11-13 08:00:00,-8.0,70.0,297,316,291,22794.35601229969,26318.56289733141,22725.333118487884,25809.896139686232,1.154608749776922,1.1357323567102717,0.9797979797979798
2024-11-13 08:00:00,-8.0,80.0,324,335,308,72209.39972873963,80469.59947954437,71578.5559033246,80051.57956680447,1.114392306013273,1.1183737720962645,0.9506172839506173
2024-11-13 08:00:00,-8.0,90.0,291,308,283,38982.64200981249,44012.927867204206,38715.624784524996,43699.38288969034,1.1290391209535138,1.1287273066856822,0.9725085910652921
2024-11-13 08:00:00,-8.0,100.0,282,292,273,38508.0398375682,43076.21430446045,38236.024905607155,42825.50097028102,1.1186291093018859,1.1200301567959496,0.9680851063829787
2024-11-13 08:00:00,-8.0,110.0,263,270,244,146352.81457578548,163484.76213457884,145941.03409918537,163132.26116972257,1.1170592284709493,1.1177957054823497,0.9277566539923955
2024-11-13 08:00:00,-8.0,120.0,240,251,221,37550.71967384556,41922.49758822742,37092.266821698206,41558.456046870335,1.1164232790304376,1.120407556826899,0.9208333333333333
2024-11-13 08:00:00,-8.0,130.0,217,237,202,22658.857193449338,25993.82198766298,22126.91501804846,25401.342108643305,1.147181509011751,1.1479838959892945,0.9308755760368663
2024-11-13 08:00:00,-8.0,140.0,218,237,206,76689.49332548969,85305.65949003078,76410.72895697576,84892.51174338651,1.1123513246850112,1.1110025110634207,0.944954128440367
2024-11-13 08:00:00,-8.0,150.0,206,209,193,35864.03805254629,39245.53336472617,34853.0859438322,39004.46476013643,1.0942865191929998,1.1191107961858648,0.9368932038834952
2024-11-13 08:00:00,-8.0,160.0,166,172,164,115140.73489797903,127821.692015908,115088.42079291967,127729.5577681016,1.1101344118496812,1.109838477998819,0.9879518072289156
2024-11-13 08:00:00,-8.0,170.0,43,39,38,4506.092240717916,4819.739967218091,4341.24428356598,4803.115364273829,1.0696052609988747,1.1063914054448138,0.8837209302325582
2024-11-13 08:00:00,-8.0,180.0,12,13,10,680.3229566827887,795.8641392343677,647.9873064650236,759.6345821955488,1.169832843970091,1.1722985537164246,0.8333333333333334
2024-11-13 08:00:00,-8.0,190.0,10,12,9,894.5271125433866,933.215131924244,881.327717261524,890.5561403163881,1.0432496889567235,1.010471045984505,0.9
2024-11-13 08:00:00,-8.0,200.0,13,14,12,578.834958054577,620.7089510093751,558.3410874006934,595.5659764908431,1.0723418521499353,1.0666705172342714,0.9230769230769231
2024-11-13 08:00:00,-8.0,210.0,4,7,4,325.5183141452444,480.1016779792881,325.5183141452444,418.14976702544664,1.4748837687979348,1.2845660254890316,1.0
2024-11-13 08:00:00,-8.0,220.0,2,1,1,60.85214729638286,52.21333713459345,50.75658109976868,52.21333713459345,0.8580360669983635,1.0287008305772471,0.5
