r_bin_km,phi_mean,r_center_km,abs_dev
0.0,1.510686415960191,5.0,0.5106864159601909
10.0,1.1134759949735558,15.0,0.11347599497355576
20.0,1.1480759960611122,25.0,0.14807599606111221
30.0,1.0116701580369787,35.0,0.011670158036978684
40.0,1.0859986464182776,45.0,0.08599864641827759
50.0,1.1324146619283464,55.0,0.1324146619283464
60.0,1.1175936495367544,65.0,0.11759364953675444
70.0,1.0350677073107089,75.0,0.03506770731070885
80.0,0.9248114305375668,85.0,0.07518856946243324
90.0,1.0757514974128912,95.0,0.07575149741289122
100.0,1.0331455547900772,105.0,0.03314555479007719
110.0,0.9729759578250924,115.0,0.027024042174907614
120.0,0.9826664238007154,125.0,0.01733357619928455
130.0,1.0078826789206463,135.0,0.007882678920646313
140.0,1.0171252412967937,145.0,0.017125241296793714
150.0,1.0131948920959393,155.0,0.01319489209593927
160.0,1.0173166244578913,165.0,0.017316624457891283
170.0,1.0136756259307904,175.0,0.013675625930790414
180.0,1.0309276261158635,185.0,0.030927626115863527
190.0,1.035058806420531,195.0,0.03505880642053105
200.0,1.0699719456672825,205.0,0.06997194566728249
210.0,0.9764031922454086,215.0,0.023596807754591387
220.0,1.0077633876844332,225.0,0.007763387684433187
230.0,1.0367267236054394,235.0,0.03672672360543938
240.0,1.0460649294325042,245.0,0.046064929432504176
250.0,1.0367124052833745,255.0,0.036712405283374494
260.0,1.0176706388058097,265.0,0.017670638805809658
270.0,1.0268962980721934,275.0,0.026896298072193403
280.0,1.0300159878103696,285.0,0.030015987810369626
290.0,1.0174721149710444,295.0,0.017472114971044395
300.0,1.024052752129188,305.0,0.024052752129188004
310.0,1.0240563797973525,315.0,0.024056379797352534
320.0,1.0240780578778166,325.0,0.024078057877816583
330.0,1.0239151781094378,335.0,0.023915178109437774
340.0,1.0281188247317883,345.0,0.028118824731788283
350.0,1.0140441533456328,355.0,0.014044153345632804
360.0,1.0128800682305137,365.0,0.012880068230513686
370.0,1.0100910620482182,375.0,0.010091062048218191
380.0,1.0134413191691003,385.0,0.013441319169100296
390.0,1.0171811781199065,395.0,0.017181178119906493
400.0,1.01295158929168,405.0,0.012951589291680055
410.0,1.011792169130307,415.0,0.011792169130306895
420.0,1.0154079285705664,425.0,0.015407928570566387
430.0,1.0161634041631662,435.0,0.016163404163166195
440.0,1.0134860079931518,445.0,0.013486007993151805
450.0,1.0151475026432246,455.0,0.01514750264322462
460.0,1.0170115841735243,465.0,0.01701158417352433
470.0,1.0245297034903946,475.0,0.024529703490394628
480.0,1.0206468399178616,485.0,0.020646839917861648
490.0,1.0225911763971909,495.0,0.022591176397190882
