window_start_pt,hours_since_quake,target_band,F_start_total,F_end_total,Net_total,Net_internal,Net_external,F_within,F_in_from_internal,F_out_to_internal,F_in_from_external,F_out_to_external,distance_band,phi_aggregate,baseline_mean_overlap,crisis_mean_overlap,phi_mean_overlap_ratio,phi_mean_overlap_minus_1
2023-02-05 08:00:00,-8.0,50-100km,62035.0,61856.0,-179.0,-62.0,-117.0,61487.0,120.0,182.0,249.0,366.0,50-100km,1.021841055736879,147.54347391800445,152.96083886625587,1.036717076021011,0.03671707602101093
2023-02-06 08:00:00,16.0,50-100km,29760.0,29777.0,17.0,28.0,-11.0,29558.0,219.0,191.0,0.0,11.0,50-100km,0.6455144474789006,167.80356775922425,105.22902499462649,0.6270964699964908,-0.3729035300035092
2023-02-07 08:00:00,40.0,50-100km,40062.0,40049.0,-13.0,-31.0,18.0,39829.0,188.0,219.0,32.0,14.0,50-100km,0.8304904965119574,157.12638934374323,122.53395405837828,0.7798432495658794,-0.22015675043412064
2023-02-08 08:00:00,64.0,50-100km,48509.0,48532.0,23.0,45.0,-22.0,48277.0,214.0,169.0,41.0,63.0,50-100km,0.9939106203967484,149.49017660040568,138.5766744077146,0.9269951883068317,-0.0730048116931683
2023-02-09 08:00:00,88.0,50-100km,53014.0,52987.0,-27.0,-42.0,15.0,52656.0,211.0,253.0,120.0,105.0,50-100km,1.0561603089560794,146.45020651680946,141.67302069590949,0.967380135989418,-0.032619864010582034
2023-02-10 08:00:00,112.0,50-100km,56273.0,56258.0,-15.0,6.0,-21.0,55941.0,227.0,221.0,90.0,111.0,50-100km,1.108709319988159,140.07197759124074,142.1538074200171,1.0148625718332582,0.014862571833258231
2023-02-11 08:00:00,136.0,50-100km,58916.0,58884.0,-32.0,-18.0,-14.0,58522.0,239.0,257.0,123.0,137.0,50-100km,1.117989627864067,135.12015079580047,139.37449041937356,1.0314856044677039,0.031485604467703876
2023-02-12 08:00:00,160.0,50-100km,60440.0,60398.0,-42.0,-15.0,-27.0,60050.0,227.0,242.0,121.0,148.0,50-100km,1.1387918084230273,139.38131532477797,146.35461331284716,1.0500303643413067,0.0500303643413067
2023-02-13 08:00:00,184.0,50-100km,59209.0,59079.0,-130.0,-97.0,-33.0,58654.0,297.0,394.0,128.0,161.0,50-100km,1.117634629346516,140.8164083905222,145.55697706992424,1.0336648884429374,0.03366488844293736
2023-02-14 08:00:00,208.0,50-100km,59064.0,58884.0,-180.0,-96.0,-84.0,58451.0,343.0,439.0,90.0,174.0,50-100km,1.1035268830760685,140.383239098095,144.40363940201695,1.0286387486836133,0.02863874868361327
2023-02-15 08:00:00,232.0,50-100km,58855.0,58658.0,-197.0,-113.0,-84.0,58228.0,336.0,449.0,94.0,178.0,50-100km,1.094006972957129,138.43512247272088,142.81852296534996,1.031663933359779,0.03166393335977902
2023-02-16 08:00:00,256.0,50-100km,59386.0,59285.0,-101.0,-56.0,-45.0,58743.0,386.0,442.0,156.0,201.0,50-100km,1.0976925777456974,140.53673611710065,145.6946561222084,1.0367015781611006,0.036701578161100645
2023-02-17 08:00:00,280.0,50-100km,59219.0,59105.0,-114.0,-15.0,-99.0,58563.0,440.0,455.0,102.0,201.0,50-100km,1.1113092874952069,136.85537980361843,144.05644640920528,1.052618074758333,0.05261807475833291
2023-02-18 08:00:00,304.0,50-100km,60687.0,60599.0,-88.0,-34.0,-54.0,60106.0,374.0,408.0,119.0,173.0,50-100km,1.126598366433179,134.45793867244043,144.62999012932394,1.0756522936266644,0.07565229362666437
2023-02-19 08:00:00,328.0,50-100km,63271.0,63088.0,-183.0,-130.0,-53.0,62762.0,216.0,346.0,110.0,163.0,50-100km,1.158589337533833,137.62795784722985,151.25762305575418,1.0990326778201096,0.0990326778201096
2023-02-20 08:00:00,352.0,50-100km,60570.0,60375.0,-195.0,52.0,-247.0,59554.0,589.0,537.0,232.0,479.0,50-100km,1.204465193966818,139.880440850118,158.14851792542134,1.1305977945471133,0.1305977945471133
2023-02-21 08:00:00,376.0,50-100km,60743.0,60568.0,-175.0,-87.0,-88.0,60051.0,372.0,459.0,145.0,233.0,50-100km,1.145962645145974,139.1423801117616,149.5468810716701,1.0747759306082836,0.07477593060828358
2023-02-23 08:00:00,424.0,50-100km,60194.0,59867.0,-327.0,-65.0,-262.0,59239.0,461.0,526.0,167.0,429.0,50-100km,1.141427231620132,140.71009008252972,151.24656640454327,1.0748807446277213,0.07488074462772132
2023-02-24 08:00:00,448.0,50-100km,59666.0,59388.0,-278.0,-71.0,-207.0,58754.0,464.0,535.0,170.0,377.0,50-100km,1.161649366052258,136.9617643709436,149.32738526274437,1.0902852044042748,0.09028520440427479
2023-02-25 08:00:00,472.0,50-100km,60565.0,60455.0,-110.0,-8.0,-102.0,59850.0,411.0,419.0,194.0,296.0,50-100km,1.1603531881305724,133.81978555838708,146.26826509551609,1.0930242077820218,0.0930242077820218
2023-02-26 08:00:00,496.0,50-100km,61925.0,61912.0,-13.0,-22.0,9.0,61464.0,274.0,296.0,174.0,165.0,50-100km,1.178002720317595,137.67115270310128,151.86050001970128,1.1030669609282668,0.10306696092826684
2023-02-27 08:00:00,520.0,50-100km,61131.0,60913.0,-218.0,6.0,-224.0,60101.0,572.0,566.0,240.0,464.0,50-100km,1.17877041797384,140.21213433562596,154.66642933076798,1.1030887594973966,0.1030887594973966
2023-02-28 08:00:00,544.0,50-100km,61790.0,61471.0,-319.0,-51.0,-268.0,60699.0,537.0,588.0,235.0,503.0,50-100km,1.186599140126933,138.70049028306653,153.67707754482416,1.1079778970585663,0.10797789705856631
2023-03-01 08:00:00,568.0,50-100km,61807.0,61300.0,-507.0,-148.0,-359.0,60595.0,485.0,633.0,220.0,579.0,50-100km,1.1810030607654678,138.8624492832278,155.24525911805512,1.117978689843015,0.11797868984301507
2023-03-02 08:00:00,592.0,50-100km,61329.0,61018.0,-311.0,-70.0,-241.0,60202.0,548.0,618.0,268.0,509.0,50-100km,1.1589980311905386,140.5764051299106,152.83047426266828,1.0871701699971155,0.08717016999711547
2023-03-03 08:00:00,616.0,50-100km,61647.0,61268.0,-379.0,-105.0,-274.0,60519.0,515.0,620.0,234.0,508.0,50-100km,1.1821251586470665,135.8803668426461,151.52776777574624,1.1151557159925858,0.11515571599258578
2023-03-04 08:00:00,640.0,50-100km,60514.0,60257.0,-257.0,37.0,-294.0,59603.0,456.0,419.0,198.0,492.0,50-100km,1.1620313934421262,133.13870633540296,146.18799364838705,1.0980127242645,0.09801272426449992
2023-03-05 08:00:00,664.0,50-100km,63093.0,63079.0,-14.0,8.0,-22.0,62630.0,266.0,258.0,183.0,205.0,50-100km,1.2374128870337455,137.98687666162388,159.94181502414023,1.1591088869730344,0.15910888697303438
2023-03-06 08:00:00,688.0,50-100km,61983.0,61668.0,-315.0,-66.0,-249.0,60840.0,563.0,629.0,265.0,514.0,50-100km,1.1532348508488326,140.72441341590306,153.892924842105,1.0935765948960339,0.09357659489603387
2023-03-07 08:00:00,712.0,50-100km,60971.0,60334.0,-637.0,-189.0,-448.0,59607.0,469.0,658.0,258.0,706.0,50-100km,1.1627775321259424,138.94751649499358,152.13775441715944,1.09492964145668,0.09492964145668004
2023-03-08 08:00:00,736.0,50-100km,60780.0,60323.0,-457.0,-99.0,-358.0,59469.0,575.0,674.0,279.0,637.0,50-100km,1.1762326488987664,137.20523652272576,152.74620043620996,1.1132680086223248,0.11326800862232478
2023-03-09 08:00:00,760.0,50-100km,60810.0,60266.0,-544.0,-147.0,-397.0,59456.0,538.0,685.0,272.0,669.0,50-100km,1.156266797589159,139.85255903147274,153.4768818788043,1.0974191887634,0.09741918876339994
2023-03-10 08:00:00,784.0,50-100km,61181.0,60599.0,-582.0,-167.0,-415.0,59854.0,485.0,652.0,260.0,675.0,50-100km,1.1700156460503672,137.03797391101787,151.48243765924454,1.105404825655156,0.10540482565515608
2023-03-11 08:00:00,808.0,50-100km,59554.0,59273.0,-281.0,42.0,-323.0,58559.0,476.0,434.0,238.0,561.0,50-100km,1.1742995057798538,134.06284415027213,149.99080080473408,1.1188096280920923,0.11880962809209228
2023-03-12 08:00:00,832.0,50-100km,60309.0,60249.0,-60.0,-14.0,-46.0,59739.0,276.0,290.0,234.0,280.0,50-100km,1.2592513506333691,137.29995207097556,163.9350278845467,1.1939918799083227,0.19399187990832267
