r_left_km,r_right_km,r_center_km,mean_delta_r_w,sum_w,n_od,window_start_pt,hours_since_quake
0.0,20.0,10.0,0.0,268.0,12,2023-02-05 08:00:00,-8.0
10.0,30.0,20.0,0.12694670646829925,11656.0,116,2023-02-05 08:00:00,-8.0
20.0,40.0,30.0,0.01306273314236909,86361.0,433,2023-02-05 08:00:00,-8.0
30.0,50.0,40.0,0.005994245536211726,102418.0,517,2023-02-05 08:00:00,-8.0
40.0,60.0,50.0,0.014828975117810929,38941.0,278,2023-02-05 08:00:00,-8.0
50.0,70.0,60.0,0.017418004188514486,19061.0,161,2023-02-05 08:00:00,-8.0
60.0,80.0,70.0,0.009373463942584363,22832.0,177,2023-02-05 08:00:00,-8.0
70.0,90.0,80.0,-0.022540980372353046,29021.0,254,2023-02-05 08:00:00,-8.0
80.0,100.0,90.0,0.033475504985172586,27856.0,273,2023-02-05 08:00:00,-8.0
90.0,110.0,100.0,0.020022622291527205,37433.0,284,2023-02-05 08:00:00,-8.0
100.0,120.0,110.0,-0.02084346686647113,39610.0,329,2023-02-05 08:00:00,-8.0
110.0,130.0,120.0,0.012063159923622462,32956.0,354,2023-02-05 08:00:00,-8.0
120.0,140.0,130.0,0.017502454250442938,43421.0,353,2023-02-05 08:00:00,-8.0
130.0,150.0,140.0,0.00304793178631854,45746.0,327,2023-02-05 08:00:00,-8.0
140.0,160.0,150.0,0.00563410666837845,103384.0,696,2023-02-05 08:00:00,-8.0
150.0,170.0,160.0,0.0067756628535325806,95805.0,647,2023-02-05 08:00:00,-8.0
160.0,180.0,170.0,-0.04002655338761433,27924.0,276,2023-02-05 08:00:00,-8.0
170.0,190.0,180.0,-0.0690225433498241,18853.0,227,2023-02-05 08:00:00,-8.0
180.0,200.0,190.0,0.02741878182107222,18038.0,180,2023-02-05 08:00:00,-8.0
190.0,210.0,200.0,0.03415218149520473,18258.0,178,2023-02-05 08:00:00,-8.0
200.0,220.0,210.0,0.05383646662644149,67544.0,474,2023-02-05 08:00:00,-8.0
210.0,230.0,220.0,0.011551583708620859,122279.0,775,2023-02-05 08:00:00,-8.0
220.0,240.0,230.0,-0.029040469929484867,64696.0,460,2023-02-05 08:00:00,-8.0
230.0,250.0,240.0,0.02132485090769031,19740.0,259,2023-02-05 08:00:00,-8.0
240.0,260.0,250.0,-0.00842534083137474,33229.0,356,2023-02-05 08:00:00,-8.0
