r_bin_km,phi_mean,r_center_km,abs_dev
40.0,0.9971135369726469,45.0,0.00288646302735307
50.0,1.0077943805274656,55.0,0.007794380527465616
60.0,0.920056402150625,65.0,0.07994359784937499
70.0,0.9749248793809867,75.0,0.02507512061901329
80.0,1.0002656945560509,85.0,0.000265694556050855
90.0,0.9507583301333926,95.0,0.049241669866607385
100.0,0.89154749880118,105.0,0.10845250119882
110.0,0.9552929811973749,115.0,0.044707018802625065
120.0,0.973577802864527,125.0,0.026422197135473002
130.0,0.91995676994508,135.0,0.08004323005491998
140.0,0.8077229941170044,145.0,0.19227700588299557
150.0,0.4189016839836691,155.0,0.5810983160163309
160.0,0.8755035386850194,165.0,0.1244964613149806
170.0,0.4793060601981154,175.0,0.5206939398018846
180.0,0.21911976729180038,185.0,0.7808802327081996
190.0,0.130170579615506,195.0,0.8698294203844941
200.0,0.5677915721911974,205.0,0.43220842780880264
210.0,0.4395959567509779,215.0,0.560404043249022
220.0,0.11749758575415414,225.0,0.8825024142458459
260.0,0.9582021177995186,265.0,0.04179788220048142
270.0,1.0231859931087006,275.0,0.02318599310870062
280.0,1.0183990256694948,285.0,0.018399025669494806
290.0,1.0029380030945365,295.0,0.002938003094536512
300.0,0.9538254660712149,305.0,0.04617453392878512
310.0,0.8647707607266483,315.0,0.13522923927335173
