r_bin_km,phi_mean,r_center_km,abs_dev
0.0,1.0630157504134012,5.0,0.06301575041340124
10.0,1.0790224591580595,15.0,0.0790224591580595
20.0,1.058373235064872,25.0,0.05837323506487202
30.0,1.0611476950527603,35.0,0.0611476950527603
40.0,0.9810191927877029,45.0,0.018980807212297113
50.0,0.9716913583203866,55.0,0.028308641679613444
60.0,1.047696108560149,65.0,0.04769610856014905
70.0,1.0899115450912407,75.0,0.08991154509124066
80.0,1.1052669290397386,85.0,0.10526692903973855
90.0,1.0957300886579449,95.0,0.09573008865794486
100.0,1.0971276282658413,105.0,0.09712762826584131
110.0,1.1542966366126683,115.0,0.15429663661266835
120.0,1.177846832163881,125.0,0.17784683216388109
130.0,1.1483913448541152,135.0,0.1483913448541152
140.0,1.1397708948640939,145.0,0.1397708948640939
150.0,1.2000129996672433,155.0,0.20001299966724329
160.0,1.1463730558437497,165.0,0.1463730558437497
170.0,1.095349673957052,175.0,0.09534967395705207
180.0,1.1613635886200733,185.0,0.16136358862007327
190.0,1.1322427051972688,195.0,0.13224270519726877
200.0,1.168768972260467,205.0,0.16876897226046705
210.0,1.1876373076544011,215.0,0.18763730765440112
220.0,1.1724856777241293,225.0,0.17248567772412926
230.0,1.1545333640804476,235.0,0.1545333640804476
240.0,1.1556844515532847,245.0,0.1556844515532847
250.0,1.1401930785411527,255.0,0.1401930785411527
260.0,1.1293215428539045,265.0,0.12932154285390451
270.0,1.1285225799831398,275.0,0.12852257998313976
280.0,1.1109447148019236,285.0,0.11094471480192358
290.0,1.1749412686789356,295.0,0.17494126867893556
300.0,1.9104025078554567,305.0,0.9104025078554567
310.0,1.0455586603211078,315.0,0.04555866032110778
320.0,1.0261663411961466,325.0,0.02616634119614658
330.0,1.0303810750176736,335.0,0.03038107501767362
340.0,1.2622511887440342,345.0,0.2622511887440342
